model,model_label,pc,pole,rank,persona,cluster,pc1,pc2,pc3,pc2_percentile
qwen,Qwen/Qwen3-32B,PC2,positive,1,teenager,other,-13.392084759601007,78.11385467274245,-6.473981677098437,99.81818181818181
qwen,Qwen/Qwen3-32B,PC2,positive,2,adolescent,other,-15.450105337088717,78.08059632776987,-7.233790471977547,99.45454545454545
qwen,Qwen/Qwen3-32B,PC2,positive,3,toddler,other,-36.26829149105397,71.15643414605013,-12.325703879511368,99.0909090909091
qwen,Qwen/Qwen3-32B,PC2,positive,4,procrastinator,other,-16.543519361695846,69.46824957415369,16.772102711689993,98.72727272727273
qwen,Qwen/Qwen3-32B,PC2,positive,5,gossip,trickster_chaos,-24.695131036757918,57.220168682481074,28.584501201273447,98.36363636363636
qwen,Qwen/Qwen3-32B,PC2,positive,6,comedian,trickster_chaos,-24.029318289062537,56.603652024321065,31.2800279454526,98.0
qwen,Qwen/Qwen3-32B,PC2,positive,7,fool,trickster_chaos,-37.40673661860266,47.92135588930893,7.5152541279083955,97.63636363636364
qwen,Qwen/Qwen3-32B,PC2,positive,8,infant,other,-42.89039069343597,44.70015497238557,-19.499290546983513,97.27272727272727
qwen,Qwen/Qwen3-32B,PC2,positive,9,daredevil,combative_iconoclast,-29.846147037726073,43.74737125249569,26.447962964433106,96.9090909090909
qwen,Qwen/Qwen3-32B,PC2,positive,10,cynic,combative_iconoclast,-21.4068352363925,40.712028510058666,36.28145288877358,96.54545454545455
qwen,Qwen/Qwen3-32B,PC2,positive,11,amateur,grounded_social,-0.25863281605392435,40.07045588184378,-24.428542263283024,96.18181818181819
qwen,Qwen/Qwen3-32B,PC2,positive,12,influencer,combative_iconoclast,3.2293105487482205,40.0025555563322,-2.211369212471944,95.81818181818181
qwen,Qwen/Qwen3-32B,PC2,positive,13,hoarder,other,-26.144484632471478,39.07836662300739,4.210295430371786,95.45454545454545
qwen,Qwen/Qwen3-32B,PC2,positive,14,prisoner,grounded_social,-22.40388798527238,38.781431597202776,-0.13957068279510904,95.0909090909091
qwen,Qwen/Qwen3-32B,PC2,positive,15,addict,grounded_social,-19.963020546389277,38.66393954436629,-16.28229668713209,94.72727272727273
qwen,Qwen/Qwen3-32B,PC2,positive,16,criminal,grounded_social,-37.55570410506543,37.433932244161724,26.99171874999001,94.36363636363636
qwen,Qwen/Qwen3-32B,PC2,positive,17,orphan,grounded_social,-23.437724963800996,36.542565282710626,-18.765496061011053,94.0
qwen,Qwen/Qwen3-32B,PC2,positive,18,bartender,grounded_social,-16.599115137001608,36.325047894946096,-2.7782731162498813,93.63636363636364
qwen,Qwen/Qwen3-32B,PC2,positive,19,newlywed,grounded_social,-3.479967724816232,36.00899096667293,-29.969727452326627,93.27272727272727
qwen,Qwen/Qwen3-32B,PC2,positive,20,narcissist,grounded_social,-21.994757067399238,34.67210053875631,25.556728076794858,92.9090909090909
qwen,Qwen/Qwen3-32B,PC2,negative,1,crystalline,mythic_spiritual,-10.335204484411701,-44.00800269703123,8.552672831686648,0.18181818181818182
qwen,Qwen/Qwen3-32B,PC2,negative,2,ascetic,mythic_spiritual,-40.43957584187223,-40.350869322769775,-4.578672152857548,0.5454545454545454
qwen,Qwen/Qwen3-32B,PC2,negative,3,eldritch,mythic_spiritual,-52.71680186550389,-39.4813463617883,15.742466656425172,0.9090909090909091
qwen,Qwen/Qwen3-32B,PC2,negative,4,mystic,mythic_spiritual,-42.168720349231386,-36.161216290370454,-18.949281930444744,1.2727272727272727
qwen,Qwen/Qwen3-32B,PC2,negative,5,avatar,mythic_spiritual,-38.01488885516221,-35.416923328004685,-12.98249680046109,1.6363636363636365
qwen,Qwen/Qwen3-32B,PC2,negative,6,oracle,mythic_spiritual,-45.70498289945128,-34.54875994939717,-2.5599790698940827,2.0
qwen,Qwen/Qwen3-32B,PC2,negative,7,leviathan,mythic_spiritual,-60.938872716987134,-33.50333267923222,12.444977137966942,2.3636363636363638
qwen,Qwen/Qwen3-32B,PC2,negative,8,echo,mythic_spiritual,-49.89221212979379,-33.35410333176394,0.20762041051009478,2.727272727272727
qwen,Qwen/Qwen3-32B,PC2,negative,9,spirit,mythic_spiritual,-45.0358159489287,-33.23663590812406,-18.033566931855226,3.090909090909091
qwen,Qwen/Qwen3-32B,PC2,negative,10,ancient,mythic_spiritual,-38.00947156081417,-32.79258504114806,3.3089621746028746,3.4545454545454546
qwen,Qwen/Qwen3-32B,PC2,negative,11,prophet,mythic_spiritual,-53.776683834194664,-32.70779966391408,1.969146850345293,3.8181818181818183
