model,model_label,band,pc1_lower_bound,pc1_upper_bound,selected_count,rank_pc2_desc,persona,cluster,pc1,pc2,pc3,pc2_percentile
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,1,amateur,grounded_social,-0.25863281605392435,40.07045588184378,-24.428542263283024,96.18181818181819
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,2,influencer,combative_iconoclast,3.2293105487482205,40.0025555563322,-2.211369212471944,95.81818181818181
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,3,patient,grounded_social,0.4118924476795615,29.18821061876683,-27.329047584873223,90.36363636363636
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,4,gamer,combative_iconoclast,-1.5155647089255793,24.950025711232612,24.217634562403923,88.9090909090909
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,5,optimist,grounded_social,0.23151661003907312,22.207881593167933,-31.270952863118247,87.0909090909091
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,6,podcaster,grounded_social,0.8446430116441733,21.108976092354723,-9.123879133315507,85.27272727272727
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,7,blogger,grounded_social,-0.32169028538495886,20.848443683890974,-14.39134512129694,84.9090909090909
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,8,workaholic,combative_iconoclast,2.5666503059720522,19.360138423703397,23.982014216750684,82.0
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,9,chameleon,grounded_social,-0.6396592389923379,15.880443897984275,-5.605038730171382,79.0909090909091
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,10,caregiver,grounded_social,1.344611829440001,14.616833974783997,-43.370517147543644,78.36363636363636
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,11,hacker,combative_iconoclast,-2.5642360472084964,14.293777192431339,36.363630088349524,77.63636363636364
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,12,chef,grounded_social,4.4813056568150405,12.232802469406602,-8.702588567510192,74.0
