model_a,model_b,pc_a,pc_b,matched_role_count,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,sign_corrected_pearson_r,sign_corrected_spearman_r
qwen,gemma,PC1,PC3,275,0.07292845243127781,0.22801856492555253,0.10493811488416376,0.08237406705428821,0.07292845243127781,0.10493811488416376,0.07292845243127781,0.10493811488416376
qwen,gemma,PC2,PC1,275,0.23634846738223722,7.565609575030953e-05,0.22477539597818874,0.00017079181691603322,0.23634846738223722,0.22477539597818874,0.23634846738223722,0.22477539597818874
qwen,gemma,PC2,PC2,275,0.9220692179842611,1.4831142682934196e-114,0.8871636709846802,1.1023474181217747e-93,0.9220692179842611,0.8871636709846802,0.9220692179842611,0.8871636709846802
qwen,gemma,PC2,PC3,275,-0.11771089236484579,0.05118721847286091,-0.15441504861371572,0.010334873202901404,0.11771089236484579,0.15441504861371572,0.11771089236484579,0.15441504861371572
qwen,gemma,PC3,PC1,275,-0.0670430873193819,0.267876201605802,-0.027583162632353365,0.6488084388233978,0.0670430873193819,0.027583162632353365,0.0670430873193819,0.027583162632353365
qwen,gemma,PC3,PC2,275,0.17223966680787717,0.004174028628927576,0.09636709846801882,0.11082376779425375,0.17223966680787717,0.09636709846801882,0.17223966680787717,0.09636709846801882
qwen,gemma,PC3,PC3,275,0.8057448036407208,4.7084226536537745e-64,0.8767311964455728,9.14034768915988e-89,0.8057448036407208,0.8767311964455728,0.8057448036407208,0.8767311964455728
llama,qwen,PC1,PC1,275,0.675842836108825,4.76149336827756e-38,0.5860673379302387,9.27577410383741e-27,0.675842836108825,0.5860673379302387,0.675842836108825,0.5860673379302387
llama,qwen,PC1,PC2,275,0.6916005766860976,1.8558951832424035e-40,0.6824084706153891,4.924608311599615e-39,0.6916005766860976,0.6824084706153891,0.6916005766860976,0.6824084706153891
llama,qwen,PC1,PC3,275,-0.03133470552986224,0.604885695994027,-0.07315368858371081,0.22658151009352617,0.03133470552986224,0.07315368858371081,0.03133470552986224,0.07315368858371081
llama,qwen,PC2,PC1,275,-0.6759988408381201,4.5146705690204004e-38,-0.7855866824384755,7.434563314200316e-59,0.6759988408381201,0.7855866824384755,0.6759988408381201,0.7855866824384755
llama,qwen,PC2,PC2,275,0.605808866959668,6.160820989285998e-29,0.42971985805372037,8.73697617818474e-14,0.605808866959668,0.42971985805372037,0.605808866959668,0.42971985805372037
llama,qwen,PC2,PC3,275,0.16034788138106595,0.00771676595465032,0.060968235192291054,0.31375414818083464,0.16034788138106595,0.060968235192291054,0.16034788138106595,0.060968235192291054
llama,qwen,PC3,PC1,275,0.15121858706084648,0.012048911606455815,0.29229624073165805,8.086720902661343e-07,0.15121858706084648,0.29229624073165805,0.15121858706084648,0.29229624073165805
llama,qwen,PC3,PC2,275,-0.154054404536083,0.010516808174702559,-0.2971599203715992,5.187903643808153e-07,0.154054404536083,0.2971599203715992,0.154054404536083,0.2971599203715992
llama,qwen,PC3,PC3,275,0.44043920658341235,1.774003391297359e-14,0.5578713828221921,6.783436101013769e-24,0.44043920658341235,0.5578713828221921,0.44043920658341235,0.5578713828221921
llama,gemma,PC1,PC1,275,0.8084733002858341,8.363097492036704e-65,0.7221718934825886,1.328231239381559e-45,0.8084733002858341,0.7221718934825886,0.8084733002858341,0.7221718934825886
llama,gemma,PC1,PC2,275,0.5262053025972018,5.4891482005182515e-21,0.5262265947318312,5.465762048959479e-21,0.5262053025972018,0.5262265947318312,0.5262053025972018,0.5262265947318312
llama,gemma,PC1,PC3,275,-0.09175499656233148,0.1290503930805867,-0.14610022792187186,0.015317359587461088,0.09175499656233148,0.14610022792187186,0.09175499656233148,0.14610022792187186
llama,gemma,PC2,PC1,275,-0.5355231452336435,8.230578821046231e-22,-0.6836790629237472,3.152731966175467e-39,0.5355231452336435,0.6836790629237472,0.5355231452336435,0.6836790629237472
llama,gemma,PC2,PC2,275,0.7893654776944784,8.718415407956043e-60,0.6278174316955657,1.4983325616593348e-31,0.7893654776944784,0.6278174316955657,0.7893654776944784,0.6278174316955657
llama,gemma,PC2,PC3,275,-0.08472177557078538,0.16119243614811887,-0.003961801448313667,0.9478554903154557,0.08472177557078538,0.003961801448313667,0.08472177557078538,0.003961801448313667
llama,gemma,PC3,PC1,275,0.0618905024543193,0.3064763876489814,0.20789071290499408,0.0005209252976416114,0.0618905024543193,0.20789071290499408,0.0618905024543193,0.20789071290499408
llama,gemma,PC3,PC2,275,-0.10177535031166443,0.09209626264365219,-0.2726291797697701,4.482670376325753e-06,0.10177535031166443,0.2726291797697701,0.10177535031166443,0.2726291797697701
llama,gemma,PC3,PC3,275,0.11645603354395435,0.05373378252990268,0.4143775424829059,7.775753302527872e-13,0.11645603354395435,0.4143775424829059,0.11645603354395435,0.4143775424829059
gemma,qwen,PC1,PC1,275,0.952594536876598,4.202573176473797e-143,0.950569804679611,1.1023146335319565e-140,0.952594536876598,0.950569804679611,0.952594536876598,0.950569804679611
gemma,qwen,PC1,PC2,275,0.23634846738223722,7.565609575030953e-05,0.22477539597818874,0.00017079181691603322,0.23634846738223722,0.22477539597818874,0.23634846738223722,0.22477539597818874
gemma,qwen,PC1,PC3,275,-0.0670430873193819,0.267876201605802,-0.027583162632353365,0.6488084388233978,0.0670430873193819,0.027583162632353365,0.0670430873193819,0.027583162632353365
gemma,qwen,PC2,PC1,275,-0.20383102498971126,0.000672558990802455,-0.13521421770866393,0.02493758720044812,0.20383102498971126,0.13521421770866393,0.20383102498971126,0.13521421770866393
gemma,qwen,PC2,PC2,275,0.9220692179842611,1.4831142682934196e-114,0.8871636709846802,1.1023474181217747e-93,0.9220692179842611,0.8871636709846802,0.9220692179842611,0.8871636709846802
gemma,qwen,PC2,PC3,275,0.17223966680787717,0.004174028628927576,0.09636709846801882,0.11082376779425375,0.17223966680787717,0.09636709846801882,0.17223966680787717,0.09636709846801882
gemma,qwen,PC3,PC1,275,0.07292845243127781,0.22801856492555253,0.10493811488416376,0.08237406705428821,0.07292845243127781,0.10493811488416376,0.07292845243127781,0.10493811488416376
gemma,qwen,PC3,PC2,275,-0.11771089236484579,0.05118721847286091,-0.15441504861371572,0.010334873202901404,0.11771089236484579,0.15441504861371572,0.11771089236484579,0.15441504861371572
gemma,qwen,PC3,PC3,275,0.8057448036407208,4.7084226536537745e-64,0.8767311964455728,9.14034768915988e-89,0.8057448036407208,0.8767311964455728,0.8057448036407208,0.8767311964455728
gemma,llama,PC1,PC1,275,0.8084733002858341,8.363097492036704e-65,0.7221718934825886,1.328231239381559e-45,0.8084733002858341,0.7221718934825886,0.8084733002858341,0.7221718934825886
gemma,llama,PC1,PC2,275,-0.5355231452336435,8.230578821046231e-22,-0.6836790629237472,3.152731966175467e-39,0.5355231452336435,0.6836790629237472,0.5355231452336435,0.6836790629237472
gemma,llama,PC1,PC3,275,0.0618905024543193,0.3064763876489814,0.20789071290499408,0.0005209252976416114,0.0618905024543193,0.20789071290499408,0.0618905024543193,0.20789071290499408
gemma,llama,PC2,PC1,275,0.5262053025972018,5.4891482005182515e-21,0.5262265947318312,5.465762048959479e-21,0.5262053025972018,0.5262265947318312,0.5262053025972018,0.5262265947318312
gemma,llama,PC2,PC2,275,0.7893654776944784,8.718415407956043e-60,0.6278174316955657,1.4983325616593348e-31,0.7893654776944784,0.6278174316955657,0.7893654776944784,0.6278174316955657
gemma,llama,PC2,PC3,275,-0.10177535031166443,0.09209626264365219,-0.2726291797697701,4.482670376325753e-06,0.10177535031166443,0.2726291797697701,0.10177535031166443,0.2726291797697701
gemma,llama,PC3,PC1,275,-0.09175499656233148,0.1290503930805867,-0.14610022792187186,0.015317359587461088,0.09175499656233148,0.14610022792187186,0.09175499656233148,0.14610022792187186
gemma,llama,PC3,PC2,275,-0.08472177557078538,0.16119243614811887,-0.003961801448313667,0.9478554903154557,0.08472177557078538,0.003961801448313667,0.08472177557078538,0.003961801448313667
gemma,llama,PC3,PC3,275,0.11645603354395435,0.05373378252990268,0.4143775424829059,7.775753302527872e-13,0.11645603354395435,0.4143775424829059,0.11645603354395435,0.4143775424829059
