model,model_label,pc,pole,rank,persona,cluster,pc1,pc2,pc3,pc3_percentile
qwen,Qwen/Qwen3-32B,PC3,positive,1,hacker,combative_iconoclast,-2.5642360472084964,14.293777192431339,36.363630088349524,99.81818181818181
qwen,Qwen/Qwen3-32B,PC3,positive,2,cynic,combative_iconoclast,-21.4068352363925,40.712028510058666,36.28145288877358,99.45454545454545
qwen,Qwen/Qwen3-32B,PC3,positive,3,saboteur,combative_iconoclast,5.936886772954906,-0.7753230925166177,34.773661684346216,99.0909090909091
qwen,Qwen/Qwen3-32B,PC3,positive,4,provocateur,combative_iconoclast,-23.792195573225833,22.517386586732663,34.50180622680937,98.72727272727273
qwen,Qwen/Qwen3-32B,PC3,positive,5,absurdist,trickster_chaos,-34.383966767137125,14.551099090510087,33.40622916817843,98.36363636363636
qwen,Qwen/Qwen3-32B,PC3,positive,6,spy,procedural_professional,0.7214741115779828,2.5354264915866556,32.136985841056756,98.0
qwen,Qwen/Qwen3-32B,PC3,positive,7,comedian,trickster_chaos,-24.029318289062537,56.603652024321065,31.2800279454526,97.63636363636364
qwen,Qwen/Qwen3-32B,PC3,positive,8,aberration,mythic_spiritual,-47.93762578340086,-16.326007104582025,31.10838018719306,97.27272727272727
qwen,Qwen/Qwen3-32B,PC3,positive,9,jester,trickster_chaos,-41.14659128101571,19.96496130237711,30.95876356862922,96.9090909090909
qwen,Qwen/Qwen3-32B,PC3,positive,10,rogue,trickster_chaos,-26.63779222039056,20.617121520937324,30.236946920985712,96.54545454545455
qwen,Qwen/Qwen3-32B,PC3,positive,11,demon,mythic_spiritual,-51.93527758404528,-11.475720939766097,29.919199720157685,96.18181818181819
qwen,Qwen/Qwen3-32B,PC3,positive,12,gossip,trickster_chaos,-24.695131036757918,57.220168682481074,28.584501201273447,95.81818181818181
qwen,Qwen/Qwen3-32B,PC3,positive,13,smuggler,grounded_social,-25.84383518717811,33.79427171203795,28.072005643602875,95.45454545454545
qwen,Qwen/Qwen3-32B,PC3,positive,14,rebel,combative_iconoclast,-24.268899156406466,23.900384703159116,27.926136124823543,95.0909090909091
qwen,Qwen/Qwen3-32B,PC3,positive,15,criminal,grounded_social,-37.55570410506543,37.433932244161724,26.99171874999001,94.72727272727273
qwen,Qwen/Qwen3-32B,PC3,positive,16,daredevil,combative_iconoclast,-29.846147037726073,43.74737125249569,26.447962964433106,94.36363636363636
qwen,Qwen/Qwen3-32B,PC3,positive,17,zealot,mythic_spiritual,-33.94084646220028,-18.761290710753215,26.19938158777295,94.0
qwen,Qwen/Qwen3-32B,PC3,positive,18,contrarian,combative_iconoclast,-3.58669200537559,13.934090576394132,26.083445762898982,93.63636363636364
qwen,Qwen/Qwen3-32B,PC3,positive,19,fixer,grounded_social,-12.58928083340638,17.011219124064365,25.801748695668575,93.27272727272727
qwen,Qwen/Qwen3-32B,PC3,positive,20,virus,mythic_spiritual,-10.626605841637298,-12.91609893257004,25.669757352220156,92.9090909090909
qwen,Qwen/Qwen3-32B,PC3,negative,1,caregiver,grounded_social,1.344611829440001,14.616833974783997,-43.370517147543644,0.18181818181818182
qwen,Qwen/Qwen3-32B,PC3,negative,2,empath,grounded_social,-15.630732463797175,3.872653771035489,-36.85070091844094,0.5454545454545454
qwen,Qwen/Qwen3-32B,PC3,negative,3,counselor,procedural_professional,10.852153155515255,12.970002494202909,-36.16733095757213,0.9090909090909091
qwen,Qwen/Qwen3-32B,PC3,negative,4,therapist,procedural_professional,13.067798551711675,12.35993857094653,-34.53327531960001,1.2727272727272727
qwen,Qwen/Qwen3-32B,PC3,negative,5,healer,procedural_professional,-1.7608819321753464,-11.560647961526072,-34.34542969608257,1.6363636363636365
qwen,Qwen/Qwen3-32B,PC3,negative,6,widow,grounded_social,-28.68347239390933,16.40802626249475,-34.32112755356603,2.0
qwen,Qwen/Qwen3-32B,PC3,negative,7,optimist,grounded_social,0.23151661003907312,22.207881593167933,-31.270952863118247,2.3636363636363638
qwen,Qwen/Qwen3-32B,PC3,negative,8,romantic,grounded_social,-35.87444788247244,-2.6913529901378164,-30.82438438002212,2.727272727272727
qwen,Qwen/Qwen3-32B,PC3,negative,9,angel,mythic_spiritual,-40.46316823099885,-28.855131379288093,-30.585188104300027,3.090909090909091
qwen,Qwen/Qwen3-32B,PC3,negative,10,grandparent,grounded_social,-30.308927697334454,34.39803584621769,-30.142523745873994,3.4545454545454546
qwen,Qwen/Qwen3-32B,PC3,negative,11,newlywed,grounded_social,-3.479967724816232,36.00899096667293,-29.969727452326627,3.8181818181818183
qwen,Qwen/Qwen3-32B,PC3,negative,12,immigrant,grounded_social,-4.765908502132864,13.842248522836977,-28.7802663259009,4.181818181818182
qwen,Qwen/Qwen3-32B,PC3,negative,13,parent,grounded_social,7.071280585171262,28.571431503813194,-28.6848360890697,4.545454545454546
qwen,Qwen/Qwen3-32B,PC3,negative,14,refugee,grounded_social,-13.329593217179637,16.14613251876877,-28.559334756806738,4.909090909090909
qwen,Qwen/Qwen3-32B,PC3,negative,15,pacifist,procedural_professional,12.630986381601796,-12.37960968151056,-28.49648113170356,5.2727272727272725
qwen,Qwen/Qwen3-32B,PC3,negative,16,pilgrim,mythic_spiritual,-40.74066166828825,-28.50201756669221,-27.987570624642895,5.636363636363637
qwen,Qwen/Qwen3-32B,PC3,negative,17,shaman,mythic_spiritual,-41.92268882094845,-32.194950447595076,-27.770489401999527,6.0
qwen,Qwen/Qwen3-32B,PC3,negative,18,patient,grounded_social,0.4118924476795615,29.18821061876683,-27.329047584873223,6.363636363636363
qwen,Qwen/Qwen3-32B,PC3,negative,19,divorcee,grounded_social,-6.764238202946928,31.75633470335412,-25.897504863442464,6.7272727272727275
qwen,Qwen/Qwen3-32B,PC3,negative,20,altruist,procedural_professional,11.355226573614354,-3.914055477321831,-24.744716838489158,7.090909090909091
llama,Llama-3.3-70B,PC3,positive,1,infant,other,1.2103539608077116,3.980472439408199,4.310784521962024,99.81818181818181
llama,Llama-3.3-70B,PC3,positive,2,caveman,trickster_chaos,0.31809871473299195,4.237359125024927,3.083970104371442,99.45454545454545
llama,Llama-3.3-70B,PC3,positive,3,toddler,other,1.71283292561496,4.1985960672218505,3.069817686643798,99.0909090909091
llama,Llama-3.3-70B,PC3,positive,4,robot,procedural_professional,0.36286268327957105,-0.6985602336426748,1.6515165830688647,98.72727272727273
llama,Llama-3.3-70B,PC3,positive,5,void,mythic_spiritual,-3.134219321065684,0.8168691049844099,1.5185627168459241,98.36363636363636
llama,Llama-3.3-70B,PC3,positive,6,eldritch,mythic_spiritual,-3.754777367858684,0.3226579338340599,1.3853325039052546,98.0
llama,Llama-3.3-70B,PC3,positive,7,crystalline,mythic_spiritual,-2.0514117666954075,-0.5660204722304457,1.1803283069741455,97.63636363636364
llama,Llama-3.3-70B,PC3,positive,8,leviathan,mythic_spiritual,-3.200904376950058,0.822629482556331,1.0536399841451458,97.27272727272727
llama,Llama-3.3-70B,PC3,positive,9,fool,trickster_chaos,1.2012117798161361,3.5006876777320346,0.9569458182973075,96.9090909090909
llama,Llama-3.3-70B,PC3,positive,10,prey,grounded_social,0.2309211371748407,1.4482476685946666,0.9526881762082842,96.54545454545455
llama,Llama-3.3-70B,PC3,positive,11,virus,mythic_spiritual,-0.2880231773210069,-0.3189061245139911,0.9357030310146839,96.18181818181819
llama,Llama-3.3-70B,PC3,positive,12,predator,mythic_spiritual,-0.7663129198079508,0.4884708351910591,0.8804052264871715,95.81818181818181
llama,Llama-3.3-70B,PC3,positive,13,statistician,procedural_professional,0.7913714416244614,-0.727299824924661,0.8280787167825409,95.45454545454545
llama,Llama-3.3-70B,PC3,positive,14,hive,procedural_professional,-0.8601345427596212,-0.9433784452092737,0.8259997580895091,95.0909090909091
llama,Llama-3.3-70B,PC3,positive,15,swarm,procedural_professional,-1.1027224572511778,-0.7798134089095862,0.8163969860070697,94.72727272727273
llama,Llama-3.3-70B,PC3,positive,16,alien,mythic_spiritual,-1.491608382624258,-0.4483962469024247,0.770539890686343,94.36363636363636
llama,Llama-3.3-70B,PC3,positive,17,cyborg,procedural_professional,0.011625882297863738,-1.0360725584361967,0.7632851548371524,94.0
