k,subset,n,mean_max_posterior,median_max_posterior,p10_max_posterior,p25_max_posterior,p75_max_posterior,p90_max_posterior,share_ge_0_50,share_ge_0_70,share_ge_0_80,share_ge_0_90,mean_posterior_entropy,mean_normalized_posterior_entropy
4,all_respondents,23679,0.9572916782043204,0.9998593096413223,0.8414094077716245,0.9835316164126948,0.9999998524765881,0.9999999999899956,0.9958613117107986,0.9465771358587778,0.9167616875712656,0.867139659614004,0.10674639912107445,0.07700125032236406
4,discovery,14206,0.9642013113658378,0.9999046564625511,0.879766772794889,0.9893269474542524,0.9999999000392151,0.9999999999932783,0.9973250739124314,0.9583274672673519,0.933056455019006,0.8882866394481205,0.09248460192204812,0.06671353827576437
4,validation,4735,0.9477207376987338,0.99975453793703,0.7815083894533772,0.9728483782484498,0.9999997606843325,0.9999999999861018,0.9945089757127772,0.9309398099260824,0.8920802534318901,0.8352692713833157,0.12672200676326523,0.0914106053644302
4,replication,4737,0.9462695588978222,0.9997327715911367,0.7809907254759906,0.9685890606130957,0.9999997124748732,0.9999999999670962,0.9930335655478151,0.9271690943635212,0.8927591302512139,0.8357610301878826,0.12928691396704628,0.09326079481604785
4,zero_answer,1,0.3292254345288764,0.3292254345288764,0.3292254345288764,0.3292254345288764,0.3292254345288764,0.3292254345288764,0.0,0.0,0.0,0.0,1.3509163973470333,0.9744801935540747
10,all_respondents,23679,0.9437746348556492,0.9981992439448106,0.7835208655810901,0.9612235460220429,0.9999839408541222,0.9999999730147412,0.9867393048692935,0.9301068457282824,0.893998901980658,0.8350437096161155,0.15255759370031277,0.06625492111648412
10,discovery,14206,0.9686157607028673,0.9992816496612628,0.9152904049750497,0.9846857851403328,0.9999933544265058,0.999999992114482,0.9932422919893003,0.9708573842038575,0.9525552583415459,0.9101084048993383,0.0980286188643687,0.04257328824139234
10,validation,4735,0.9068418108381843,0.991239624446537,0.6461756695763101,0.8741796132068477,0.999913276451498,0.999999782218101,0.9763463569165787,0.8694825765575501,0.8025343189017952,0.7243928194297783,0.23461203889076737,0.10189071387833137
10,replication,4737,0.9063642734389284,0.9915661662742858,0.6411250434862952,0.8737054269039538,0.9999149125623575,0.9999997885802028,0.9778340721975934,0.8686932657800296,0.8100063331222292,0.7207093096896771,0.23362152348578816,0.10146053850370874
10,zero_answer,1,0.14054460297374305,0.14054460297374305,0.14054460297374305,0.14054460297374305,0.14054460297374305,0.14054460297374305,0.0,0.0,0.0,0.0,2.2635407425218634,0.9830432540404346
