k,profile,status,replication_stability_rating,aligned_profile_distance,mean_aligned_profile_distance,discovery_prior_proportion,replication_prior_proportion,replication_best_seed,replication_converged_starts,replication_refit_seconds
4,Profile A,completed,moderate,0.07861545882165188,0.0917209746692898,0.28351521110634165,0.29280526630521053,2026100304,4,2.0354979038238525
4,Profile B,completed,moderate,0.07726708670869872,0.0917209746692898,0.3292254345288764,0.3405918843672786,2026100304,4,2.0354998111724854
4,Profile C,completed,moderate,0.10224669051330454,0.0917209746692898,0.23292573072888775,0.1801696073539016,2026100304,4,2.035501003265381
4,Profile D,completed,moderate,0.1087546626335041,0.0917209746692898,0.15433362363589423,0.1864332419736092,2026100304,4,2.035501003265381
10,Profile A,completed,low,0.16460631352290278,0.15398661848285214,0.08303673899304277,0.06859216321012766,2026100903,2,2.538252115249634
10,Profile B,completed,low,0.2156605937060936,0.15398661848285214,0.08455212980503503,0.06943702427433911,2026100903,2,2.53825306892395
10,Profile C,completed,low,0.16279479174497538,0.15398661848285214,0.13627943608522552,0.09501933916137022,2026100903,2,2.5382542610168457
10,Profile D,completed,low,0.12335424764521845,0.15398661848285214,0.1329725181374471,0.1547391604563916,2026100903,2,2.538255214691162
10,Profile E,completed,low,0.13481812507864938,0.15398661848285214,0.10687210335106381,0.14149233215586357,2026100903,2,2.538255214691162
10,Profile F,completed,low,0.11529797849132198,0.15398661848285214,0.14054460297374305,0.1667350420269796,2026100903,2,2.5382561683654785
10,Profile G,completed,low,0.14601552450075894,0.15398661848285214,0.08201346804455464,0.07771248600048254,2026100903,2,2.538256883621216
10,Profile H,completed,low,0.1470915134156232,0.15398661848285214,0.054634043090898796,0.10016858252508311,2026100903,2,2.5382580757141113
10,Profile I,completed,low,0.149406070111874,0.15398661848285214,0.10509806748784967,0.07869414408506238,2026100903,2,2.5382580757141113
10,Profile J,completed,low,0.18082102661110366,0.15398661848285214,0.07399689203113949,0.047409726104300186,2026100903,2,2.5382590293884277
