k,diagnostic,subset,n,accuracy,balanced_accuracy,majority_accuracy_baseline,balanced_accuracy_chance,adjusted_accuracy_above_majority,converged,iterations,discovery_fitted_dense_standardization
4,full_696_item_response_mask,validation,4735,0.24329461457233367,0.24365671454735016,0.33917634635691657,0.25,-0.14509427932246727,True,62,False
4,full_696_item_response_mask,replication,4737,0.2436141017521638,0.24281668578901278,0.3409330800084442,0.25,-0.14766175528507375,True,62,False
4,answered_item_count_only,validation,4735,0.28215417106652585,0.2594301043609121,0.33917634635691657,0.25,-0.08628954937679773,True,3,True
4,answered_item_count_only,replication,4737,0.290268102174372,0.2646858044589116,0.3409330800084442,0.25,-0.07687379884689303,True,3,True
10,full_696_item_response_mask,validation,4735,0.09376979936642027,0.09546114119436881,0.14762407602956706,0.1,-0.06318136769078297,True,81,False
10,full_696_item_response_mask,replication,4737,0.09943001899936668,0.10242116373665959,0.15410597424530292,0.1,-0.06463688545046169,True,81,False
10,answered_item_count_only,validation,4735,0.13643083421330518,0.1098068895728802,0.14762407602956706,0.1,-0.013131813676907834,True,4,True
10,answered_item_count_only,replication,4737,0.13468439940890858,0.10801826856470646,0.15410597424530292,0.1,-0.022959820314449708,True,4,True
