k,attempted_starts,converged_starts,best_seed,best_iterations,elapsed_seconds,observed_data_log_likelihood,parameters,aic,bic,icl,posterior_entropy_sum,classification_certainty,median_max_posterior,smallest_effective_class_n,smallest_effective_class_proportion,smallest_map_class_n,smallest_map_class_proportion,best_converged_log_likelihood,worst_converged_log_likelihood,sd_converged_log_likelihood,best_to_second_log_likelihood_spread,median_start_profile_distance,local_optimum_warning,eligible,validation_log_likelihood,validation_mean_log_likelihood_per_answer,validation_se_log_likelihood_per_answer,replication_log_likelihood,replication_mean_log_likelihood_per_answer,replication_se_log_likelihood_per_answer,paired_validation_loss_from_best,paired_validation_loss_se,predictive_one_se_support,delta_bic,delta_icl,information_criterion_support,frozen_candidate
2,6,6,2026091506,27,0.9674851894378662,-1916381.0698927133,6961,3846684.1397854267,3899319.182244438,3900828.5926633724,754.7052094670285,0.9233556621827996,0.9999997833475072,6389.521049483922,0.44977622479824875,6390,0.44980993946219905,-1916381.0698927133,-1916381.0815175879,0.005330080151634052,0.00028865248896181583,5.801680485212066e-06,False,True,-642624.332573389,-1.569846455335662,0.0021017778336727628,-641436.9586041607,-1.57004678898698,0.002089307723629485,0.05331053739483775,0.001141209942872448,False,32329.20905923564,31210.946968360804,False,False
3,6,2,2026091604,43,2.0529112815856934,-1885391.9823762926,10442,3791667.964752585,3870624.3091509473,3872689.7476532753,1032.7192511639169,0.9338292571799176,0.9999943205836801,3493.994077160599,0.24595199754755728,3476,0.2446853442207518,-1885391.9823762926,-1885398.2831938593,4.455350828426504,6.3008175666909665,0.001617381122629131,False,False,-633978.3299399022,-1.5508032770536384,0.0021033859708392048,-632514.6841846986,-1.5508031056023526,0.0021094685578251504,0.03426735911281428,0.0010487185228190783,False,3634.3359657446854,3072.1019582636654,False,False
4,6,4,2026091704,194,5.795080184936523,-1866933.163423745,13923,3761712.32684749,3866989.9731852026,3869617.6456950116,1313.8362549046171,0.9332864617242356,0.9999046564625511,2192.1713653914107,0.1543130624659588,2183,0.15366746445164015,-1866933.163423745,-1866938.9871289155,2.8821483464814754,0.06762893032282591,0.00010152510595477535,False,True,-628811.0515846136,-1.5378664251113674,0.002211009372865561,-627703.7523462028,-1.5383608500576722,0.002179312140478534,0.02133050717054335,0.0007851965898067351,False,0.0,0.0,True,True
5,6,5,2026091801,147,5.070245981216431,-1854601.6505724099,17404,3744011.3011448197,3875610.249421883,3878549.8772681872,1469.8139231521957,0.9357140125470522,0.9998208033045819,1737.63775871151,0.12231717293478178,1730,0.12177952977615092,-1854601.6505724099,-1855729.3351735652,453.71747123845535,50.852037717122585,0.03238930947665846,False,True,-626098.1670547974,-1.5308523141156216,0.002203457653402001,-624868.4689858614,-1.5318136422100375,0.002170966884940115,0.014316396174797356,0.0007260567835100215,False,8620.276236680336,8932.231573175639,False,False
6,6,4,2026091904,103,7.661405801773071,-1844078.2415562484,20885,3729926.483112497,3887846.7333289105,3890955.96077122,1554.6137211545915,0.9389239449557402,0.9995460215285357,1643.6251311359201,0.11569936161733917,1638,0.11530339293256371,-1844078.2415562484,-1845666.78130912,746.5687363429554,112.29155201814137,0.029575931262508865,False,True,-624081.1552359374,-1.5261699302382907,0.002201072436722594,-622640.9044883825,-1.526968339084378,0.002183431800621043,0.00963401229746657,0.0006593436155523865,False,20856.760143707972,21338.315076208208,False,False
7,6,4,2026092001,148,8.896203756332397,-1835388.3225010212,24366,3719508.6450020424,3903750.1971578067,3906688.2473712983,1469.025106745658,0.9468584001649909,0.9995755807724358,1371.1558631521018,0.09651948917021694,1364,0.0960157679853583,-1835388.3225010212,-1836544.6707171048,476.3366670037906,609.7816665228456,0.08477594941467473,True,True,-622656.3508874421,-1.5227831412739894,0.0021993048353930325,-621041.7982991266,-1.5237726927373878,0.0021736690213856272,0.006247223333165182,0.0006353583464642806,False,36760.223972604144,37070.601676286664,False,False
8,6,4,2026092106,139,7.426543951034546,-1827245.6949685914,27847,3710185.389937183,3920748.2440322977,3923647.128931173,1449.442449437584,0.9509337971313164,0.99947310269823,1211.0193986893285,0.08524703637120432,1206,0.08489370688441504,-1827245.6949685914,-1828005.5566119608,314.9091786088638,268.3583155279048,0.05974669921522782,True,True,-620811.8958003715,-1.5189264832995129,0.002202623178250642,-619542.8504752603,-1.5201629190765602,0.0021716386178525188,0.0023905653586885735,0.0006440162704216911,False,53758.27084709518,54029.483236161526,False,False
9,6,3,2026092202,147,9.35402798652649,-1820480.7376563337,31328,3703617.4753126674,3940501.631347133,3943300.704231619,1399.5364422430455,0.9551628548210832,0.9994013521039791,889.923152568227,0.06264417517726503,888,0.06250879909897226,-1820480.7376563337,-1822618.5709797423,1183.232389140759,1947.7614552418236,0.09542414927742171,True,False,-619895.0498375945,-1.5169973878362417,0.0022279838840669566,-618619.0067303998,-1.5183702844333369,0.002193666524990254,0.0004614698954175039,0.0006664583313733166,False,73511.65816193027,73683.0585366073,False,False
10,6,4,2026092304,197,11.52945613861084,-1815868.489578574,34809,3701354.979157148,3964560.437130964,3967345.6262501385,1392.5945595872236,0.9574267117586076,0.9992816496612628,776.0508589038167,0.05462838652004904,777,0.05469519921160073,-1815868.489578574,-1818464.8943000198,1258.4068794326251,499.3307392736897,0.09262371125289777,True,True,-619778.1454111636,-1.5165359179408242,0.0022141081286704894,-618022.9117430692,-1.5169221008690201,0.002186685657764727,0.0,0.0,True,97570.46394576132,97727.98055512691,False,True
11,6,2,2026092406,144,12.770621299743652,-1811493.632543744,38290,3699567.265087488,3989094.0250006546,3991807.579014642,1356.777006993792,0.9601703533819476,0.9992221667738903,764.3646226212904,0.053805759722743235,762,0.0536393073349289,-1811493.632543744,-1811835.5659397303,241.7834230159958,341.9333959862124,0.05620991172490106,True,False,-619482.5480779086,-1.5156773864043236,0.0022060717867270064,-618199.8350530893,-1.5169092510453788,0.002184006147957248,-0.0008585315365005219,0.0005926919506973008,False,122104.05181545205,122189.93331963057,False,False
