k,profile,prior_proportion,effective_discovery_n,map_discovery_n,map_discovery_proportion
4,Profile A,0.28351521110634165,4027.8382093247437,4030,0.28368295086583134
4,Profile B,0.3292254345288764,4676.819338756237,4689,0.3300718006476137
4,Profile C,0.23292573072888775,3309.1710865275927,3304,0.23257778403491483
4,Profile D,0.15433362363589423,2192.171365391427,2183,0.15366746445164015
10,Profile A,0.08303673899304277,1179.7198652359912,1180,0.08306349429818387
10,Profile B,0.08455212980503503,1201.1551437641751,1203,0.08468252850908067
10,Profile C,0.13627943608522552,1936.0749718820095,1940,0.13656201604955653
10,Profile D,0.1329725181374471,1889.1625468694579,1890,0.13304237646065042
10,Profile E,0.10687210335106381,1518.4807912271665,1518,0.10685625791918907
10,Profile F,0.14054460297374305,1996.3356266985447,2001,0.14085597634802197
10,Profile G,0.08201346804455464,1165.1167294736397,1157,0.08144446008728706
10,Profile H,0.054634043090898796,776.0508589038254,777,0.05469519921160073
10,Profile I,0.10509806748784967,1492.8932043317154,1491,0.10495565254117978
10,Profile J,0.07399689203113949,1051.0102616134739,1049,0.07384203857524989
