stage,function,first_line,last_line,source_path,commit
AA-16,score_mean,165,170,research/outputs/aa16_sapa_hifwb_trait_profile/run_stage1.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-16,association_rows,187,272,research/outputs/aa16_sapa_hifwb_trait_profile/run_stage1.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-16,main,320,412,research/outputs/aa16_sapa_hifwb_trait_profile/run_stage1.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-17,main,627,637,research/outputs/aa17_three_model_trait_factor/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-18,main,791,806,research/outputs/aa18_three_model_consensus_trait_structure/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-19,basis,61,67,research/outputs/aa19_human_consensus_factor_validation/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-19,proxy,68,69,research/outputs/aa19_human_consensus_factor_validation/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-19,human_data,133,172,research/outputs/aa19_human_consensus_factor_validation/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-19,bigfive_alignment,386,400,research/outputs/aa19_human_consensus_factor_validation/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-19,main,485,519,research/outputs/aa19_human_consensus_factor_validation/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-20,trait_matrix,81,89,research/outputs/aa20_consensus_axes_hifwb/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-20,outcome_score,90,95,research/outputs/aa20_consensus_axes_hifwb/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-20,bf_scores,96,102,research/outputs/aa20_consensus_axes_hifwb/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-20,eligibility,128,134,research/outputs/aa20_consensus_axes_hifwb/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-20,main,226,307,research/outputs/aa20_consensus_axes_hifwb/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-21,score_human_data,28,119,research/outputs/aa21_bigfive_hifwb_persona_projection/run_bigfive_hifwb_projection.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-21,main,206,233,research/outputs/aa21_bigfive_hifwb_persona_projection/run_bigfive_hifwb_projection.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-22,score_traits,42,50,research/outputs/aa22_direct_trait_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-22,score_outcome,51,55,research/outputs/aa22_direct_trait_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-22,score_bigfive,56,61,research/outputs/aa22_direct_trait_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-22,main,90,129,research/outputs/aa22_direct_trait_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-23,score_traits,42,50,research/outputs/aa23_bigfive_residual_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-23,score_outcome,51,55,research/outputs/aa23_bigfive_residual_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-23,score_bigfive,56,61,research/outputs/aa23_bigfive_residual_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-23,main,110,134,research/outputs/aa23_bigfive_residual_hifwb_bridge/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-24,load_aa20,20,23,research/outputs/aa24_model_consensus_hifwb_projection/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-24,main,42,73,research/outputs/aa24_model_consensus_hifwb_projection/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
AA-25,main,25,116,research/outputs/aa25_intervention_bigfive_transport/run_analysis.py,bcec11d9db9b2e87554012bb3d2f5f2a8201df6f
