trait,cluster,pc1,pc2,pc3,pc1_rank_ascending,pc1_rank_descending,pc1_percentile,pc2_rank_ascending,pc2_rank_descending,pc2_percentile,pc3_rank_ascending,pc3_rank_descending,pc3_percentile,axis_projection
absolutist,,10.503917602405293,14.582413785966727,1.0446893737928666,143,98,0.5941422594142259,160,81,0.6652719665271967,114,127,0.47280334728033474,-0.3600873930804919
abstract,,31.876226938730124,11.2032013179286,-32.622269635926436,189,52,0.7866108786610879,155,86,0.6443514644351465,25,216,0.100418410041841,-0.3239371420425319
accessible,,-8.707469126000143,-73.66823416244549,57.03601149443211,100,141,0.41422594142259417,2,239,0.0041841004184100415,237,4,0.9874476987447699,0.15978290101362908
accommodating,,8.21553813166455,-27.909238042190285,23.319215193925658,131,110,0.5439330543933054,43,198,0.17573221757322174,196,45,0.8158995815899581,0.05515803480315276
acerbic,,-61.6916986927491,55.41976468836586,9.445270814940804,25,216,0.100418410041841,235,6,0.9790794979079498,156,85,0.6485355648535565,-0.3978814820870251
adaptable,,7.2745292019474475,-44.03428578689249,16.135488107876387,128,113,0.5313807531380753,23,218,0.09205020920502092,178,63,0.7405857740585774,0.10689886648075797
adventurous,,-41.57493957632805,-7.4248319216840715,-10.936531629210068,48,193,0.19665271966527198,95,146,0.39330543933054396,75,166,0.30962343096234307,-0.5360030067795221
agreeable,,59.4769275281764,-52.56998746644862,19.76627564715857,217,24,0.9037656903765691,11,230,0.04184100418410042,189,52,0.7866108786610879,0.37820798780029047
altruistic,,32.85705268520246,-35.80474493234767,3.798884607916085,192,49,0.799163179916318,31,210,0.12552301255230125,125,116,0.5188284518828452,0.06720415447206218
analytical,,57.55285342290192,30.76994981696081,14.737993338837633,213,28,0.8870292887029289,200,41,0.8326359832635983,171,70,0.7112970711297071,0.4102147948731656
animated,,-66.43602513202042,-39.26722876329731,-13.810338673226306,21,220,0.08368200836820083,27,214,0.1087866108786611,67,174,0.27615062761506276,-0.3941195851460725
anthropocentric,,13.165925610804228,7.254584097460993,20.575524400879537,153,88,0.6359832635983264,143,98,0.5941422594142259,191,50,0.7949790794979079,0.08432417439411026
anxious,,-42.56115778568063,4.341277782603363,29.15509472807195,47,194,0.19246861924686193,137,104,0.5690376569037657,208,33,0.8661087866108786,-0.21040470230706618
arrogant,,-22.575762408710954,35.10370487978872,-1.989078069284307,72,169,0.29707112970711297,206,35,0.8577405857740585,107,134,0.4435146443514644,-0.5467166279312651
artistic,,-25.05129212845188,-52.07143443067573,-37.57771607618078,69,172,0.28451882845188287,13,228,0.0502092050209205,22,219,0.08786610878661087,-0.6072817725114292
ascetic,,26.57153719962011,1.5881350295666652,-6.709628398651919,180,61,0.7489539748953975,125,116,0.5188284518828452,89,152,0.3682008368200837,-0.2562188568995756
