domain,k_items,n_estimates,corr_with_full,rmse,rmse_over_full_sd,mae
Agreeableness,1,16390,0.677280,0.764206,1.106370,0.576813
Agreeableness,2,16390,0.812600,0.496114,0.718242,0.377641
Agreeableness,3,16390,0.885468,0.363713,0.526561,0.277879
Agreeableness,4,16390,0.927698,0.277177,0.401279,0.210666
Agreeableness,5,16390,0.957981,0.206794,0.299384,0.154942
Conscientiousness,1,16470,0.659527,0.769040,1.140763,0.599844
Conscientiousness,2,16470,0.804440,0.493567,0.732137,0.381398
Conscientiousness,3,16470,0.880918,0.363966,0.539892,0.280044
Conscientiousness,4,16470,0.925156,0.276695,0.410438,0.212483
Conscientiousness,5,16470,0.956944,0.204043,0.302669,0.155616
Extraversion,1,12980,0.735144,0.703482,0.929193,0.544981
Extraversion,2,12980,0.856219,0.454392,0.600184,0.351146
Extraversion,3,12980,0.913187,0.336983,0.445104,0.260806
Extraversion,4,12980,0.948986,0.251834,0.332635,0.194084
Extraversion,5,12980,0.970992,0.186427,0.246242,0.142139
Openness,1,18360,0.645587,0.754136,1.212327,0.569221
Openness,2,18360,0.783173,0.496885,0.798778,0.374850
Openness,3,18360,0.864934,0.362534,0.582800,0.274831
Openness,4,18360,0.915065,0.273411,0.439528,0.206816
Openness,5,18360,0.951217,0.201344,0.323675,0.149202
EmotionalStability,1,11680,0.706178,0.718747,1.012543,0.556755
EmotionalStability,2,11680,0.835237,0.466107,0.656634,0.359568
EmotionalStability,3,11680,0.900476,0.343100,0.483346,0.264553
EmotionalStability,4,11680,0.940079,0.258545,0.364228,0.198296
EmotionalStability,5,11680,0.964132,0.195282,0.275105,0.147804
