representation,n,dense_core_n,curve_variance_explained,pca1_variance_explained,pca1_pca2_cumulative,arc_length,endpoint_distance,curvature_ratio,median_dense_core_distance,mean_dense_core_distance,median_local_participation_ratio_dim,p10_local_pr_dim,p90_local_pr_dim,median_local_pc_count_80pct,pooled_density_falloff_slope,pooled_density_falloff_r2
Big Five,8585,4293,0.4165631977556322,0.39998870158672317,0.5715446439131866,4.441804839061083,3.729417453584955,1.1910184081943778,1.1686201410840469,1.1671638388528556,4.538026744957153,4.244463624985821,4.744518853553537,4.0,-0.45408740160093924,0.81645371621169
BFAS,3082,1541,0.32018294741429454,0.26277811712263033,0.39672201887752107,7.220604023803954,3.5722070578633596,2.0213285251507247,1.9492231422442523,1.9213411965606102,7.084400426212053,6.546232180026579,7.584276886391344,6.0,-0.4099146752648308,0.8486321321643037
