sensitivity,trait,cohort_n,trait_n,corr,r2,gradient_cosine_to_primary
clean_bigfive,adventurous,2235,1156,0.33953533757967436,0.11527764071919977,0.9813161436490148
clean_bigfive,altruistic,2235,1535,0.5013953106084557,0.2513961935885096,0.9929926840418336
clean_bigfive,forgiving,2235,1332,0.4587823463218917,0.21048001436759634,0.9920382917491275
clean_bigfive,grandiose,2235,1520,0.41153392868130145,0.1693050688840806,0.9952145235063838
clean_bigfive,impulsive,2235,1403,0.47622419636384467,0.2267831677867147,0.9971319446824015
clean_bigfive,manipulative,2235,1431,0.38583999211165304,0.14881226897573052,0.9949701191555533
clean_bigfive,optimistic,2235,1554,0.5718349558371747,0.3269573322420841,0.9966176488121158
clean_bigfive,pessimistic,2235,1291,0.5336261922599425,0.28467861971219366,0.9941118723150895
clean_bigfive,traditional,2235,1490,0.39722258287169493,0.15777054262808898,0.9956973438427477
clean_bigfive,innovative,2235,1526,0.6028126839620918,0.3633465513903611,0.9892780877104016
clean_bigfive,introspective,2235,1309,0.31880086095070764,0.10136966983445617,0.992402171036813
clean_bigfive,judgmental,2235,1012,0.3615507173306465,0.13071341990605512,0.9877372073074788
trait_atleast2_items,altruistic,8165,926,0.5235939970587818,0.2741486758261642,0.9864078262467473
trait_atleast2_items,forgiving,8165,566,0.46890958014321527,0.21917370277359927,0.9914565476639855
trait_atleast2_items,grandiose,8165,897,0.45289288098268016,0.2051003614389667,0.9895136472686055
trait_atleast2_items,impulsive,8165,725,0.5097346769945351,0.2596263622386965,0.9947823306758333
trait_atleast2_items,manipulative,8165,745,0.38565712584209993,0.1482630379214973,0.9977771305376085
trait_atleast2_items,optimistic,8165,957,0.5977454542136621,0.3572947752533344,0.9922908940498804
trait_atleast2_items,traditional,8165,835,0.4467813899143986,0.19960458188718988,0.9910202329146596
trait_atleast2_items,innovative,8165,924,0.5726175438362102,0.32783911457307036,0.9934463094186222
