retained_fraction,retained_n,component_count,material_component_count,largest_component_fraction,material_min_n
0.1,858,1,1,1.0,86
0.2,1717,1,1,1.0,86
0.3,2576,1,1,1.0,86
0.4,3434,1,1,1.0,86
0.5,4292,1,1,1.0,86
0.6,5151,1,1,1.0,86
0.7,6010,1,1,1.0,86
0.8,6868,1,1,1.0,86
0.9,7726,1,1,1.0,86
