rank_by_pc2_desc,role,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile
1,amateur,grounded_social,-0.258633,40.070456,-24.428541,47.455,96.182,7.455
2,influencer,combative_iconoclast,3.229311,40.002556,-2.211369,52.182,95.818,45.273
3,patient,grounded_social,0.411892,29.188211,-27.329048,48.545,90.364,6.364
4,gamer,combative_iconoclast,-1.515565,24.950026,24.217635,46.364,88.909,90.727
5,optimist,grounded_social,0.231517,22.207882,-31.270952,48.182,87.091,2.364
6,podcaster,grounded_social,0.844643,21.108976,-9.123879,49.273,85.273,28.545
7,blogger,grounded_social,-0.32169,20.848444,-14.391345,47.091,84.909,17.636
8,workaholic,combative_iconoclast,2.56665,19.360138,23.982014,51.455,82.0,90.364
9,chameleon,grounded_social,-0.639659,15.880444,-5.605038,46.727,79.091,35.455
10,caregiver,grounded_social,1.344612,14.616834,-43.370517,50.0,78.364,0.182
11,hacker,combative_iconoclast,-2.564236,14.293777,36.36363,45.273,77.636,99.818
12,chef,grounded_social,4.481306,12.232802,-8.702589,52.909,74.0,29.273
13,devils_advocate,combative_iconoclast,6.519322,7.660097,21.460077,54.364,68.909,88.182
14,spy,procedural_professional,0.721474,2.535426,32.136986,48.909,61.636,98.0
15,saboteur,combative_iconoclast,5.936887,-0.775323,34.773662,54.0,55.818,99.091
16,writer,procedural_professional,4.197415,-2.136192,-6.619327,52.545,53.273,32.909
17,sommelier,procedural_professional,-0.155039,-5.31589,-4.98265,47.818,44.545,36.909
18,guardian,procedural_professional,5.555769,-6.861265,-13.004053,53.636,40.182,18.364
19,merchant,procedural_professional,-2.027629,-7.980796,2.930994,45.636,38.0,59.091
20,visionary,procedural_professional,1.057843,-7.986158,1.517625,49.636,37.636,54.727
21,symbiont,procedural_professional,6.654008,-11.553818,-9.936103,54.727,30.0,25.273
22,healer,procedural_professional,-1.760882,-11.560648,-34.34543,46.0,29.636,1.636
23,composer,procedural_professional,1.774242,-17.582766,-4.900928,50.364,18.727,37.273
24,traditionalist,procedural_professional,2.384568,-26.883152,-6.692218,50.727,10.364,32.182
25,purist,procedural_professional,2.70651,-29.726928,10.257806,51.818,7.091,76.545
26,philosopher,procedural_professional,5.320795,-30.9439,3.955251,53.273,6.0,62.364
27,hive,procedural_professional,2.429805,-32.680856,4.708353,51.091,4.182,64.545
