permutation,permutation_seed,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,mean_pc_r2,selected_alphas_by_outer_fold
0,20260911,-0.00020281274379296832,0.10026702801833834,0.05564986584345519,1.1434354810336085,0.9069268743221581,-0.032626904762754316,-0.09316765620057324,-0.13383052999047923,1.0531413726966121,0.8289067250244124,-0.027221679047047198,-0.04207155786485687,-0.04557167998615158,0.710536124684235,0.5235850729206591,1.5197741604470034,1.3101549196611242,1.7092141570479562,1.5555238475882707,1.3785059286529862,1.7678019233912208,-0.020017132184531494,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
1,20260911,-0.04084412893314737,-0.06334266641736952,-0.14426992873835148,1.1664348238037834,0.917705211434474,-0.009453572526700205,0.05123788469024591,0.01832030235711607,1.0412574720858832,0.8172503863117974,-0.027787918781152277,-0.024536059892104462,-0.0011563428637373417,0.7107319336146528,0.52582959075771,1.5158850249188889,1.3137067546303667,1.7175352115215776,1.546514324650243,1.366878867778818,1.7653713703138116,-0.026028540080333284,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
2,20260911,-0.021322930563734355,-0.016558710562255524,-0.025785176423069156,1.1554447135919321,0.911852496249465,-0.023814631998755553,-0.05244171173069717,-0.07800351980612216,1.0486380745294452,0.8135748036847533,-0.035405792817663206,-0.12071028223682445,-0.12371483800236577,0.7133610124046375,0.5244526696449281,1.5177293283350566,1.3030579489601541,1.7156859361606172,1.5506752581920942,1.3897155854635475,1.7690721755439889,-0.026847785126717705,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
3,20260911,-0.03932293770494999,-0.05420260615590598,0.023649058019099275,1.1655821412759106,0.906857228211461,-0.030833110524926877,-0.07363559690705784,-0.06710193012319321,1.0522262599700494,0.8227374533320148,-0.002541481303427462,0.07269975948597517,0.040637027206370274,0.7019485000029431,0.5187206034962755,1.5108576790910326,1.2854826204386363,1.7200271878340403,1.5467388094624965,1.3635654140912887,1.772308870657939,-0.024232509844434775,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
4,20260911,-0.0458934027969673,-0.09846566370573281,-0.08997201465624188,1.1692606663632117,0.9232223811073265,-0.039981869939246906,-0.1528578807283579,-0.13052075820085976,1.056885258528276,0.8187352504952016,-0.0009497776057754148,0.07620000744767531,0.05568102478289721,0.7013910478329167,0.51404822542015,1.5226996165595807,1.2916082180535071,1.7251453149165954,1.557843127696177,1.3723435031455657,1.77984984477973,-0.028941683447329874,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
5,20260911,-0.027337040570608595,-0.036687019869115635,-0.02822480597790024,1.1588416664929435,0.910948403043077,-0.035153735205332604,-0.06444083848783658,-0.05049767750497677,1.0544291000105002,0.8146662498791736,0.009371763822322743,0.12026431166822404,0.08242405008511007,0.6977653931903329,0.5118993331972921,1.5104061137419975,1.3027484822017454,1.715112614052837,1.5387886308496033,1.3589306100329666,1.7588635288316168,-0.017706337317872817,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
6,20260911,-0.02119600642834696,-0.007591704367477421,-0.02890453247165402,1.155372915351886,0.9116788554901795,-0.04508752923755632,-0.11227548920654601,-0.13223565390496522,1.0594764043684175,0.8213660481786605,-0.0527995641896315,-0.1638737300695374,-0.15084908109979517,0.7193279294213127,0.5281098941978579,1.5216411009792365,1.309588401278567,1.7247636055377848,1.5578095751790109,1.3867840962863411,1.787753175105671,-0.03969436661851159,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
7,20260911,-0.03026503849347284,-0.06383549918434675,-0.06955136897377456,1.1604918901545764,0.9151719822161059,-0.024606340113117353,0.005984093504972962,-0.039010415164017195,1.0490434481239024,0.8173828252734048,-0.012306191673615574,0.023881850974470566,0.030660973428348864,0.7053586902596516,0.5181609131539238,1.5176691555421233,1.3344084420756397,1.7160316037564807,1.5526745191976632,1.3768209579222601,1.7752220281698945,-0.022392523426735256,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
8,20260911,-0.02205929516756422,-0.01789284856856492,0.008885490897550561,1.1558611711386315,0.9091742036877459,-0.03460700100486913,-0.0849152010519714,-0.06282911629785638,1.0541506058252728,0.8181487747783147,-0.036848370057143365,-0.05384450894191564,-0.019889789677158768,0.7138577839005358,0.5208275215967948,1.5154565874872636,1.29740197883996,1.719546882856976,1.5563915744245513,1.3662350381349637,1.7922791418484527,-0.031171555409858904,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
9,20260911,-0.03308488301085011,0.002166234514132559,0.019549926430281875,1.1620789432328018,0.9138089829343972,-0.020661312466315307,-0.04986175333871724,-0.024927151553619343,1.0470219416494424,0.813467959881321,-0.03370467292643742,-0.03865353920109327,-0.0157444966965754,0.7127747632928211,0.5248650746607231,1.5174114028087495,1.316574786910625,1.7189328898440366,1.5525503791815523,1.392822270912716,1.772414374963528,-0.029150289467867612,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
10,20260911,-0.06481855043695717,-0.13247088342245003,-0.15286344883298233,1.1797919615646981,0.9160808220211174,-0.01792740874645604,0.0020935121440239096,0.0538149505207582,1.0456187452442482,0.8096463884630104,-0.026350275614426488,-0.018511964447660276,-0.0047125010819076205,0.7102346829422852,0.5181781810229167,1.5199822036838324,1.2866509255002216,1.7290636014424,1.549730654644352,1.3481037565955498,1.7755614980041765,-0.0363654115992799,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
11,20260911,-0.009789726133947019,0.017456697820249518,0.057744438994835695,1.1489023094975253,0.903996207078258,-0.03956177540371808,-0.009447589544810835,-0.007472952309512132,1.0566717756875454,0.820148454573747,0.023303058875514426,0.16892721332954774,0.1441152880759355,0.6928416520250481,0.5099493787311171,1.5054001230706493,1.3052417256241617,1.707794283010754,1.5368369027684132,1.3611126146712496,1.7518353060647314,-0.008682814220716891,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
12,20260911,-0.03834553092131565,-0.05604775801735899,-0.04343036842560803,1.1650339402206091,0.9142570126312008,0.005446345583627554,0.10520275633990583,0.07878307030956984,1.03354422578929,0.8013813341789715,0.008019514191855648,0.11568956886079965,0.1354813767635094,0.6982414704828775,0.5137603951543724,1.4969763557717364,1.2976128149333448,1.706768554793072,1.5273851623694183,1.3467563229234059,1.754552021976269,-0.008293223715277484,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
