persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
aberration,7.2387938102855545,8.503640295875275,81.45454545454545,2.1359376036830877,35.63636363636364,genie,7.2387938102855545,wraith,8.65156764798313,simulacrum,8.768206804031584,vampire,8.817775021684147,leviathan,9.041858195391962
absurdist,10.94806565924214,11.471268576181476,96.0,4.681024570960653,90.54545454545455,demon,10.94806565924214,provocateur,11.152232586066932,trickster,11.333333972515392,jester,11.37908551002336,aberration,12.543625153059565
accountant,2.3424584058190376,3.123424401783379,19.636363636363637,1.2465215211242453,2.909090909090909,dispatcher,2.3424584058190376,scheduler,2.995182883077997,auditor,3.3875482617635324,screener,3.3919433552289546,grader,3.4999891030273735
activist,6.220469884377297,7.162323491021593,70.54545454545455,4.912767772727569,92.0,blogger,6.220469884377297,vegan,7.016740486227363,advocate,7.225873968433853,entrepreneur,7.624789533586648,altruist,7.723743582482801
actor,6.050223480182756,6.5652791696128165,67.63636363636364,2.047238108609635,30.909090909090907,exile,6.050223480182756,musician,6.249462748984059,photographer,6.271586938560809,nomad,7.0648313247789565,flaneur,7.1902913555574965
addict,3.8152179372092068,5.826686550179763,62.54545454545455,3.740147701603985,81.0909090909091,orphan,3.8152179372092068,celebrity,5.679012894583528,divorcee,5.8172012021493105,bartender,6.290586114852762,retiree,7.5314146021040065
adolescent,0.8670119025594439,10.720377559783651,93.81818181818183,4.160953322009063,85.81818181818181,teenager,0.8670119025594439,fool,10.44685082711566,prisoner,13.465941361465731,procrastinator,13.483062661516467,provincial,15.339021046260951
advocate,4.596263136663788,4.853005174301226,48.36363636363637,2.214617680664005,39.27272727272727,guide,4.596263136663788,architect,4.7235435803981645,guardian,4.790045295806824,networker,5.008287686119804,presenter,5.146886172517553
alien,5.534520355561793,6.1158205964690255,64.36363636363637,2.3116099790114233,42.18181818181818,mycorrhizal,5.534520355561793,egregore,5.790609472587557,swarm,5.933178627952851,chimera,6.62949776358326,familiar,6.691296762659664
altruist,4.406218700615808,6.196466770190918,65.45454545454545,4.022041457856044,84.0,pacifist,4.406218700615808,vegan,6.1846499370484285,blogger,6.494054643322801,healer,6.914455921914402,guardian,6.982954648053149
amateur,6.81137095908451,7.704727843754296,75.63636363636364,3.012575822302387,67.63636363636364,orphan,6.81137095908451,divorcee,7.199293425970588,newlywed,7.990010303410023,bartender,8.000595731781864,addict,8.522368798524496
ambassador,3.2879324730313604,4.032185158677016,36.0,3.2283868849311177,73.45454545454545,guardian,3.2879324730313604,editor,3.964446381057797,archivist,4.095250713451705,navigator,4.336037570633037,conservator,4.477258655211181
amnesiac,6.513718617100844,9.053468776646593,86.54545454545455,4.312345315827879,86.9090909090909,prey,6.513718617100844,loner,9.295990364054694,addict,9.67392251831445,provincial,9.836041612398457,hoarder,9.947670771364532
analyst,1.7527617605923207,2.4142338565358723,5.454545454545454,1.647998640475742,15.636363636363637,evaluator,1.7527617605923207,reviewer,2.25928275922381,engineer,2.6166127494271287,researcher,2.633766267586564,strategist,2.808745745849539
anarchist,6.876624250389634,9.610023568337027,88.0,4.503288758486115,89.81818181818181,revolutionary,6.876624250389634,contrarian,8.313302545690597,maverick,10.560729547118514,destroyer,10.568227141156544,flaneur,11.731234357329846
ancient,3.809815883680146,4.698068346518748,46.54545454545455,2.1344445340151936,35.27272727272727,homunculus,3.809815883680146,echo,4.642582348880847,familiar,4.856505181814878,ghost,4.935343021724979,oracle,5.2460952964928875
angel,6.292863093050552,6.74089307005209,68.72727272727272,2.4214851469710683,45.09090909090909,guru,6.292863093050552,shaman,6.514201661410344,sage,6.601663112496107,avatar,6.674735762535528,artisan,7.621001720767923
anthropologist,3.2747097374670187,3.6844077204000287,29.454545454545457,3.7964344407690014,82.54545454545455,linguist,3.2747097374670187,sociologist,3.5232881233728204,interpreter,3.58239344814388,generalist,3.8925517054616052,geographer,4.149095587554818
archaeologist,3.8988341989513025,4.33346036348256,41.45454545454545,2.61442636112747,52.0,sommelier,3.8988341989513025,collector,4.048528408693814,naturalist,4.2725392165615785,historian,4.594503460029449,cartographer,4.852896533176653
architect,1.583217250785806,2.7058707806153905,10.909090909090908,2.0747684966607243,32.0,navigator,1.583217250785806,guide,2.6055012383100284,designer,2.9417738252960888,scout,3.117394992481786,cartographer,3.2814665962032437
archivist,1.6061431049042112,2.777678981451048,12.727272727272727,1.972532298709948,28.363636363636363,conservator,1.6061431049042112,editor,2.777440720934564,cartographer,2.9853225155577237,collector,3.1563267966630284,journalist,3.3631617691957123
artisan,4.33482584521035,5.278978937968191,56.36363636363636,2.202584912808003,37.81818181818182,elder,4.33482584521035,photographer,4.510018600866808,composer,5.710593292619444,shapeshifter,5.799152789061239,playwright,6.040304162083116
ascetic,6.7842756917246385,7.780521626495019,76.36363636363637,3.774652329834078,81.81818181818183,revenant,6.7842756917246385,prophet,7.4225632865576765,hermit,7.9862595392785245,stoic,8.31376484325111,golem,8.395744771663141
assistant,2.107796016630403,2.8219270436142785,13.818181818181818,2.845281045426789,62.18181818181818,instructor,2.107796016630403,trainer,2.571814256104452,coordinator,2.8600618489109606,supervisor,3.2148878497517126,organizer,3.355075246673864
auctioneer,5.2419389477946785,7.846105981599263,77.0909090909091,4.416786029960487,89.0909090909091,gamer,5.2419389477946785,fixer,8.13423755202802,vigilante,8.283825673044362,veteran,8.390112170071294,chef,9.18041556505796
