item_number,facet_code,official_html_sign,workbook_sign
1,N1,1,1
2,E1,1,1
3,O1,1,1
4,A1,1,1
5,C1,1,1
6,N2,1,1
7,E2,1,1
8,O2,1,1
9,A2,1,1
10,C2,1,1
11,N3,1,1
12,E3,1,1
13,O3,1,1
14,A3,1,1
15,C3,1,1
16,N4,1,1
17,E4,1,1
18,O4,1,1
19,A4,1,1
20,C4,1,1
21,N5,1,1
22,E5,1,1
23,O5,1,1
24,A5,1,1
25,C5,1,1
26,N6,1,1
27,E6,1,1
28,O6,1,1
29,A6,1,1
30,C6,1,1
31,N1,1,1
32,E1,1,1
33,O1,1,1
34,A1,1,1
35,C1,1,1
36,N2,1,1
37,E2,1,1
38,O2,1,1
39,A2,1,1
40,C2,1,1
41,N3,1,1
42,E3,1,1
43,O3,1,1
44,A3,1,1
45,C3,1,1
46,N4,1,1
47,E4,1,1
48,O4,1,1
49,A4,1,1
50,C4,1,1
51,N5,1,1
52,E5,1,1
53,O5,1,1
54,A5,1,1
55,C5,1,1
56,N6,1,1
57,E6,1,1
58,O6,1,1
59,A6,1,1
60,C6,1,1
61,N1,1,1
62,E1,1,1
63,O1,1,1
64,A1,1,1
65,C1,1,1
66,N2,1,1
67,E2,1,1
68,O2,1,1
69,A2,-1,-1
70,C2,1,1
71,N3,1,1
72,E3,1,1
73,O3,1,1
74,A3,1,1
75,C3,1,1
76,N4,1,1
77,E4,1,1
78,O4,1,1
79,A4,1,1
80,C4,1,1
81,N5,1,1
82,E5,1,1
83,O5,1,1
84,A5,1,1
85,C5,1,1
86,N6,1,1
87,E6,1,1
88,O6,1,1
89,A6,1,1
90,C6,1,1
91,N1,1,1
92,E1,1,1
93,O1,1,1
94,A1,1,1
95,C1,1,1
96,N2,1,1
97,E2,1,1
98,O2,1,1
99,A2,-1,-1
100,C2,1,1
101,N3,1,1
102,E3,1,1
103,O3,1,1
104,A3,1,1
105,C3,1,1
106,N4,1,1
107,E4,1,1
108,O4,1,1
109,A4,-1,-1
110,C4,1,1
111,N5,1,1
112,E5,1,1
113,O5,1,1
114,A5,1,1
115,C5,1,1
116,N6,1,1
117,E6,1,1
118,O6,-1,-1
119,A6,1,1
120,C6,-1,-1
121,N1,1,1
122,E1,1,1
123,O1,1,1
124,A1,1,1
125,C1,1,1
126,N2,1,1
127,E2,1,1
128,O2,1,1
129,A2,-1,-1
130,C2,1,1
131,N3,1,1
132,E3,1,1
133,O3,1,1
134,A3,1,1
135,C3,1,1
136,N4,1,1
137,E4,1,1
138,O4,-1,-1
139,A4,-1,-1
140,C4,1,1
141,N5,1,1
142,E5,1,1
143,O5,1,1
144,A5,-1,-1
145,C5,1,1
146,N6,1,1
147,E6,1,1
148,O6,-1,-1
149,A6,-1,-1
150,C6,-1,-1
151,N1,-1,-1
152,E1,-1,-1
153,O1,1,1
154,A1,1,1
155,C1,1,1
156,N2,-1,-1
157,E2,-1,-1
158,O2,-1,-1
159,A2,-1,-1
160,C2,-1,-1
161,N3,1,1
162,E3,-1,-1
163,O3,-1,-1
164,A3,-1,-1
165,C3,-1,-1
166,N4,1,1
167,E4,-1,-1
168,O4,-1,-1
169,A4,-1,-1
170,C4,1,1
171,N5,-1,-1
172,E5,1,1
173,O5,-1,-1
174,A5,-1,-1
175,C5,-1,-1
176,N6,-1,-1
177,E6,1,1
178,O6,-1,-1
179,A6,-1,-1
180,C6,-1,-1
181,N1,-1,-1
182,E1,-1,-1
183,O1,-1,-1
184,A1,-1,-1
185,C1,-1,-1
186,N2,-1,-1
187,E2,-1,-1
188,O2,-1,-1
189,A2,-1,-1
190,C2,-1,-1
191,N3,1,1
192,E3,-1,-1
193,O3,-1,-1
194,A3,-1,-1
195,C3,-1,-1
196,N4,-1,-1
197,E4,-1,-1
198,O4,-1,-1
199,A4,-1,-1
200,C4,1,1
201,N5,-1,-1
202,E5,1,1
203,O5,-1,-1
204,A5,-1,-1
205,C5,-1,-1
206,N6,-1,-1
207,E6,1,1
208,O6,-1,-1
209,A6,-1,-1
210,C6,-1,-1
211,N1,-1,-1
212,E1,-1,-1
213,O1,-1,-1
214,A1,-1,-1
215,C1,-1,-1
216,N2,-1,-1
217,E2,-1,-1
218,O2,-1,-1
219,A2,-1,-1
220,C2,-1,-1
221,N3,-1,-1
222,E3,-1,-1
223,O3,-1,-1
224,A3,-1,-1
225,C3,-1,-1
226,N4,-1,-1
227,E4,-1,-1
228,O4,-1,-1
229,A4,-1,-1
230,C4,-1,-1
231,N5,-1,-1
232,E5,1,1
233,O5,-1,-1
234,A5,-1,-1
235,C5,-1,-1
236,N6,-1,-1
237,E6,1,1
238,O6,-1,-1
239,A6,-1,-1
240,C6,-1,-1
241,N1,-1,-1
242,E1,-1,-1
243,O1,-1,-1
244,A1,-1,-1
245,C1,-1,-1
246,N2,-1,-1
247,E2,-1,-1
248,O2,-1,-1
249,A2,-1,-1
250,C2,-1,-1
251,N3,-1,-1
252,E3,-1,-1
253,O3,-1,-1
254,A3,-1,-1
255,C3,-1,-1
256,N4,-1,-1
257,E4,-1,-1
258,O4,-1,-1
259,A4,-1,-1
260,C4,-1,-1
261,N5,-1,-1
262,E5,-1,-1
263,O5,-1,-1
264,A5,-1,-1
265,C5,-1,-1
266,N6,-1,-1
267,E6,-1,-1
268,O6,-1,-1
269,A6,-1,-1
270,C6,-1,-1
271,N1,-1,-1
272,E1,-1,-1
273,O1,-1,-1
274,A1,-1,-1
275,C1,-1,-1
276,N2,-1,-1
277,E2,-1,-1
278,O2,-1,-1
279,A2,-1,-1
280,C2,-1,-1
281,N3,-1,-1
282,E3,-1,-1
283,O3,-1,-1
284,A3,-1,-1
285,C3,-1,-1
286,N4,-1,-1
287,E4,-1,-1
288,O4,-1,-1
289,A4,-1,-1
290,C4,-1,-1
291,N5,-1,-1
292,E5,-1,-1
293,O5,-1,-1
294,A5,-1,-1
295,C5,-1,-1
296,N6,-1,-1
297,E6,-1,-1
298,O6,-1,-1
299,A6,-1,-1
300,C6,-1,-1
