facet_code,facet,items,full_item_count_n,at_least_9_items_n
A1,Trust,10,297716,307012
A2,Morality,10,295180,306821
A3,Altruism,10,296470,306921
A4,Cooperation,10,295351,306846
A5,Modesty,10,295163,306848
A6,Sympathy,10,295816,306886
C1,Self-Efficacy,10,296468,306943
C2,Orderliness,10,295821,306895
C3,Dutifulness,10,294657,306783
C4,Achievement-Striving,10,294062,306774
C5,Self-Discipline,10,293532,306744
C6,Cautiousness,10,293923,306733
E1,Friendliness,10,297550,307000
E2,Gregariousness,10,296197,306935
E3,Assertiveness,10,294994,306845
E4,Activity Level,10,294988,306827
E5,Excitement-Seeking,10,294407,306815
E6,Cheerfulness,10,292380,306600
N1,Anxiety,10,297621,306979
N2,Anger,10,296777,306961
N3,Depression,10,295798,306888
N4,Self-Consciousness,10,295204,306819
N5,Immoderation,10,295845,306877
N6,Vulnerability,10,295094,306869
O1,Imagination,10,296517,306923
O2,Artistic Interests,10,296226,306876
O3,Emotionality,10,295470,306864
O4,Adventurousness,10,295694,306935
O5,Intellect,10,293345,306707
O6,Liberalism,10,293803,306712
