model,activation_direction_cosine,pearson_r,spearman_r,single_domain_r2,joint_five_domain_standardized_coefficient,partial_correlation_controlling_other_four,partial_r2_in_sample,partial_r2_held_out,joint_five_domain_held_out_r2,remaining_pc3_variance_after_single_domain
qwen,-0.8471327084401699,-0.8817142067464541,-0.8375263264187416,0.7774199423785287,-0.8940474548273962,-0.7304270823368233,0.5335237226110845,0.5241221297581025,0.9046711890516621,0.22258005762147126
llama,-0.19284558072762542,-0.16386096736226766,-0.01859265456853524,0.026850416624898146,-0.27855800173940765,-0.1751920178018374,0.030692243101479316,0.0057898433682861405,0.6146766428243542,0.9731495833751018
gemma,-0.6900858099495835,-0.5708574039196237,-0.5247015377513632,0.3258781756098524,-0.6628879662848715,-0.47252756907038024,0.22328230353156298,0.19917293736971975,0.7217307974366604,0.6741218243901477
