model,model_label,construction,construction_label,domain,persona,raw_projection_score,within_model_percentile,pc1,pc2,pc3
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,aberration,0.256838412257939,97.27272727272727,-47.93762578341881,-16.326007106437135,31.10837994068234
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,absurdist,0.271145699674209,98.36363636363636,-34.38396676716284,14.55109908938147,33.406228337123466
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,accountant,0.07067349459011225,2.727272727272727,42.24790302485423,-4.026883124169549,7.345582691417099
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,activist,0.19223215184587872,72.9090909090909,13.519598034170489,4.204792712031452,-8.246736028177706
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,actor,0.21363171261610922,83.81818181818181,-23.89004845129744,21.456843196797983,0.28310250054088654
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,addict,0.21918858362002713,86.0,-19.963020546393704,38.66393954527176,-16.28229715869853
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,adolescent,0.22641072892968145,89.63636363636364,-15.45010533714626,78.08059631966728,-7.233790274763137
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,advocate,0.14774771602779505,44.18181818181818,13.533940143861242,2.701166392523508,-11.350794543485724
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,alien,0.1997999180681022,78.36363636363636,-20.463192597578004,-22.757723956655372,12.343088809973633
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,altruist,0.11331506758461651,17.272727272727273,11.355226573617275,-3.9140554770542524,-24.74471677556319
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,amateur,0.1660491674524811,55.45454545454545,-0.258632816025379,40.070455881847,-24.428541419933254
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,ambassador,0.09286593454597705,7.818181818181818,29.687363638232775,-8.415887622622742,-8.973791647128397
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,amnesiac,0.2137287924329905,84.18181818181819,-42.409067288043374,13.632674404389606,-10.732726414715174
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,analyst,0.10548488716244502,14.363636363636363,42.52076402902483,-6.588173530267823,7.2547088066858905
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,anarchist,0.2204239488361403,87.0909090909091,7.030221450455893,-4.272104727395262,9.464346589503284
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,ancient,0.18753291973952885,68.9090909090909,-38.00947156079938,-32.79258504165284,3.3089624117832828
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,angel,0.12925659384443722,28.545454545454547,-40.46316823100484,-28.855131378755974,-30.585188351624783
qwen,Qwen/Qwen3-32B,human_anchored_strict,Human-anchored strict,openness,anthropologist,0.13686378395227417,36.18181818181818,31.896983355445162,-20.196809991117853,0.9589580546314816
