model,construction,domain,pc,n,pearson_r,spearman_r,single_domain_r2
qwen,human_anchored_strict,openness,PC1,275,-0.7043408248097867,-0.7479841897233203,0.49609599749373057
qwen,human_anchored_strict,openness,PC2,275,0.29496790507831533,0.217963705605724,0.08700606502629005
qwen,human_anchored_strict,openness,PC3,275,0.3431122405216127,0.2614915899714377,0.11772600959576102
qwen,human_anchored_strict,conscientiousness,PC1,275,0.7482330809024169,0.8207807045382419,0.5598527433567227
qwen,human_anchored_strict,conscientiousness,PC2,275,-0.65473772911963,-0.5249733129453853,0.42868149393273003
qwen,human_anchored_strict,conscientiousness,PC3,275,-0.012091403937688028,0.08345691122587345,0.00014620204918433757
qwen,human_anchored_strict,extraversion,PC1,275,-0.8174223073635812,-0.8531958108536972,0.6681792285756011
qwen,human_anchored_strict,extraversion,PC2,275,0.5335147137217777,0.43871959839589164,0.28463794975763046
qwen,human_anchored_strict,extraversion,PC3,275,-0.009164139524563472,-0.08291624592481464,8.398145322566642e-05
qwen,human_anchored_strict,agreeableness,PC1,275,0.42367080953932995,0.40671359741496205,0.17949695485571118
qwen,human_anchored_strict,agreeableness,PC2,275,-0.05855359231033752,0.08647990536914688,0.003428523172445217
qwen,human_anchored_strict,agreeableness,PC3,275,-0.8817142067464541,-0.8375263264187416,0.7774199423785287
qwen,human_anchored_strict,neuroticism,PC1,275,-0.7576674754352781,-0.8341686621851648,0.5740600033324678
qwen,human_anchored_strict,neuroticism,PC2,275,0.5340826648297841,0.3699177750209169,0.28524429287168346
qwen,human_anchored_strict,neuroticism,PC3,275,0.33566015838923496,0.21077233778598423,0.11266774192988631
qwen,human_anchored_extended,openness,PC1,275,-0.8356577019913091,-0.8505305674966102,0.6983237948973955
qwen,human_anchored_extended,openness,PC2,275,0.40996271687933555,0.3638440898993105,0.16806942923108625
qwen,human_anchored_extended,openness,PC3,275,-0.016790970525655848,-0.05817200888606792,0.0002819366911934434
qwen,human_anchored_extended,conscientiousness,PC1,275,0.836628547715805,0.8829150918900205,0.6999473268530569
qwen,human_anchored_extended,conscientiousness,PC2,275,-0.5362611596370035,-0.4151311272034852,0.28757603133522375
qwen,human_anchored_extended,conscientiousness,PC3,275,-0.014129826762114954,0.06850985257205505,0.00019965200432737999
qwen,human_anchored_extended,extraversion,PC1,275,-0.821758909416863,-0.850692709385188,0.6752877052059921
qwen,human_anchored_extended,extraversion,PC2,275,0.372645426945139,0.2851775771039497,0.13886461422312493
qwen,human_anchored_extended,extraversion,PC3,275,0.24117508507670074,0.15934162314993797,0.05816542166175384
qwen,human_anchored_extended,agreeableness,PC1,275,0.3979994237548354,0.3795614667782234,0.15840354130918102
qwen,human_anchored_extended,agreeableness,PC2,275,-0.0377025869165193,0.09476241308675457,0.0014214850601976924
qwen,human_anchored_extended,agreeableness,PC3,275,-0.8943115475310321,-0.8542407893597993,0.7997931440473496
qwen,human_anchored_extended,neuroticism,PC1,275,-0.7933139791773242,-0.8491463027610283,0.6293470695581599
qwen,human_anchored_extended,neuroticism,PC2,275,0.4310337698816517,0.27638498600732814,0.18579011077838867
qwen,human_anchored_extended,neuroticism,PC3,275,0.392425717485779,0.2734987449871614,0.15399794374422843
qwen,external_taxonomy_expanded,openness,PC1,275,-0.7931641829294396,-0.81228008424454,0.6291094210821255
qwen,external_taxonomy_expanded,openness,PC2,275,0.22243464672296903,0.17633074637200313,0.04947717206277204
qwen,external_taxonomy_expanded,openness,PC3,275,-0.06714248728269782,-0.10094515449640808,0.004508113598507239
qwen,external_taxonomy_expanded,conscientiousness,PC1,275,0.8497961315327985,0.8856114941865497,0.7221534651681094
qwen,external_taxonomy_expanded,conscientiousness,PC2,275,-0.5002672662082558,-0.3921121721819913,0.2502673376394819
qwen,external_taxonomy_expanded,conscientiousness,PC3,275,-0.10166377745769725,-0.015577738668820866,0.010335523646968192
qwen,external_taxonomy_expanded,extraversion,PC1,275,-0.761250822500509,-0.8156752546089264,0.5795028147577015
qwen,external_taxonomy_expanded,extraversion,PC2,275,0.5301209349261959,0.413998442053028,0.2810282056470241
qwen,external_taxonomy_expanded,extraversion,PC3,275,0.19540275596167037,0.08583537693661465,0.038182237037416106
qwen,external_taxonomy_expanded,agreeableness,PC1,275,0.5256257325858108,0.527819739765154,0.2762824107563703
qwen,external_taxonomy_expanded,agreeableness,PC2,275,-0.04612091484249162,0.09623611551888289,0.0021271387859083633
qwen,external_taxonomy_expanded,agreeableness,PC3,275,-0.8270717952157237,-0.7601119413750326,0.68404775444136
qwen,external_taxonomy_expanded,neuroticism,PC1,275,-0.7787412991559275,-0.8427898791148554,0.6064380110110618
qwen,external_taxonomy_expanded,neuroticism,PC2,275,0.46530730386188457,0.3046749949510978,0.2165108870272162
