model,construction,pc,domain,standardized_joint_coefficient,partial_correlation,partial_r2_in_sample,partial_r2_held_out,full_model_held_out_r2,reduced_model_held_out_r2
qwen,human_anchored_strict,PC1,openness,0.5690549942394247,0.34900558054795305,0.12180489525361375,0.10964857167906428,0.7319066130557761,0.6988903724793183
qwen,human_anchored_strict,PC1,conscientiousness,-1.007700473800793,-0.3045755969994802,0.09276629428758978,0.07420312441292876,0.7319066130557761,0.710418781901571
qwen,human_anchored_strict,PC1,extraversion,-2.35151161962223,-0.5913314259029084,0.3496728552603669,0.33376847500153484,0.7319066130557761,0.5975972662884101
qwen,human_anchored_strict,PC1,agreeableness,0.49143308247440076,0.33127600161892334,0.1097437892486209,0.10300895635413054,0.7319066130557761,0.701119215355213
qwen,human_anchored_strict,PC1,neuroticism,0.29901392373070274,0.091112940660763,0.00830156795585172,-0.00470197457968724,0.7319066130557761,0.7331612819250409
qwen,human_anchored_strict,PC2,openness,0.4549348647057493,0.23990460621125523,0.05755422008137744,0.04532321595577493,0.6121249809053941,0.593710640525393
qwen,human_anchored_strict,PC2,conscientiousness,-2.0368103476042996,-0.47272842095133827,0.22347215997514566,0.20655116416932673,0.6121249809053941,0.511153080603447
qwen,human_anchored_strict,PC2,extraversion,-2.2822717023705588,-0.5085931065454675,0.2586669480255693,0.24174521246887737,0.6121249809053941,0.4884634749784741
qwen,human_anchored_strict,PC2,agreeableness,0.6746841751738691,0.3714549389999108,0.13797877170742745,0.1272682610174819,0.6121249809053941,0.5555621484021959
qwen,human_anchored_strict,PC2,neuroticism,0.7958587640381383,0.1981155840988912,0.03924978466284484,0.024573980152031494,0.6121249809053941,0.602353216746196
qwen,human_anchored_strict,PC3,openness,0.1527715560119468,0.1651038166387414,0.027259270268679144,0.01587997731678492,0.9046711890516621,0.9031329423738146
qwen,human_anchored_strict,PC3,conscientiousness,-0.11316391869519091,-0.060015292175249,0.003601835294880504,-0.00632908913554564,0.9046711890516621,0.9052707389883492
qwen,human_anchored_strict,PC3,extraversion,-0.7415292329024427,-0.3610375133900672,0.13034808607488294,0.12043554918877408,0.9046711890516621,0.8916181629891752
qwen,human_anchored_strict,PC3,agreeableness,-0.8940474548273962,-0.7304270823368233,0.5335237226110845,0.5241221297581025,0.9046711890516621,0.7996779911201155
qwen,human_anchored_strict,PC3,neuroticism,0.18350680498569605,0.09359952937806913,0.008760871899796026,-0.005582256920246831,0.9046711890516621,0.9052003848593179
qwen,human_anchored_extended,PC1,openness,-0.5133516619085379,-0.15392797941973918,0.02369382284824365,0.020565552537628595,0.7131251213869995,0.70710150193689
qwen,human_anchored_extended,PC1,conscientiousness,0.563785471979998,0.16110802087052378,0.025955794388817125,0.01636027739756163,0.7131251213869995,0.7083537071337369
qwen,human_anchored_extended,PC1,extraversion,0.1286009443802054,0.03801326441544261,0.0014450082715183553,-0.0026119186393596117,0.7131251213869995,0.7138724632335139
qwen,human_anchored_extended,PC1,agreeableness,0.2148900791679412,0.10565552183166876,0.011163089293522235,0.0032443730007252203,0.7131251213869995,0.7121913628151414
qwen,human_anchored_extended,PC1,neuroticism,0.1920285029606028,0.04937402810595852,0.002437794651407982,-0.011526218471225036,0.7131251213869995,0.7163940258053121
qwen,human_anchored_extended,PC2,openness,-1.2725680157540729,-0.25368218958077854,0.06435465331049807,0.06026038827497948,0.37806671307352235,0.33818551525689744
qwen,human_anchored_extended,PC2,conscientiousness,-1.055239599049235,-0.20316800371170568,0.041277237732199656,0.024396598136959158,0.37806671307352235,0.3625142288979152
qwen,human_anchored_extended,PC2,extraversion,0.4688742889877376,0.09377503038125047,0.00879375632300445,0.005441930954973806,0.37806671307352235,0.37466367597453865
qwen,human_anchored_extended,PC2,agreeableness,0.5092590268607514,0.16855337930083178,0.028410241673730068,0.019321015836339384,0.37806671307352235,0.36581358735155034
qwen,human_anchored_extended,PC2,neuroticism,0.48930279436047097,0.08523169406901084,0.007264441673873457,-0.009247773760479694,0.37806671307352235,0.38376551021842686
qwen,human_anchored_extended,PC3,openness,-0.8413363499174566,-0.4716481167302085,0.2224519460151524,0.22870926957819315,0.9347823922066211,0.9154435477816356
qwen,human_anchored_extended,PC3,conscientiousness,0.037125428141029634,0.022513892053584145,0.0005068753354004392,-0.007608510745076513,0.9347823922066211,0.935274854174114
qwen,human_anchored_extended,PC3,extraversion,0.5291324340602832,0.3115794897334675,0.09708177842256797,0.09965207654232766,0.9347823922066211,0.9275639937692988
qwen,human_anchored_extended,PC3,agreeableness,-0.8698557455952836,-0.6693846121195834,0.4480757589424852,0.4417722918066217,0.9347823922066211,0.8831702424724741
