persona,activation_cluster,bigfive_residual,svd0,svd1,svd2,svd3,svd4,svd5,svd6,svd7,svd8,svd9,svd10,svd11,svd12,svd13,svd14
aberration,mythic_spiritual,35.52,0.1634,-0.11178,0.16077,0.01053,-0.00247,0.04643,0.0517,0.05174,-0.02527,-0.01633,-0.04044,-0.00119,0.00676,-0.0331,-0.03755
absurdist,trickster_chaos,9.84,0.22244,-0.13424,0.02887,0.08962,-0.00345,0.07586,-0.01236,-0.0259,0.07192,0.0696,-0.13749,-0.03228,-0.01502,-0.10139,0.10979
accountant,editorial,7.5,0.19989,0.23338,0.01614,-0.043,0.04114,-0.13134,-0.04076,-0.01544,-0.02814,-0.04703,0.0003,-0.01594,0.03826,-0.04011,-0.02634
activist,procedural_professional,14.24,0.17371,-0.04628,-0.0123,0.14176,0.08905,-0.09953,0.17922,-0.06963,-0.08247,0.00342,-0.13496,0.07461,0.0311,0.07415,0.1433
actor,grounded_social,14.61,0.25505,0.04873,0.03865,0.01037,-0.06621,0.02916,0.00228,0.03987,-0.00529,0.2269,0.02481,0.02429,-0.17234,0.00929,-0.14828
addict,grounded_social,13.27,0.28534,-0.18598,-0.12656,-0.12786,0.0106,-0.05598,0.01044,-0.12058,0.06381,0.01142,0.0204,0.09757,-0.11747,-0.01978,0.03433
adolescent,other,50.27,0.24751,-0.20639,-0.23862,-0.18717,0.00765,-0.0183,0.01677,-0.13841,-0.15287,0.03239,-0.13116,-0.21009,0.04762,-0.07545,-0.11182
advocate,procedural_professional,28.44,0.14835,0.0161,-0.04955,0.12772,0.01113,-0.02545,0.03161,-0.02992,0.02153,0.01406,-0.00569,0.0479,0.05244,0.12286,0.01919
alien,mythic_spiritual,27.21,0.26434,-0.19549,0.15877,-0.07717,0.00903,0.01604,-0.04927,-0.00695,-0.09866,0.08229,-0.00919,0.00587,0.07528,-0.11177,0.10908
altruist,procedural_professional,0.0,0.1416,-0.05008,-0.14857,0.17569,0.03875,0.10226,0.07877,0.13234,-0.00454,0.119,0.0825,-0.07755,0.01939,0.15223,-0.11885
