persona,activation_cluster,bigfive_residual,combined_residual,residual_improvement,sim_to_developmental,sim_to_stalling,sim_to_collective,sim_to_symbolic,sim_to_liminal
aberration,mythic_spiritual,35.52,38.47,-2.95,0.0472,0.0391,0.057,0.0564,0.0304
absurdist,trickster_chaos,9.84,10.47,-0.63,0.0657,0.0458,0.0449,0.093,0.0656
accountant,editorial,7.5,4.28,3.22,0.0242,0.0296,0.0128,0.0262,0.0268
activist,procedural_professional,14.24,13.06,1.18,0.0514,0.0533,0.0408,0.0539,0.056
actor,grounded_social,14.61,16.41,-1.8,0.0381,0.0698,0.0475,0.0638,0.045
addict,grounded_social,13.27,27.8,-14.53,0.1037,0.0935,0.0566,0.0555,0.0895
adolescent,other,50.27,43.58,6.69,0.641,0.0768,0.0753,0.0625,0.0867
advocate,procedural_professional,28.44,16.72,11.72,0.0146,0.047,0.0187,0.0395,0.0306
alien,mythic_spiritual,27.21,22.53,4.68,0.073,0.0671,0.1033,0.0976,0.0631
altruist,procedural_professional,,,,0.0449,0.0526,0.0185,0.0444,0.0642
amateur,grounded_social,40.43,13.34,27.09,0.0746,0.5629,0.0311,0.0512,0.058
ambassador,procedural_professional,11.7,16.88,-5.18,0.0522,0.0507,0.0326,0.0504,0.0492
amnesiac,grounded_social,25.94,19.83,6.1,0.1581,0.0613,0.091,0.0648,0.091
analyst,procedural_professional,7.91,13.96,-6.05,0.0415,0.0502,0.0262,0.0429,0.0305
anarchist,procedural_professional,6.36,9.13,-2.78,0.0364,0.0479,0.0661,0.0564,0.0481
ancient,mythic_spiritual,34.72,19.72,15.0,0.0617,0.0621,0.1346,0.0805,0.0442
angel,mythic_spiritual,,,,0.0595,0.0684,0.0379,0.0494,0.0476
anthropologist,procedural_professional,17.98,8.65,9.33,0.0286,0.0261,0.0211,0.0489,0.0475
archaeologist,procedural_professional,23.09,10.46,12.62,0.042,0.0209,0.0227,0.0611,0.0394
architect,procedural_professional,10.14,17.69,-7.55,0.0458,0.0268,0.0165,0.0277,0.0554
archivist,procedural_professional,10.57,13.7,-3.13,0.0375,0.04,0.0362,0.0359,0.0651
artisan,grounded_social,24.81,18.61,6.2,0.0511,0.0479,0.0223,0.0407,0.0416
ascetic,mythic_spiritual,,,,0.0529,0.0575,0.0617,0.0614,0.075
assistant,procedural_professional,24.57,19.69,4.87,0.0421,0.0583,0.0195,0.0349,0.0213
auctioneer,grounded_social,14.54,17.0,-2.46,0.0275,0.027,0.0245,0.0207,0.0494
auditor,procedural_professional,19.33,5.76,13.57,0.0192,0.0244,0.0173,0.0282,0.0468
avatar,mythic_spiritual,12.99,13.61,-0.62,0.0567,0.0349,0.0859,0.066,0.0332
bard,mythic_spiritual,40.96,29.82,11.14,0.0605,0.0476,0.0519,0.5427,0.0604
bartender,grounded_social,22.97,23.2,-0.23,0.0456,0.0316,0.0136,0.0453,0.07
biologist,procedural_professional,10.78,14.82,-4.04,0.0479,0.0378,0.0611,0.0323,0.0494
blogger,grounded_social,27.39,22.02,5.36,0.0323,0.0298,0.039,0.0965,0.0243
bohemian,grounded_social,33.8,30.27,3.53,0.046,0.058,0.0306,0.0536,0.0904
builder,procedural_professional,13.36,9.21,4.15,0.0367,0.0443,0.0351,0.0624,0.0339
caregiver,grounded_social,,,,0.0645,0.0259,0.0235,0.0572,0.0361
cartographer,procedural_professional,14.67,12.39,2.28,0.0251,0.0247,0.0305,0.0265,0.0672
caveman,trickster_chaos,42.76,30.19,12.56,0.4781,0.0672,0.043,0.1063,0.0713
celebrity,grounded_social,15.07,13.63,1.44,0.1243,0.0777,0.0481,0.0584,0.0793
chameleon,grounded_social,14.39,8.71,5.67,0.0783,0.0658,0.0593,0.0518,0.0703
chef,grounded_social,12.76,11.44,1.32,0.0238,0.0398,0.0211,0.0551,0.0365
chemist,procedural_professional,,,,0.0318,0.0347,0.0194,0.0269,0.0606
chimera,mythic_spiritual,,,,0.0419,0.0414,0.126,0.0657,0.0305
