persona,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,global_pc2_rank_desc,cluster_pc2_rank_desc,cluster_size
teenager,other,-13.392085,78.113855,-6.473981,35.818182,99.818182,33.272727,1,1,6
adolescent,other,-15.450105,78.080596,-7.233790,34.000000,99.454545,31.818182,2,2,6
toddler,other,-36.268291,71.156434,-12.325705,15.818182,99.090909,19.090909,3,3,6
procrastinator,other,-16.543519,69.468250,16.772103,32.545455,98.727273,86.363636,4,4,6
gossip,trickster_chaos,-24.695131,57.220169,28.584501,24.909091,98.363636,95.818182,5,1,10
comedian,trickster_chaos,-24.029318,56.603652,31.280027,25.636364,98.000000,97.636364,6,2,10
fool,trickster_chaos,-37.406737,47.921356,7.515254,15.090909,97.636364,69.636364,7,3,10
infant,other,-42.890391,44.700155,-19.499292,8.909091,97.272727,9.272727,8,5,6
daredevil,combative_iconoclast,-29.846147,43.747371,26.447963,21.636364,96.909091,94.363636,9,1,15
cynic,combative_iconoclast,-21.406835,40.712029,36.281453,28.909091,96.545455,99.454545,10,2,15
amateur,grounded_social,-0.258633,40.070456,-24.428541,47.454545,96.181818,7.454545,11,1,54
influencer,combative_iconoclast,3.229311,40.002556,-2.211369,52.181818,95.818182,45.272727,12,3,15
hoarder,other,-26.144485,39.078367,4.210295,24.181818,95.454545,63.090909,13,6,6
prisoner,grounded_social,-22.403888,38.781432,-0.139571,27.818182,95.090909,48.545455,14,2,54
addict,grounded_social,-19.963021,38.663940,-16.282297,30.000000,94.727273,14.000000,15,3,54
criminal,grounded_social,-37.555704,37.433932,26.991719,14.727273,94.363636,94.727273,16,4,54
orphan,grounded_social,-23.437725,36.542565,-18.765496,27.090909,94.000000,10.727273,17,5,54
bartender,grounded_social,-16.599115,36.325048,-2.778273,32.181818,93.636364,43.454545,18,6,54
newlywed,grounded_social,-3.479968,36.008991,-29.969727,43.454545,93.272727,3.818182,19,7,54
narcissist,grounded_social,-21.994757,34.672101,25.556729,28.545455,92.909091,91.818182,20,8,54
improviser,grounded_social,-15.019540,34.444208,-0.662761,34.727273,92.545455,47.454545,21,9,54
grandparent,grounded_social,-30.308928,34.398036,-30.142523,21.272727,92.181818,3.454545,22,10,54
graduate,grounded_social,9.100150,34.393799,-14.396207,57.636364,91.818182,17.272727,23,11,54
smuggler,grounded_social,-25.843835,33.794272,28.072006,24.545455,91.454545,95.454545,24,12,54
celebrity,grounded_social,-6.950383,33.261735,-10.510409,40.909091,91.090909,23.818182,25,13,54
divorcee,grounded_social,-6.764238,31.756335,-25.897505,41.272727,90.727273,6.727273,26,14,54
patient,grounded_social,0.411892,29.188211,-27.329048,48.545455,90.363636,6.363636,27,15,54
parent,grounded_social,7.071281,28.571432,-28.684836,55.454545,90.000000,4.545455,28,16,54
competitor,combative_iconoclast,-5.725992,27.917313,25.667225,41.636364,89.636364,92.545455,29,4,15
retiree,grounded_social,-3.851535,26.588382,-17.854690,42.727273,89.272727,11.818182,30,17,54
gamer,combative_iconoclast,-1.515565,24.950026,24.217635,46.363636,88.909091,90.727273,31,5,15
rebel,combative_iconoclast,-24.268899,23.900385,27.926136,25.272727,88.545455,95.090909,32,6,15
provincial,grounded_social,-22.102236,23.678003,-19.095904,28.181818,88.181818,9.636364,33,18,54
student,editorial,20.816857,23.378311,-17.442826,66.000000,87.818182,13.272727,34,1,13
provocateur,combative_iconoclast,-23.792196,22.517387,34.501806,26.727273,87.454545,98.727273,35,7,15
optimist,grounded_social,0.231517,22.207882,-31.270952,48.181818,87.090909,2.363636,36,19,54
mechanic,procedural_professional,11.601084,22.115207,6.157200,59.454545,86.727273,66.000000,37,1,126
vigilante,grounded_social,-18.713039,21.985395,23.789986,30.727273,86.363636,90.000000,38,20,54
surfer,grounded_social,-33.841942,21.928042,-9.514137,19.090909,86.000000,26.363636,39,21,54
actor,grounded_social,-23.890048,21.456843,0.283103,26.000000,85.636364,50.000000,40,22,54
podcaster,grounded_social,0.844643,21.108976,-9.123879,49.272727,85.272727,28.545455,41,23,54
