persona,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,global_pc2_rank_desc,cluster_pc2_rank_desc,cluster_size,within_cluster_extreme_band
daredevil,combative_iconoclast,-29.846147,43.747371,26.447963,21.636364,96.909091,94.363636,9,1,15,top10_pc2
cynic,combative_iconoclast,-21.406835,40.712029,36.281453,28.909091,96.545455,99.454545,10,2,15,top10_pc2
influencer,combative_iconoclast,3.229311,40.002556,-2.211369,52.181818,95.818182,45.272727,12,3,15,top10_pc2
competitor,combative_iconoclast,-5.725992,27.917313,25.667225,41.636364,89.636364,92.545455,29,4,15,top10_pc2
gamer,combative_iconoclast,-1.515565,24.950026,24.217635,46.363636,88.909091,90.727273,31,5,15,top10_pc2
rebel,combative_iconoclast,-24.268899,23.900385,27.926136,25.272727,88.545455,95.090909,32,6,15,top10_pc2
provocateur,combative_iconoclast,-23.792196,22.517387,34.501806,26.727273,87.454545,98.727273,35,7,15,top10_pc2
maverick,combative_iconoclast,-10.538674,20.109883,25.585925,38.000000,83.454545,92.181818,46,8,15,top10_pc2
workaholic,combative_iconoclast,2.566650,19.360138,23.982014,51.454545,82.000000,90.363636,50,9,15,top10_pc2
hacker,combative_iconoclast,-2.564236,14.293777,36.363630,45.272727,77.636364,99.818182,62,10,15,top10_pc2
rebel,combative_iconoclast,-24.268899,23.900385,27.926136,25.272727,88.545455,95.090909,32,6,15,top10_pc2
provocateur,combative_iconoclast,-23.792196,22.517387,34.501806,26.727273,87.454545,98.727273,35,7,15,top10_pc2
maverick,combative_iconoclast,-10.538674,20.109883,25.585925,38.000000,83.454545,92.181818,46,8,15,top10_pc2
workaholic,combative_iconoclast,2.566650,19.360138,23.982014,51.454545,82.000000,90.363636,50,9,15,top10_pc2
hacker,combative_iconoclast,-2.564236,14.293777,36.363630,45.272727,77.636364,99.818182,62,10,15,top10_pc2
contrarian,combative_iconoclast,-3.586692,13.934091,26.083446,43.090909,76.909091,93.636364,64,11,15,bottom10_pc2
devils_advocate,combative_iconoclast,6.519322,7.660097,21.460077,54.363636,68.909091,88.181818,86,12,15,bottom10_pc2
saboteur,combative_iconoclast,5.936887,-0.775323,34.773662,54.000000,55.818182,99.090909,122,13,15,bottom10_pc2
destroyer,combative_iconoclast,-3.118260,-3.204588,23.321853,44.181818,48.545455,89.636364,142,14,15,bottom10_pc2
revolutionary,combative_iconoclast,-11.514294,-5.725035,18.037641,36.909091,43.818182,87.090909,155,15,15,bottom10_pc2
student,editorial,20.816857,23.378311,-17.442826,66.000000,87.818182,13.272727,34,1,13,top10_pc2
interviewer,editorial,26.221935,7.460181,-8.457649,71.818182,68.545455,29.636364,87,2,13,top10_pc2
translator,editorial,23.285578,5.104163,0.649725,68.181818,66.727273,52.181818,92,3,13,top10_pc2
nutritionist,editorial,35.130551,2.036327,-12.037406,87.818182,60.909091,19.818182,108,4,13,top10_pc2
proofreader,editorial,32.679235,1.592360,0.592134,81.636364,59.818182,51.454545,111,5,13,top10_pc2
summarizer,editorial,35.588427,-0.975228,-6.657899,88.181818,55.090909,32.545455,124,6,13,top10_pc2
editor,editorial,34.619814,-2.114740,-5.095158,86.727273,53.636364,36.545455,128,7,13,top10_pc2
screener,editorial,42.995156,-2.396497,3.826973,97.636364,52.181818,62.000000,132,8,13,top10_pc2
supervisor,editorial,44.398046,-2.589062,-0.505227,98.727273,51.454545,47.818182,134,9,13,top10_pc2
secretary,editorial,40.755814,-3.400106,-1.078593,93.636364,48.181818,47.090909,143,10,13,top10_pc2
nutritionist,editorial,35.130551,2.036327,-12.037406,87.818182,60.909091,19.818182,108,4,13,top10_pc2
proofreader,editorial,32.679235,1.592360,0.592134,81.636364,59.818182,51.454545,111,5,13,top10_pc2
summarizer,editorial,35.588427,-0.975228,-6.657899,88.181818,55.090909,32.545455,124,6,13,top10_pc2
editor,editorial,34.619814,-2.114740,-5.095158,86.727273,53.636364,36.545455,128,7,13,top10_pc2
screener,editorial,42.995156,-2.396497,3.826973,97.636364,52.181818,62.000000,132,8,13,top10_pc2
supervisor,editorial,44.398046,-2.589062,-0.505227,98.727273,51.454545,47.818182,134,9,13,top10_pc2
secretary,editorial,40.755814,-3.400106,-1.078593,93.636364,48.181818,47.090909,143,10,13,top10_pc2
accountant,editorial,42.247903,-4.026883,7.345583,94.727273,47.090909,69.272727,146,11,13,bottom10_pc2
pharmacist,editorial,37.875919,-4.241319,-3.806831,91.090909,46.727273,39.818182,147,12,13,bottom10_pc2
grader,editorial,42.711762,-6.184781,1.886083,95.818182,43.090909,55.818182,157,13,13,bottom10_pc2
amateur,grounded_social,-0.258633,40.070456,-24.428541,47.454545,96.181818,7.454545,11,1,54,top10_pc2
prisoner,grounded_social,-22.403888,38.781432,-0.139571,27.818182,95.090909,48.545455,14,2,54,top10_pc2
addict,grounded_social,-19.963021,38.663940,-16.282297,30.000000,94.727273,14.000000,15,3,54,top10_pc2
criminal,grounded_social,-37.555704,37.433932,26.991719,14.727273,94.363636,94.727273,16,4,54,top10_pc2
orphan,grounded_social,-23.437725,36.542565,-18.765496,27.090909,94.000000,10.727273,17,5,54,top10_pc2
bartender,grounded_social,-16.599115,36.325048,-2.778273,32.181818,93.636364,43.454545,18,6,54,top10_pc2
newlywed,grounded_social,-3.479968,36.008991,-29.969727,43.454545,93.272727,3.818182,19,7,54,top10_pc2
narcissist,grounded_social,-21.994757,34.672101,25.556729,28.545455,92.909091,91.818182,20,8,54,top10_pc2
improviser,grounded_social,-15.019540,34.444208,-0.662761,34.727273,92.545455,47.454545,21,9,54,top10_pc2
grandparent,grounded_social,-30.308928,34.398036,-30.142523,21.272727,92.181818,3.454545,22,10,54,top10_pc2
empath,grounded_social,-15.630732,3.872654,-36.850701,33.272727,64.181818,0.545455,99,45,54,bottom10_pc2
musician,grounded_social,-13.635183,2.888231,-16.046590,35.454545,63.090909,14.727273,102,46,54,bottom10_pc2
bohemian,grounded_social,-42.551436,2.697174,-6.445255,9.272727,62.363636,33.636364,104,47,54,bottom10_pc2
prey,grounded_social,-42.051619,1.305191,-0.331030,10.363636,58.727273,48.181818,114,48,54,bottom10_pc2
tulpa,grounded_social,-9.203233,-0.932939,-9.498609,39.818182,55.454545,26.727273,123,49,54,bottom10_pc2
romantic,grounded_social,-35.874448,-2.691353,-30.824385,16.181818,50.000000,2.727273,138,50,54,bottom10_pc2
shapeshifter,grounded_social,-26.647735,-7.225544,-3.341381,23.454545,39.454545,40.909091,167,51,54,bottom10_pc2
novelist,grounded_social,-15.509112,-8.063068,2.911209,33.636364,37.272727,58.727273,173,52,54,bottom10_pc2
flaneur,grounded_social,-28.516237,-8.305863,9.198043,22.727273,35.818182,72.909091,177,53,54,bottom10_pc2
artisan,grounded_social,-13.802244,-12.174626,-14.988345,35.090909,27.818182,15.818182,199,54,54,bottom10_pc2
exile,mythic_spiritual,-46.929442,-4.671833,-7.730744,6.727273,46.000000,30.727273,149,1,51,top10_pc2
elder,mythic_spiritual,-35.705884,-4.929585,-20.673806,16.545455,45.636364,8.545455,150,2,51,top10_pc2
wanderer,mythic_spiritual,-41.612731,-5.170950,-10.129627,11.090909,44.909091,24.909091,152,3,51,top10_pc2
warrior,mythic_spiritual,-34.941639,-6.859443,9.636419,17.636364,40.545455,74.727273,164,4,51,top10_pc2
