persona,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,global_pc2_rank_desc,cluster_pc2_rank_desc,cluster_size,muted_pc1_selection_band,muted_pc1_rank_desc,muted_pc1_selected_count
bartender,grounded_social,-16.599115,36.325048,-2.778273,32.181818,93.636364,43.454545,18,6,54,cluster_pc1_central_35_65,1,16
improviser,grounded_social,-15.019540,34.444208,-0.662761,34.727273,92.545455,47.454545,21,9,54,cluster_pc1_central_35_65,2,16
vigilante,grounded_social,-18.713039,21.985395,23.789986,30.727273,86.363636,90.000000,38,20,54,cluster_pc1_central_35_65,3,16
loner,grounded_social,-17.846603,19.218578,-4.339708,31.454545,81.636364,39.090909,51,27,54,cluster_pc1_central_35_65,4,16
fixer,grounded_social,-12.589281,17.011219,25.801749,36.545455,80.909091,93.272727,53,29,54,cluster_pc1_central_35_65,5,16
auctioneer,grounded_social,-9.959454,16.724855,12.636634,38.727273,80.545455,81.636364,54,30,54,cluster_pc1_central_35_65,6,16
refugee,grounded_social,-13.329593,16.146133,-28.559335,36.181818,79.454545,4.909091,57,32,54,cluster_pc1_central_35_65,7,16
hedonist,grounded_social,-17.840460,12.575093,10.747692,31.818182,74.727273,78.000000,70,37,54,cluster_pc1_central_35_65,8,16
nomad,grounded_social,-15.426303,9.145867,-9.445522,34.363636,71.090909,27.090909,80,40,54,cluster_pc1_central_35_65,9,16
evangelist,grounded_social,-19.141578,5.674437,-2.212665,30.363636,67.454545,44.909091,90,42,54,cluster_pc1_central_35_65,10,16
playwright,grounded_social,-9.817578,4.585625,4.301205,39.090909,65.636364,63.454545,95,44,54,cluster_pc1_central_35_65,11,16
empath,grounded_social,-15.630732,3.872654,-36.850701,33.272727,64.181818,0.545455,99,45,54,cluster_pc1_central_35_65,12,16
musician,grounded_social,-13.635183,2.888231,-16.046590,35.454545,63.090909,14.727273,102,46,54,cluster_pc1_central_35_65,13,16
tulpa,grounded_social,-9.203233,-0.932939,-9.498609,39.818182,55.454545,26.727273,123,49,54,cluster_pc1_central_35_65,14,16
novelist,grounded_social,-15.509112,-8.063068,2.911209,33.636364,37.272727,58.727273,173,52,54,cluster_pc1_central_35_65,15,16
artisan,grounded_social,-13.802244,-12.174626,-14.988345,35.090909,27.818182,15.818182,199,54,54,cluster_pc1_central_35_65,16,16
wanderer,mythic_spiritual,-41.612731,-5.170950,-10.129627,11.090909,44.909091,24.909091,152,3,51,cluster_pc1_central_35_65,1,15
chimera,mythic_spiritual,-37.314148,-16.363016,9.316701,15.454545,19.818182,74.000000,221,12,51,cluster_pc1_central_35_65,2,15
dreamer,mythic_spiritual,-45.562077,-22.887757,-7.693470,8.181818,12.909091,31.090909,240,22,51,cluster_pc1_central_35_65,3,15
whale,mythic_spiritual,-40.875941,-24.119166,-10.280914,12.181818,12.181818,24.181818,242,24,51,cluster_pc1_central_35_65,4,15
familiar,mythic_spiritual,-40.972494,-28.231850,-1.701520,11.818182,10.000000,46.363636,248,28,51,cluster_pc1_central_35_65,5,15
pilgrim,mythic_spiritual,-40.740662,-28.502018,-27.987571,12.545455,9.272727,5.636364,250,30,51,cluster_pc1_central_35_65,6,15
golem,mythic_spiritual,-46.714582,-28.739483,-2.945018,7.454545,8.545455,42.363636,252,32,51,cluster_pc1_central_35_65,7,15
angel,mythic_spiritual,-40.463168,-28.855131,-30.585188,12.909091,7.818182,3.090909,254,34,51,cluster_pc1_central_35_65,8,15
shaman,mythic_spiritual,-41.922689,-32.194950,-27.770490,10.727273,4.545455,6.000000,263,40,51,cluster_pc1_central_35_65,9,15
ancient,mythic_spiritual,-38.009472,-32.792585,3.308962,14.000000,3.454545,59.818182,266,42,51,cluster_pc1_central_35_65,10,15
spirit,mythic_spiritual,-45.035816,-33.236636,-18.033567,8.545455,3.090909,11.454545,267,43,51,cluster_pc1_central_35_65,11,15
oracle,mythic_spiritual,-45.704983,-34.548760,-2.559979,7.818182,2.000000,43.818182,270,46,51,cluster_pc1_central_35_65,12,15
avatar,mythic_spiritual,-38.014889,-35.416923,-12.982497,13.636364,1.636364,18.727273,271,47,51,cluster_pc1_central_35_65,13,15
mystic,mythic_spiritual,-42.168720,-36.161216,-18.949282,10.000000,1.272727,10.000000,272,48,51,cluster_pc1_central_35_65,14,15
ascetic,mythic_spiritual,-40.439576,-40.350869,-4.578672,13.272727,0.545455,38.000000,274,50,51,cluster_pc1_central_35_65,15,15
pragmatist,procedural_professional,28.854692,13.113668,6.330062,75.090909,75.818182,66.363636,67,4,126,cluster_pc1_central_40_60,1,26
coach,procedural_professional,24.853860,11.699204,-14.839957,69.636364,73.636364,16.181818,73,8,126,cluster_pc1_central_40_60,2,26
collaborator,procedural_professional,25.719882,9.670901,-17.672558,70.727273,72.181818,12.545455,77,11,126,cluster_pc1_central_40_60,3,26
teacher,procedural_professional,28.388591,9.316785,-11.634935,74.000000,71.818182,20.909091,78,12,126,cluster_pc1_central_40_60,4,26
tutor,procedural_professional,29.918931,9.024817,-7.572058,76.909091,70.727273,31.454545,81,14,126,cluster_pc1_central_40_60,5,26
mentor,procedural_professional,26.126169,8.141667,-9.389356,71.454545,69.636364,27.818182,84,16,126,cluster_pc1_central_40_60,6,26
paramedic,procedural_professional,26.068793,7.004018,-5.833329,71.090909,68.181818,34.727273,88,18,126,cluster_pc1_central_40_60,7,26
producer,procedural_professional,30.515274,4.303532,0.625298,77.272727,65.272727,51.818182,96,22,126,cluster_pc1_central_40_60,8,26
pilot,procedural_professional,26.581052,1.991588,4.152483,72.181818,60.545455,62.727273,109,31,126,cluster_pc1_central_40_60,9,26
reporter,procedural_professional,27.715362,1.361812,1.029170,73.636364,59.090909,53.272727,113,33,126,cluster_pc1_central_40_60,10,26
veterinarian,procedural_professional,26.870205,0.836878,-11.753710,73.272727,58.363636,20.181818,115,34,126,cluster_pc1_central_40_60,11,26
mediator,procedural_professional,28.536253,0.214022,-16.472155,74.363636,57.636364,13.636364,117,36,126,cluster_pc1_central_40_60,12,26
interpreter,procedural_professional,24.507229,-0.440645,-5.849485,69.272727,56.181818,34.363636,121,40,126,cluster_pc1_central_40_60,13,26
technologist,procedural_professional,30.890110,-1.771369,9.250463,78.000000,54.363636,73.272727,126,42,126,cluster_pc1_central_40_60,14,26
designer,procedural_professional,26.603796,-2.526748,-5.176320,72.545455,51.818182,35.818182,133,47,126,cluster_pc1_central_40_60,15,26
peacekeeper,procedural_professional,24.312096,-2.640138,-18.909350,68.909091,50.727273,10.363636,136,49,126,cluster_pc1_central_40_60,16,26
journalist,procedural_professional,30.591291,-2.691625,3.087737,77.636364,49.636364,59.454545,139,51,126,cluster_pc1_central_40_60,17,26
synthesizer,procedural_professional,25.531551,-8.163528,0.061852,70.000000,36.909091,48.909091,174,74,126,cluster_pc1_central_40_60,18,26
ambassador,procedural_professional,29.687364,-8.415888,-8.973792,76.181818,35.454545,28.909091,178,76,126,cluster_pc1_central_40_60,19,26
chemist,procedural_professional,29.418354,-11.171391,8.463367,75.818182,30.727273,71.818182,191,88,126,cluster_pc1_central_40_60,20,26
polymath,procedural_professional,29.720851,-13.729704,7.308062,76.545455,24.909091,68.909091,207,100,126,cluster_pc1_central_40_60,21,26
critic,procedural_professional,25.623400,-14.771250,6.802533,70.363636,23.454545,67.090909,211,103,126,cluster_pc1_central_40_60,22,26
conservator,procedural_professional,23.523663,-16.820638,-6.184638,68.545455,19.454545,34.000000,222,112,126,cluster_pc1_central_40_60,23,26
physicist,procedural_professional,29.160211,-17.277889,11.471328,75.454545,19.090909,79.090909,223,113,126,cluster_pc1_central_40_60,24,26
archivist,procedural_professional,26.864606,-17.740687,-1.483860,72.909091,18.363636,46.727273,225,115,126,cluster_pc1_central_40_60,25,26
historian,procedural_professional,28.854306,-18.916976,9.284322,74.727273,17.272727,73.636364,228,117,126,cluster_pc1_central_40_60,26,26
