bin,N,backbone_mean,wellbeing_mean,pc1_mean,pc2_mean
0,1288,0.005342266826057011,,-1.8772874981901706,0.21103244857826808
1,429,0.08341790259609579,,-1.4731429694986864,-0.23556939543804006
2,430,0.14159548411991307,,-1.039412707857225,-0.11177298915327993
3,429,0.1952288165567723,,-0.7995046510562409,-0.38563010811475207
4,429,0.2364513035552119,,-0.5345981307762646,-0.10043544379891552
5,513,0.2841077392161688,,-0.28728889448553385,-0.18479935085733146
6,345,0.32246293409786847,,-0.17193795282749944,0.01109661207456305
7,430,0.3615132725593799,,-0.043619124854292,0.09949282108006623
8,429,0.4006174145457999,,0.12357195724698193,0.054809332286918575
9,429,0.43980428388582743,,0.23239389370684466,0.1329139848212974
10,500,0.4836817083751851,,0.32471592804429805,0.30437821629801
11,358,0.5214801633971844,,0.5470654830769559,0.08923865303989696
12,580,0.5805377935012704,,0.8002348421741242,0.4220278648232316
13,279,0.6321889772844148,,1.1146278245960364,0.13520598356424618
14,429,0.7047231908989928,,1.5612997477981303,0.26593940161211277
15,429,0.8075573185970527,,1.8524570169561951,-0.08597343243578816
16,429,0.9255630979678843,,1.8690666600695072,-0.3862002278531798
17,430,0.9994868005012657,,1.7262577485045063,-0.7550422704083697
