dropped_content,N,mean,sd,M2_N,M2_pearson,M2_spearman,M2_R2,M2_RMSE,M2_MAE
Affect,2758,-0.05773573362291721,0.8262462659989469,2758,0.6269425908010553,0.6228769530324141,0.3930486861493637,0.6435876324928657,0.5094815974684214
Appraisal,3285,-0.055396448441740714,0.8134242898070977,3285,0.6364355939826709,0.6302294742669574,0.40504575196651893,0.6273253086739635,0.499099250542935
Meaning-making,3490,-0.048540591506785156,0.8260061642315565,3490,0.6311549490636201,0.6233126485718943,0.39835254921835106,0.6406076196537737,0.5064463820222839
Self-concept,2770,-0.06410721325712514,0.8277280253197662,2770,0.6147024410969748,0.6018971019841548,0.3778547302884586,0.6527624366675377,0.5198182233274701
Interpersonal relationships,3480,-0.05050911937628052,0.823293877955573,3480,0.635868728109061,0.624131630860126,0.4043240631574444,0.6353272843401746,0.5037560112719833
