analysis,mask_stage,old_eligible_n,corrected_eligible_n,removed_n,added_n,eligibility_changed_n,old_eligibility_sha256,corrected_eligibility_sha256,maximum_score_difference_common_finite,newly_missing_score_cells,tolerance,status
AA20,complete_common_coverage,2859,1179,1680,0,1680,8471f18909cead06f5661349fc040637957af903afa39c822a8a66c52984394b,b60fb683ff174ff88e88f7bea08a91a43ab977800de66c1c8169675ba3e4b574,2.013230380582667,349401,1e-10,MATERIAL_CHANGE_RERUN_REQUIRED
AA21_common,complete_common_coverage,2859,1179,1680,0,1680,8471f18909cead06f5661349fc040637957af903afa39c822a8a66c52984394b,b60fb683ff174ff88e88f7bea08a91a43ab977800de66c1c8169675ba3e4b574,0.0,0,1e-10,MATERIAL_CHANGE_RERUN_REQUIRED
AA22,pre_learned_index_coverage,3551,1528,2023,0,2023,4a30faea56012623e7d73701f4aee7a6f77586c27097139f2086aa6e19fcc8a6,f5a8764340b968df8e7821843d0001f17d0b889c19b49fd1feef6e2ccc66b6e3,0.0,216600,1e-10,MATERIAL_CHANGE_RERUN_REQUIRED
AA23,pre_learned_index_coverage,3551,1528,2023,0,2023,4a30faea56012623e7d73701f4aee7a6f77586c27097139f2086aa6e19fcc8a6,f5a8764340b968df8e7821843d0001f17d0b889c19b49fd1feef6e2ccc66b6e3,0.0,216600,1e-10,MATERIAL_CHANGE_RERUN_REQUIRED
AA24,complete_common_coverage,2859,1179,1680,0,1680,8471f18909cead06f5661349fc040637957af903afa39c822a8a66c52984394b,b60fb683ff174ff88e88f7bea08a91a43ab977800de66c1c8169675ba3e4b574,2.013230380582667,349401,1e-10,MATERIAL_CHANGE_RERUN_REQUIRED
