analysis,eligible_n,test_n,delta_r2,ci_low,ci_high,decision,r2
AA20,1179,243,0.0009783730418464476,-0.018559778485809173,0.019268712081237142,B. Reliable association without incremental validity,
AA22,1484,301,0.06544981727629307,0.03304452001818011,0.0975820910871761,increment interval excludes zero,
AA23,1473,294,0.11189606447808975,0.07234328972333329,0.15281602486645945,increment interval excludes zero,
AA24,1179,243,0.0006350156241736737,-0.018820576775213316,0.02076893758567707,increment not established,
AA21_common,1179,236,,,,corrected common-sensitivity refit; primary unchanged,0.4852572867494923
