inventory_type,instrument,scale_id,scale_name,item_count,item_ids,key_source
administered_source_construct,IPIP100,IPIP100:B5:A,B5:A,20,q_140;q_146;q_150;q_195;q_200;q_217;q_838;q_844;q_1041;q_1053;q_1162;q_1163;q_1206;q_1364;q_1385;q_1419;q_1705;q_1763;q_1792;q_1832,ItemInfo696.csv
administered_source_construct,IPIP100,IPIP100:B5:C,B5:C,20,q_76;q_124;q_530;q_619;q_626;q_904;q_931;q_962;q_1254;q_1255;q_1290;q_1333;q_1374;q_1397;q_1422;q_1452;q_1483;q_1507;q_1696;q_1949,ItemInfo696.csv
administered_source_construct,IPIP100,IPIP100:B5:E,B5:E,20,q_55;q_241;q_254;q_262;q_403;q_690;q_698;q_712;q_815;q_819;q_901;q_1114;q_1180;q_1205;q_1410;q_1480;q_1742;q_1768;q_1803;q_1913,ItemInfo696.csv
administered_source_construct,IPIP100,IPIP100:B5:ES,B5:ES,20,q_108;q_177;q_248;q_497;q_890;q_952;q_960;q_974;q_979;q_986;q_995;q_1020;q_1099;q_1479;q_1505;q_1585;q_1677;q_1683;q_1775;q_1989,ItemInfo696.csv
administered_source_construct,IPIP100,IPIP100:B5:O,B5:O,20,q_128;q_132;q_194;q_240;q_316;q_422;q_492;q_493;q_609;q_1050;q_1058;q_1083;q_1088;q_1090;q_1388;q_1392;q_1738;q_1861;q_1893;q_1964,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:A:C,BFAS:A:C,10,q_146;q_195;q_460;q_668;q_844;q_1162;q_1307;q_1763;q_1766;q_1774,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:A:P,BFAS:A:P,10,q_225;q_319;q_364;q_1031;q_1163;q_1359;q_1556;q_1624;q_1663;q_1765,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:C:I,BFAS:C:I,10,q_44;q_107;q_491;q_706;q_904;q_930;q_988;q_1429;q_1521;q_1949,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:C:O,BFAS:C:O,10,q_169;q_170;q_582;q_931;q_1201;q_1255;q_1290;q_1657;q_1915;q_1917,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:E:A,BFAS:E:A,10,q_260;q_455;q_1055;q_1151;q_1205;q_1242;q_1652;q_1768;q_1913;q_2161,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:E:E,BFAS:E:E,10,q_140;q_1043;q_1196;q_1243;q_1410;q_1583;q_1635;q_1703;q_1943;q_2160,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:N:V,BFAS:N:V,10,q_52;q_176;q_413;q_497;q_952;q_965;q_995;q_1185;q_1585;q_1588,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:N:W,BFAS:N:W,10,q_66;q_105;q_126;q_184;q_332;q_820;q_890;q_1578;q_1677;q_1989,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:O:I,BFAS:O:I,10,q_240;q_316;q_322;q_422;q_946;q_1050;q_1088;q_1253;q_1327;q_1834,ItemInfo696.csv
administered_source_construct,BFAS,BFAS:BFAS:O:O,BFAS:O:O,10,q_348;q_612;q_776;q_964;q_1389;q_1441;q_1648;q_1675;q_1682;q_1687,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:A:FL,H:A:FL,10,q_39;q_80;q_134;q_139;q_141;q_142;q_477;q_997;q_1601;q_1957,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:A:FO,H:A:FO,10,q_145;q_159;q_594;q_871;q_915;q_958;q_966;q_1150;q_1373;q_1869,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:A:G,H:A:G,10,q_6;q_239;q_331;q_538;q_898;q_1041;q_1051;q_1571;q_1725;q_1787,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:A:P,H:A:P,10,q_101;q_278;q_926;q_952;q_974;q_995;q_1357;q_1577;q_1585;q_1683,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:C:D,H:C:D,10,q_124;q_520;q_602;q_637;q_985;q_1024;q_1550;q_1563;q_1754;q_1979,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:C:O,H:C:O,10,q_169;q_665;q_962;q_1201;q_1254;q_1255;q_1290;q_1333;q_1483;q_1917,ItemInfo696.csv
administered_source_construct,HEXACO,HEXACO:H:C:PE,H:C:PE,10,q_530;q_554;q_559;q_571;q_1063;q_1507;q_1511;q_1537;q_1915;q_1916,ItemInfo696.csv
