model,pearson_r,spearman_rho,top10_overlap,bottom10_overlap
gemma,0.9531030795232842,0.9349793716280546,7,7
llama,0.9490812037609935,0.864870026831309,3,9
qwen,0.9774687674863682,0.9698808459075041,7,8
