model,model_label,human_fit,construction,persona,hifwb_associated_score_sd,within_model_percentile
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,contrarian,-0.38961405970498936,18.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,coordinator,0.5535269112988537,97.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,coral_reef,-0.18421798758613314,28.363636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,cosmopolitan,0.38569698896214694,81.81818181818183
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,counselor,0.3730455510976502,78.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,criminal,-0.8638389310884934,5.090909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,critic,0.3039500651773319,66.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,crystalline,-0.20891961660640698,27.636363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,curator,0.4098933653307826,86.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,cyborg,0.17041528477208714,54.18181818181819
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,cynic,-1.3115798141699246,0.7272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,daredevil,-0.5225730932056477,14.181818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,debugger,0.3279994439232983,69.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,demon,-0.9708341536058256,4.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,designer,0.5377135774968569,96.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,destroyer,-0.04197093606500896,40.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,detective,0.11475794814639578,49.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,devils_advocate,-0.3218962383345465,21.818181818181817
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,dilettante,-0.2334609706025454,25.454545454545453
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,dispatcher,0.18541826371884096,55.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,divorcee,-0.07573292929379687,37.45454545454546
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,doctor,0.41945900637882955,87.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,dreamer,-0.13617461452663357,31.636363636363633
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,echo,-0.47365453167155835,16.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,economist,0.2999290485968938,66.18181818181819
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,ecosystem,0.3897642597123984,82.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,editor,0.2202585950978128,57.45454545454546
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,egregore,0.07023489526818397,47.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,elder,0.019823434161996698,45.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,eldritch,-0.7192535498855115,9.090909090909092
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,emissary,0.6381529421928315,99.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,empath,0.23117544134802046,58.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,engineer,0.4008340440131082,84.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,entrepreneur,0.3433284766784913,72.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,evaluator,0.37862835574547427,80.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,evangelist,0.23290664065806999,59.27272727272728
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,examiner,0.23361294448046332,59.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,exile,-0.4780884101988659,15.636363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,expatriate,0.1541870203925653,52.72727272727272
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,facilitator,0.4962381242651379,94.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,familiar,-0.0860391047791798,37.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,fixer,-0.5115153586928747,14.545454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,flaneur,-0.2806054345426977,23.636363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,fool,-0.7621374056620097,7.636363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,forecaster,0.37841137755632615,79.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,futurist,0.41083951265447705,86.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,gamer,-0.03539391799402726,41.090909090909086
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,generalist,0.46244675751910147,92.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,genie,-0.47077113707529517,16.363636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,geographer,0.37036535003698096,77.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,ghost,-0.448118595297712,17.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,golem,-0.4938591656426258,15.272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,gossip,-0.6382849747309672,11.272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,grader,0.29375867785559145,65.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,graduate,-0.12132329894619125,33.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,grandparent,-0.04807569248509887,40.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,guardian,0.3280285656097079,69.81818181818183
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,guide,0.4092590401424081,86.18181818181819
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,guru,0.2527899378542229,60.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hacker,-0.5672547042403573,13.818181818181818
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,healer,0.6234908583693792,98.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hedonist,-0.2203154206869383,26.545454545454543
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hermit,-0.34250561013888314,20.727272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,historian,0.17765688205411526,54.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hive,-0.06607455591108903,38.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hoarder,-0.9029784913160585,4.7272727272727275
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,homunculus,-0.2936656395431244,22.545454545454547
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,hybrid,0.4236999569232858,88.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,idealist,0.366704912058068,77.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,immigrant,0.10966775019743079,49.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,improviser,-0.16584129409902124,29.454545454545457
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,infant,-1.2810063742064943,1.090909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,influencer,0.34089567317029207,72.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,instructor,0.3956080611696225,83.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,interpreter,0.4057131697647829,85.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,interviewer,-0.28745930682746923,23.272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,jester,-0.5014105459040087,14.909090909090908
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,journalist,0.3100065862088741,68.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,judge,0.303987795358335,66.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,lawyer,0.2832704406126213,63.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,leviathan,-0.7867349067235724,6.909090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,librarian,0.3567949770624378,74.90909090909092
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,linguist,0.27963192457320946,62.909090909090914
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,loner,-0.5687634475660923,13.454545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,luddite,-0.7811876820621109,7.2727272727272725
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,marketer,0.46527741983738446,92.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,martyr,-0.1185221594263504,33.81818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mathematician,0.26160684370598875,61.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,maverick,-0.20751461772941937,28.000000000000004
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mechanic,-0.07004702489630947,38.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mediator,0.5002810390821417,94.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mentor,0.5021799333685332,95.27272727272728
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,merchant,0.17376334902030377,54.54545454545454
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,minimalist,0.19551653401244484,56.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,moderator,0.376062668586845,78.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,musician,0.157341570702009,53.090909090909086
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mycorrhizal,-0.0909223805884554,36.36363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,mystic,0.2312237932527107,58.909090909090914
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,narcissist,-1.1935170857344677,1.8181818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,narrator,-0.07501227706017953,37.81818181818182
