permutation,permutation_seed,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,mean_pc_r2,selected_alphas_by_outer_fold
0,20260911,-0.044620651638888065,-0.06300343430623126,-0.05501053056749662,30.68744679989054,26.710553165142993,0.0021014245732998704,0.09040804700271196,0.08183606935749113,21.452601389795472,16.479223451351967,-0.02675722609569897,-0.08449046498618717,-0.02761893771097199,15.955928409906337,12.491120537996034,38.28281161575508,37.276347739722894,40.70043180247137,1.6391666778478735,1.560131008407843,1.7581456471874888,-0.02309215105376239,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
1,20260911,-0.005643294856240155,0.05700555016902528,0.06535010530567496,30.109492399340205,26.169045223800097,-0.03768585701258398,-0.10348196661270022,-0.15173249473471626,21.876090467637976,16.990394077235266,-0.024147279075991124,-0.07361197160387263,-0.06908571593433542,15.935636063982423,12.530914530681132,37.930486799692076,37.03449975700069,40.485668618140714,1.6361767747628746,1.5482221744065559,1.7615129742930598,-0.02249214364827175,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
2,20260911,-0.024873899547404266,-0.04787915456334484,-0.058257407460834944,30.39601634908499,26.282595173502706,-0.019796312294792617,-0.03370036025235513,-0.0292016964311474,21.686700436131606,16.68784505777018,-0.03566847788190208,-0.10435432068912262,-0.12233057326678398,16.02501977431622,12.652802627247441,37.97972562061239,37.50410528580544,40.63289362656294,1.6322056963084979,1.546607898747254,1.7595281276061967,-0.026779563241366322,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
3,20260911,-0.036874406262527026,-0.10771996324210822,-0.09923429791408211,30.573455747077443,26.380758062560663,-0.03781411769230325,-0.05862711644178043,-0.050132425492628606,21.87744239679699,16.65439984171833,-0.005140126553284441,0.06866196815167594,0.07714664897146649,15.787068760924331,12.295129010917107,37.982832956682515,38.10333172524524,40.7748724364139,1.6263606801256272,1.5244746227819923,1.7604652307545468,-0.02660955016937157,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
4,20260911,-0.04448311595340604,-0.11370898172486157,-0.11621649692738235,30.685426565101743,26.611216496666195,-0.0530737531540908,-0.17112300692403054,-0.17426617812527048,22.037694391060644,16.991923621763938,-0.03336678504585988,-0.08036484725249454,-0.06108883182827963,16.00720268799211,12.68360527801108,38.395804464727114,36.819080560954724,41.0303048422809,1.653632693622753,1.5205697377329546,1.7813858248447128,-0.0436412180511189,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
5,20260911,-0.04996522830875971,-0.15082458964810128,-0.14251060269467122,30.765849502651772,26.584026253351826,-0.02700048659632337,-0.061595523944447894,-0.09921929546175817,21.763166596602844,16.863432765514524,-0.014287995666782516,0.02119449550810318,0.022048411759614556,15.858745799470737,12.481383437961467,38.22130081158971,38.14274911620172,40.88609463208169,1.642578736672295,1.5417225573223527,1.7706122320147697,-0.0304179035239552,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
6,20260911,-0.022714889000128524,-0.00953477540489767,0.011216064164334554,30.363983179868868,26.365419318472217,-0.03152323158783443,-0.09268069568525228,-0.10807305040246963,21.81103469662673,16.794527723235458,-0.033236432948096306,-0.05678380112596444,-0.0623623092236231,16.006193057004477,12.663856795513395,38.091112541479774,36.8643190756892,40.66805780047669,1.6456132425108314,1.5452442084372684,1.7723205203956003,-0.029158184512019753,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
7,20260911,-0.011805311643986682,0.009192290497808783,0.012812094284642682,30.201598542823497,26.035657482613786,-0.03103263608487783,0.004643740296959589,-0.023261879345662272,21.805847383439364,16.972570430312004,-0.00687292499078862,0.06870546456517708,0.02528259427021725,15.80067085857583,12.444927134078661,37.8800477950483,36.722711614470924,40.46347407518014,1.63674057036356,1.5628218043228592,1.7646425175978715,-0.016570290906551044,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
8,20260911,-0.031171888633413136,-0.09627844486698509,-0.058136233807449304,30.48926712991386,26.53274280699566,-0.03252207685863495,-0.04721958809838254,0.003540001731052192,21.821592179396355,16.7099821325432,-0.042260710019263126,-0.04169159876872721,-0.05444563053576066,16.075940063801642,12.676165122543766,38.170381042243335,36.3598721593739,40.79476858983368,1.6519368209751197,1.5317769937500998,1.7859881957321548,-0.03531822517043707,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
9,20260911,-0.005086317962090803,0.07062830434080619,0.08040391217795217,30.101153153032794,25.98004670272748,-0.028740433762233675,-0.06633036034381493,-0.05618880009232278,21.78159440438557,16.864891067073916,-0.05908841983913482,-0.14784154658875548,-0.1407472375292115,16.20519662149098,12.75903622007185,37.901914288871254,36.557987034860695,40.53548659484279,1.6377381266037483,1.5336617784230604,1.7670081219752918,-0.030971723854486433,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
