model,cluster,n_held_out,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,bias_pc1,bias_pc2,bias_pc3,ordinary_lopo_normalized_3d_error_mean,cluster_holdout_vs_lopo_mean_error_ratio,selected_hyperparameters
ridge,combative_iconoclast,15,0.9957943860226499,0.9987536729029637,0.9892857142857142,0.7399288208087235,0.584593781091742,0.9967563855899094,0.9990805356789505,0.9964285714285712,0.8508886059191522,0.6259747587660954,0.9959545485121691,0.998160420903031,0.982142857142857,0.5822614656772938,0.4048974317038954,1.0576034380069772,0.8318090334295319,1.2690683566928522,0.04973918360776478,0.03772415048556055,0.06114825357520406,0.3185715763549151,-0.0014998852509768253,-0.0002634594378339609,0.04002556785181272,1.2426852703730509,"{""alpha"": 0.01}"
ridge,editorial,13,0.9347702643009095,0.9857990194696731,0.989010989010989,1.908023887809524,1.4189439922245393,0.9414220674682828,0.981594497284723,0.9340659340659341,1.804327514337309,1.2852248237198345,0.9976999675703258,0.9990134543024572,0.9945054945054945,0.3124780504394439,0.2223137986469488,1.980029079609146,1.4839071397503545,2.6445785046870625,0.0795839002982907,0.06754506139340848,0.10624592454932073,1.0738341626901389,-1.0457126442118712,-0.11221345543167546,0.07075421237227121,1.1247938126929085,"{""alpha"": 0.01}"
ridge,grounded_social,54,0.998244618479028,0.9993174866197397,0.9983990851915379,0.5574484702727717,0.4131352085596495,0.9972007482356142,0.998748436796508,0.9962645321135887,0.734775905815084,0.5775441065831494,0.9993939172759326,0.9997239953582532,0.9989327234610252,0.42719077212747136,0.31653567295457485,0.8656620728886915,0.6878593770150943,1.0164331677816774,0.04198937074577024,0.036664746690285105,0.04928760829128242,0.2340696929854756,-0.23904871840853723,-0.12038468910788584,0.03307814234985038,1.2693993000474577,"{""alpha"": 0.01}"
ridge,mythic_spiritual,51,0.9948249235510981,0.997527532033192,0.9962895927601809,0.8725900097620546,0.6124761204434784,0.9794930122046083,0.9948535781485255,0.9946606334841628,1.3827012083196197,1.1782754984049522,0.9990748228071009,0.9995920628400861,0.9995475113122172,0.4612532158227395,0.3280838479407562,1.520958780800721,1.5056883681259612,1.6988320946261575,0.07524154494911504,0.0737831705311623,0.08417261159646748,0.18643215278122147,0.973958994452218,0.00813000526524456,0.037273169783319605,2.018651630288416,"{""alpha"": 0.01}"
ridge,other,6,0.9768023361626232,0.9967085139893315,0.942857142857143,1.6979956454743221,1.423024075441254,0.995616282222369,0.9983010012422547,0.942857142857143,1.0364235166723015,0.9751453131171317,0.9963050641873701,0.9989465030607289,1.0,0.712762460887087,0.4811936573164055,2.019886111095385,2.295109843877114,2.1131477098421105,0.08614172434471286,0.08018471967980084,0.0899431552145563,-1.423024075441254,0.2712007208501059,0.2676041055320959,0.06422733703114923,1.3412003101255077,"{""alpha"": 0.01}"
ridge,procedural_professional,126,0.9923503813731301,0.9976449258380021,0.9955365579302589,1.2289506268487187,0.9205702372410027,0.9936510221419691,0.9977322957319287,0.996586426696663,0.8373593605932907,0.65552175305605,0.9993298284933858,0.9996966608820256,0.9992920884889389,0.3029509474838756,0.24708722022796717,1.2571259107094577,0.9900595298298368,1.517652667307787,0.051466634760885296,0.04101148201431899,0.06164825907645616,-0.7342471838223313,0.4443303897694933,0.08183141968249913,0.025306464370427183,2.0337347014397067,"{""alpha"": 0.01}"
ridge,trickster_chaos,10,0.9947188261145854,0.9982433690720698,0.9999999999999999,0.7349239357039629,0.5019084078228285,0.99640418522957,0.9996606143330975,0.9999999999999999,1.097422609475544,0.951780352280933,0.9967786050476779,0.9996325399998363,0.9999999999999999,0.5903059364384208,0.5201867005040841,1.3439569501279731,1.5866155251018492,1.446689556765084,0.06477980416204851,0.07119984965361804,0.06980377948909566,-0.04538768132017914,-0.6764643836513955,0.5097436562034392,0.04729198168382952,1.369784091416042,"{""alpha"": 0.001}"
pls,combative_iconoclast,15,0.9903913711018745,0.9985961054727442,0.9892857142857142,1.1184226412730065,0.8848086764022889,0.9955716462664781,0.9988622578698025,0.9928571428571428,0.9942125705151854,0.8055791202133731,0.9939230657661163,0.9976230763071274,0.9857142857142854,0.713636112301968,0.45231976652397055,1.4609849275746776,1.1241699427080114,1.6578915346499505,0.06550417882147866,0.051687914055920346,0.07650043465872872,0.8848086764022889,-0.025897988561282937,0.16579709930536302,0.04002556785181272,1.6365583884779797,"{""n_components"": 40}"
pls,editorial,13,0.9411833178179451,0.9840504715693191,0.9835164835164836,1.8118041891566499,1.359483986177715,0.9473209167871084,0.9831112208009261,0.9505494505494506,1.7110687361143306,1.2054984218290064,0.9904213770935614,0.9959754218207142,0.967032967032967,0.6376818774060701,0.4255737425703733,1.9784244433547018,1.6421505707921187,2.5723586095887967,0.08164456946353928,0.06694426278949354,0.10676536393568355,0.9596928479384996,-0.9868228582092515,-0.22147189937047698,0.07075421237227121,1.1539181446041513,"{""n_components"": 40}"
pls,grounded_social,54,0.9979303704301364,0.9991905440560562,0.9973318086525633,0.6052924784888032,0.4835331092050786,0.9962175854719656,0.9983779092011488,0.9966457023060796,0.8541192066717866,0.6866372838472159,0.999172765329928,0.9995997242917058,0.9990089574995235,0.49908012387492146,0.3808144574653167,1.0316199461877282,0.9113690512971256,1.1597325440668498,0.05009089170477813,0.043873827427836784,0.05693199904873687,0.19193348196469964,-0.3187410015004013,-0.08835371325993334,0.03307814234985038,1.5143199752571563,"{""n_components"": 40}"
