persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
aberration,3.441987677167462,8.108905158147456,92.72727272727272,2.496715040766539,55.27272727272727,demon,3.441987677167462,vampire,7.622339038829795,eldritch,9.189784811733912,void,10.02111608800442,absurdist,10.269298175001694
absurdist,4.858275198312832,6.5777512857378895,77.0909090909091,4.4307889378546435,92.0,jester,4.858275198312832,provocateur,6.353978647451366,rebel,6.546099583814094,trickster,7.399895851224077,genie,7.730507147887079
accountant,2.014820212509236,3.4928279796876085,20.363636363636363,1.8672133281504921,22.90909090909091,screener,2.014820212509236,grader,3.5119356185050576,validator,3.622191124338274,supervisor,4.099141767682423,auditor,4.2160511754030505
activist,4.942251804914403,6.144649104091356,70.54545454545455,6.293568445975887,98.18181818181819,advocate,4.942251804914403,writer,5.794774357844395,symbiont,6.365510879237952,builder,6.760219816364392,cosmopolitan,6.860488662095636
actor,5.871687585346329,6.603085009773513,77.45454545454545,1.8453540492280365,21.09090909090909,hedonist,5.871687585346329,surfer,6.581608458410049,nomad,6.679537379879142,improviser,6.928449851618727,addict,6.954141773613316
addict,2.8624988606692545,4.606062877709129,45.09090909090909,5.6170871518092795,96.72727272727273,orphan,2.8624988606692545,bartender,3.393745701847494,surfer,4.819490234622263,celebrity,5.630640246341966,improviser,6.323939345064666
adolescent,0.8254060685932443,9.467896705765337,97.45454545454545,3.9530775870859136,85.0909090909091,teenager,0.8254060685932443,toddler,7.354965243072389,procrastinator,11.34920130960499,fool,12.682420646348225,hoarder,15.127490261207832
advocate,4.158504693440945,4.729772676784968,46.54545454545455,2.6339207724486764,58.18181818181818,builder,4.158504693440945,guide,4.515606294085143,activist,4.942251804914403,guardian,5.005195831327762,navigator,5.027304760156588
alien,5.392086831803329,6.000785514488487,68.36363636363636,2.4787729578553424,54.18181818181819,egregore,5.392086831803329,novelist,5.5988632966047645,simulacrum,5.992814764045862,homunculus,6.474301072454469,virtuoso,6.545861607534012
altruist,3.833538417096319,5.446485188803017,56.72727272727273,2.891839847656015,66.9090909090909,pacifist,3.833538417096319,vegan,5.437289424666574,peacekeeper,5.520991209021149,guardian,5.724677646423036,ecosystem,6.715929246808007
amateur,3.5429759347436818,6.667830272842036,78.9090909090909,1.866712288193137,22.545454545454547,newlywed,3.5429759347436818,patient,7.163954619841053,retiree,7.380263825193491,divorcee,7.479654983111979,parent,7.7723020013199795
ambassador,4.777757024086007,5.1379511639771716,52.36363636363637,2.4477098497925893,52.72727272727272,veterinarian,4.777757024086007,doctor,5.058619789037731,conservator,5.135342526154375,negotiator,5.2873353133447845,peacekeeper,5.430701167262959
amnesiac,7.187525054691771,7.807281916263162,90.9090909090909,4.676545253084225,93.0909090909091,actor,7.187525054691771,surfer,7.74478664226468,prey,7.9419069849782495,wanderer,7.9552813038437415,exile,8.20690959553737
analyst,1.8549230667908532,2.5174826901358496,2.5454545454545454,1.5372384232337766,5.090909090909091,evaluator,1.8549230667908532,researcher,2.542897744949049,reviewer,2.694606889139319,consultant,2.705057636375049,scientist,2.789928113424978
anarchist,4.234459343435231,6.267256418692295,73.45454545454545,7.464935562301188,99.63636363636364,prodigy,4.234459343435231,virtuoso,5.424199934029361,alien,7.1502633066096095,novelist,7.258879485332751,devils_advocate,7.268480024054519
ancient,3.409283996120618,4.320776567694647,38.54545454545455,1.301982684459214,2.5454545454545454,oracle,3.409283996120618,echo,3.601084845161708,egregore,4.193155279856621,witch,4.721862227740815,homunculus,5.678496489593473
angel,5.441921809843109,7.139763551237557,84.72727272727273,3.3317171521771836,74.90909090909092,pilgrim,5.441921809843109,shaman,5.7538056039049925,sage,7.978835888613503,spirit,8.06953680524574,idealist,8.454717648580441
anthropologist,2.833938774962116,4.060680749267474,33.45454545454545,3.442239177077002,77.45454545454545,linguist,2.833938774962116,sociologist,3.4384804271645937,geographer,4.457911272875751,historian,4.733982676863993,archaeologist,4.83909059447092
archaeologist,3.198515123653073,4.277371358212321,36.72727272727273,2.0221117656679604,33.45454545454545,collector,3.198515123653073,critic,3.8188298979797084,cartographer,4.310623841509959,anthropologist,4.83909059447092,physicist,5.219797333447942
architect,2.595830186432072,3.035372269677154,7.636363636363637,1.7984894284634156,17.09090909090909,negotiator,2.595830186432072,synthesizer,2.885832881141772,publisher,2.904543110384171,cartographer,3.210337036162626,generalist,3.580318134265129
archivist,2.459864837735431,3.852287078226653,29.454545454545457,1.593499171788281,6.909090909090909,conservator,2.459864837735431,biologist,3.548080516759233,cartographer,3.882504569682012,librarian,4.609995188028324,geographer,4.760990278928264
artisan,4.471767353938664,4.960532898287839,49.45454545454545,1.8195579421442756,18.545454545454547,coral_reef,4.471767353938664,idealist,4.6041179656200075,mycorrhizal,5.179916344968903,sommelier,5.238273852545239,tulpa,5.30858897436638
ascetic,6.959699880289253,7.717556986543352,90.54545454545455,3.008596557961764,69.81818181818183,martyr,6.959699880289253,ancient,7.8613706527005816,homunculus,7.869222516046749,echo,7.940462971605809,familiar,7.95702891207436
assistant,2.0114728125746724,2.9641993594334672,6.545454545454546,1.6810762809779642,10.545454545454545,instructor,2.0114728125746724,coordinator,2.606508810749373,nutritionist,3.208438890760285,doctor,3.4071909143104655,organizer,3.587385368772541
auctioneer,5.732776807846801,7.10526553109317,84.0,4.657319256491747,92.72727272727272,hedonist,5.732776807846801,playwright,7.055370342426117,gamer,7.318480360813297,actor,7.498764635036347,fixer,7.920935509343286
auditor,2.101907448114319,3.462684380509996,19.272727272727273,1.5690405339120426,6.181818181818182,examiner,2.101907448114319,lawyer,2.5229363662547826,validator,3.1258142299437384,accountant,4.2160511754030505,evaluator,5.346712682834087
avatar,2.959225375526089,3.721976160343992,25.818181818181817,2.24074001741655,43.27272727272727,spirit,2.959225375526089,sage,3.0416098706713997,guru,3.9631554122827355,mystic,4.016605447586473,oracle,4.629284695653263
bard,2.571301747845583,3.4838373958757587,20.0,4.8935862539877855,93.81818181818183,hermit,2.571301747845583,witch,3.344666618660442,wind,3.630625969777775,ghost,3.927648817772301,tree,3.9449438253226905
bartender,3.3287136711483543,4.831605646201645,47.63636363636364,3.1839163320157975,72.72727272727273,orphan,3.3287136711483543,addict,3.393745701847494,celebrity,4.201615533888599,divorcee,6.434730289908641,improviser,6.799223034215137
biologist,2.173885161852181,2.928264332032197,5.454545454545454,2.262648952982331,44.36363636363637,geographer,2.173885161852181,sociologist,2.7164348150444604,chemist,2.8081468477193336,psychologist,3.3947743187857773,archivist,3.548080516759233
blogger,2.394042191106641,4.1783167808892605,36.0,2.1292233148805924,36.72727272727273,chameleon,2.394042191106641,nomad,3.9180251891502,podcaster,4.361280202201375,chef,4.902107862582593,photographer,5.316128459405494
bohemian,6.910606171339141,8.383002169008256,93.81818181818183,1.9334439491761268,26.181818181818183,wanderer,6.910606171339141,dreamer,8.162817127660418,poet,8.703777832744136,exile,8.839597022565064,narrator,9.298212690732518
builder,2.5065251479134605,4.041453313286423,32.72727272727273,1.7463584011109723,14.181818181818182,navigator,2.5065251479134605,advocate,4.158504693440945,guide,4.339988453569828,scout,4.416585220004925,producer,4.785663051502955
caregiver,5.42033078829626,7.409345289304349,87.63636363636364,1.7095267790331197,12.727272727272727,counselor,5.42033078829626,optimist,6.278669347096523,therapist,7.279992773637367,parent,8.300572892442917,immigrant,9.767160645048673
cartographer,3.210337036162626,3.5599490331132975,21.09090909090909,1.515051467298759,4.363636363636364,architect,3.210337036162626,chemist,3.5146581986308667,synthesizer,3.5680484798376852,journalist,3.7416200313344543,biologist,3.7650814196008544
caveman,8.179513385932026,10.197130979376926,98.18181818181819,6.59066960795849,99.27272727272727,prisoner,8.179513385932026,pirate,9.076807803196196,prey,10.70583175462566,loner,10.846047869140774,addict,12.177454083989979
celebrity,4.201615533888599,5.305601011637419,54.54545454545454,2.1913117438734724,40.0,bartender,4.201615533888599,survivor,5.463274471800688,blogger,5.516141806937449,addict,5.630640246341966,orphan,5.716332999218394
chameleon,2.394042191106641,4.122187217612912,34.18181818181818,2.150902947503182,38.54545454545455,blogger,2.394042191106641,podcaster,3.7824302197225497,nomad,4.053173081545591,chef,4.958896190071132,photographer,5.422394405618644
