role,sample_size,bootstrap_resamples,mean_centroid_error_to_full,median_centroid_error_to_full,p90_centroid_error_to_full,p95_centroid_error_to_full,mean_distance_to_published_centroid,median_distance_to_published_centroid,pc1_bootstrap_se,pc2_bootstrap_se,pc3_bootstrap_se
amateur,5,1000,10.21922717235674,9.701353288464098,16.335969536645056,18.846556927444276,13.062918782695402,12.502052439801076,7.372180147168544,6.52651067409374,5.233237543100477
amateur,10,1000,7.3154147156120475,6.921369647308629,11.742984176319197,13.719732050153564,11.077348773897615,11.060929874393471,5.318485134288409,4.772658266854134,3.7164608710226474
amateur,15,1000,5.941228527808588,5.645388053527314,9.380744901557302,10.581900755166677,10.070226417646587,9.945633586753534,4.299929898438919,3.7443976708016025,3.076272728085561
amateur,20,1000,5.160910332427773,4.895102974474838,8.007398687144365,9.298592669305682,9.812055873530367,9.856666901614124,3.7782094745059904,3.2520564675230204,2.5916172555373347
amateur,30,1000,4.25489593699797,4.086317979003386,6.793215256081763,7.654518300440574,9.334553999972334,9.259324400080494,3.0527604209881645,2.745812304251658,2.1921185144082624
amateur,40,1000,3.708278658089268,3.489058756998627,6.088442559177974,6.975061386366165,9.141199840362892,9.168554880636009,2.7200723590141163,2.418111929106011,1.8684402307340637
amateur,50,1000,3.239246640697482,3.040597988238345,5.269239610899636,5.935213846355084,8.926676159669128,8.909029348837104,2.3337441544137283,2.1306671881838852,1.6401719692037346
amateur,60,1000,2.93969196108537,2.7173844605853272,4.829672257390406,5.435861131729142,8.89828825082677,8.870981772252145,2.112166185160664,1.9734200295548368,1.4441667775774234
playwright,5,1000,11.665822548099769,10.852495879998294,19.512122350720855,22.591102060951123,13.789845423688107,13.24191742674703,10.75354951296463,5.79020635658356,4.484800659174203
playwright,10,1000,8.180194577321238,7.495770431016144,13.734337677892523,15.895286713207069,11.091918153791696,10.742469969787681,7.675469959307901,3.974461863544081,3.048009846243438
playwright,15,1000,6.718343429092585,6.151993106746536,11.349612852309717,13.042328534931903,10.007842574107748,9.864511790575264,6.197485855193107,3.3571163762527676,2.563581778347912
playwright,20,1000,5.971050434694481,5.369543938599795,10.3183816683108,11.736714905409936,9.52772555204243,9.35070397359343,5.610956297175925,2.931508683289792,2.2502177751101056
playwright,30,1000,4.71360859015485,4.260828139028202,8.105545714017676,8.954328148438082,8.801763587317557,8.75874529614795,4.389005064184109,2.3798513330694946,1.762866037033368
playwright,40,1000,4.284671810257547,3.816051396893032,7.240310534275687,8.703906380174793,8.648313683800222,8.45541851210745,4.035866310268046,2.127862291437755,1.6115477295948155
playwright,50,1000,3.6143913477520453,3.32604959273013,6.08710113461058,6.922261703183109,8.305891254575844,8.251465448500177,3.2973927013278432,1.817447995905231,1.405763892571524
playwright,60,1000,3.410505820955503,3.1224448030863203,5.952011967675039,6.680999145929317,8.240671579293764,8.19629073515497,3.176393117392774,1.7362180638710916,1.2619622171882532
