role,sample_size,axis,bootstrap_se
amateur,5,pc1,7.372180147168544
amateur,5,pc2,6.52651067409374
amateur,5,pc3,5.233237543100477
amateur,10,pc1,5.318485134288409
amateur,10,pc2,4.772658266854134
amateur,10,pc3,3.7164608710226474
amateur,15,pc1,4.299929898438919
amateur,15,pc2,3.7443976708016025
amateur,15,pc3,3.076272728085561
amateur,20,pc1,3.7782094745059904
amateur,20,pc2,3.2520564675230204
amateur,20,pc3,2.5916172555373347
amateur,30,pc1,3.0527604209881645
amateur,30,pc2,2.745812304251658
amateur,30,pc3,2.1921185144082624
amateur,40,pc1,2.7200723590141163
amateur,40,pc2,2.418111929106011
amateur,40,pc3,1.8684402307340637
amateur,50,pc1,2.3337441544137283
amateur,50,pc2,2.1306671881838852
amateur,50,pc3,1.6401719692037346
amateur,60,pc1,2.112166185160664
amateur,60,pc2,1.9734200295548368
amateur,60,pc3,1.4441667775774234
playwright,5,pc1,10.75354951296463
playwright,5,pc2,5.79020635658356
playwright,5,pc3,4.484800659174203
playwright,10,pc1,7.675469959307901
playwright,10,pc2,3.974461863544081
playwright,10,pc3,3.048009846243438
playwright,15,pc1,6.197485855193107
playwright,15,pc2,3.3571163762527676
playwright,15,pc3,2.563581778347912
playwright,20,pc1,5.610956297175925
playwright,20,pc2,2.931508683289792
playwright,20,pc3,2.2502177751101056
playwright,30,pc1,4.389005064184109
playwright,30,pc2,2.3798513330694946
playwright,30,pc3,1.762866037033368
playwright,40,pc1,4.035866310268046
playwright,40,pc2,2.127862291437755
playwright,40,pc3,1.6115477295948155
playwright,50,pc1,3.2973927013278432
playwright,50,pc2,1.817447995905231
playwright,50,pc3,1.405763892571524
playwright,60,pc1,3.176393117392774
playwright,60,pc2,1.7362180638710916
playwright,60,pc3,1.2619622171882532
