model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank,role
qwen,4,Q04_A,R138,0.9939057332052068,1,maverick
qwen,4,Q04_A,R209,0.993610065767486,2,rogue
qwen,4,Q04_A,R199,0.9929788234912094,3,rebel
qwen,4,Q04_A,R091,0.9929156996399828,4,fixer
qwen,4,Q04_A,R251,0.9923978020766252,5,trickster
qwen,4,Q04_A,R194,0.9915811891524564,6,provocateur
qwen,4,Q04_A,R050,0.9914182452675346,7,contrarian
qwen,4,Q04_A,R060,0.9900816117856772,8,cynic
qwen,4,Q04_A,R046,0.9895650318401784,9,competitor
qwen,4,Q04_A,R067,0.9890626609780347,10,devils_advocate
qwen,4,Q04_A,R259,0.988894350800844,11,vigilante
qwen,4,Q04_A,R109,0.9884279214160486,12,hacker
qwen,4,Q04_A,R065,0.9883879976560884,13,destroyer
qwen,4,Q04_A,R211,0.988047404232042,14,saboteur
qwen,4,Q04_A,R223,0.98695637753226,15,smuggler
qwen,4,Q04_A,R061,0.98664914534433,16,daredevil
qwen,4,Q04_A,R271,0.9862627881408682,17,workaholic
qwen,4,Q04_A,R134,0.9858308336802152,18,luddite
qwen,4,Q04_A,R111,0.985771544532513,19,hedonist
qwen,4,Q04_A,R025,0.985460413258044,20,auctioneer
qwen,4,Q04_A,R229,0.9850204451041014,21,spy
qwen,4,Q04_A,R055,0.9848136702476822,22,criminal
qwen,4,Q04_A,R126,0.9838929584112532,23,jester
qwen,4,Q04_A,R002,0.9820988181710744,24,absurdist
qwen,4,Q04_A,R148,0.9799800212349304,25,narcissist
qwen,4,Q04_A,R207,0.9796083653295417,26,revolutionary
qwen,4,Q04_A,R102,0.979556243851831,27,gossip
qwen,4,Q04_A,R225,0.9791028528916812,28,soldier
qwen,4,Q04_A,R093,0.9782146364872888,29,fool
qwen,4,Q04_A,R045,0.9772333120012328,30,comedian
qwen,4,Q04_A,R096,0.9766908160652608,31,gamer
qwen,4,Q04_A,R187,0.968404174218524,32,procrastinator
qwen,4,Q04_A,R176,0.9500475671319966,33,pirate
qwen,4,Q04_B,R240,0.9988579961382008,1,synthesizer
qwen,4,Q04_B,R124,0.9982269222143992,2,interpreter
qwen,4,Q04_B,R097,0.9978932113736458,3,generalist
qwen,4,Q04_B,R161,0.997818381546758,4,organizer
qwen,4,Q04_B,R024,0.9973965664223212,5,assistant
