model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
qwen,4,Q04_A,R138,0.9939057332052069,1
qwen,4,Q04_A,R209,0.9936100657674859,2
qwen,4,Q04_A,R199,0.9929788234912094,3
qwen,4,Q04_A,R091,0.9929156996399828,4
qwen,4,Q04_A,R251,0.9923978020766251,5
qwen,4,Q04_A,R194,0.9915811891524564,6
qwen,4,Q04_A,R050,0.9914182452675346,7
qwen,4,Q04_A,R060,0.9900816117856773,8
qwen,4,Q04_A,R046,0.9895650318401783,9
qwen,4,Q04_A,R067,0.9890626609780347,10
qwen,4,Q04_A,R259,0.988894350800844,11
qwen,4,Q04_A,R109,0.9884279214160486,12
qwen,4,Q04_A,R065,0.9883879976560884,13
qwen,4,Q04_A,R211,0.988047404232042,14
qwen,4,Q04_A,R223,0.98695637753226,15
qwen,4,Q04_A,R061,0.9866491453443301,16
qwen,4,Q04_A,R271,0.9862627881408682,17
qwen,4,Q04_A,R134,0.9858308336802152,18
qwen,4,Q04_A,R111,0.985771544532513,19
qwen,4,Q04_A,R025,0.985460413258044,20
qwen,4,Q04_A,R229,0.9850204451041014,21
qwen,4,Q04_A,R055,0.9848136702476822,22
qwen,4,Q04_A,R126,0.9838929584112533,23
qwen,4,Q04_A,R002,0.9820988181710743,24
qwen,4,Q04_A,R148,0.9799800212349303,25
qwen,4,Q04_A,R207,0.9796083653295415,26
qwen,4,Q04_A,R102,0.979556243851831,27
qwen,4,Q04_A,R225,0.9791028528916812,28
qwen,4,Q04_A,R093,0.9782146364872889,29
qwen,4,Q04_A,R045,0.9772333120012329,30
qwen,4,Q04_A,R096,0.9766908160652609,31
qwen,4,Q04_A,R187,0.9684041742185239,32
qwen,4,Q04_A,R176,0.9500475671319966,33
qwen,4,Q04_B,R240,0.9988579961382008,1
qwen,4,Q04_B,R124,0.9982269222143992,2
qwen,4,Q04_B,R097,0.9978932113736458,3
qwen,4,Q04_B,R161,0.997818381546758,4
qwen,4,Q04_B,R024,0.9973965664223212,5
qwen,4,Q04_B,R049,0.9973714992588087,6
qwen,4,Q04_B,R206,0.9973316291135941,7
qwen,4,Q04_B,R014,0.9971013022828226,8
qwen,4,Q04_B,R152,0.9970861571728133,9
qwen,4,Q04_B,R196,0.997051809351777,10
qwen,4,Q04_B,R131,0.9969945315005683,11
qwen,4,Q04_B,R058,0.9969357368403587,12
qwen,4,Q04_B,R051,0.9968353010867913,13
qwen,4,Q04_B,R080,0.9967578815931132,14
qwen,4,Q04_B,R232,0.996737168847494,15
qwen,4,Q04_B,R158,0.9966788741279324,16
qwen,4,Q04_B,R127,0.9966738082839857,17
qwen,4,Q04_B,R012,0.9966101245168141,18
qwen,4,Q04_B,R227,0.9965142246759625,19
qwen,4,Q04_B,R107,0.9964742959785373,20
qwen,4,Q04_B,R123,0.9963687181345264,21
qwen,4,Q04_B,R181,0.9963070863390504,22
qwen,4,Q04_B,R084,0.9962802672727263,23
qwen,4,Q04_B,R203,0.9962781201880108,24
qwen,4,Q04_B,R056,0.9962024795628452,25
qwen,4,Q04_B,R202,0.9960744221236643,26
qwen,4,Q04_B,R141,0.9960711164908975,27
qwen,4,Q04_B,R082,0.9960418354737794,28
qwen,4,Q04_B,R094,0.9959930554484878,29
qwen,4,Q04_B,R069,0.9959416519277877,30
qwen,4,Q04_B,R140,0.9959208163290703,31
qwen,4,Q04_B,R144,0.9958785894403653,32
qwen,4,Q04_B,R066,0.9955497726307184,33
qwen,4,Q04_B,R215,0.9955418652833118,34
qwen,4,Q04_B,R177,0.9955381747823208,35
qwen,4,Q04_B,R253,0.9954821040088667,36
qwen,4,Q04_B,R241,0.9954802448098636,37
qwen,4,Q04_B,R184,0.9953708256189359,38
qwen,4,Q04_B,R242,0.9952109934134818,39
qwen,4,Q04_B,R189,0.9952053712055104,40
qwen,4,Q04_B,R248,0.9951455156541558,41
qwen,4,Q04_B,R168,0.9950614237479942,42
qwen,4,Q04_B,R043,0.9948443849759372,43
qwen,4,Q04_B,R254,0.9947873367991731,44
qwen,4,Q04_B,R214,0.9947050313671146,45
qwen,4,Q04_B,R089,0.9946502380917744,46
qwen,4,Q04_B,R086,0.9945374139816708,47
qwen,4,Q04_B,R235,0.9944279245575822,48
qwen,4,Q04_B,R273,0.994399497560482,49
qwen,4,Q04_B,R270,0.9943719146545351,50
qwen,4,Q04_B,R169,0.9943230242858521,51
qwen,4,Q04_B,R128,0.9942382527856246,52
qwen,4,Q04_B,R076,0.9942315830107729,53
qwen,4,Q04_B,R064,0.9941182161356599,54
qwen,4,Q04_B,R062,0.994099279043003,55
qwen,4,Q04_B,R021,0.9940803308258704,56
qwen,4,Q04_B,R188,0.993918278940379,57
qwen,4,Q04_B,R182,0.9939118467555396,58
qwen,4,Q04_B,R071,0.9937555371453638,59
qwen,4,Q04_B,R059,0.9937326596330288,60
qwen,4,Q04_B,R008,0.993533745682452,61
qwen,4,Q04_B,R020,0.9935287143430355,62
qwen,4,Q04_B,R234,0.9934089104318861,63
qwen,4,Q04_B,R033,0.9932527425454488,64
qwen,4,Q04_B,R042,0.9932079293913652,65
qwen,4,Q04_B,R095,0.9932021315810741,66
qwen,4,Q04_B,R044,0.9931927370796939,67
qwen,4,Q04_B,R200,0.9930739832394618,68
qwen,4,Q04_B,R151,0.9930547803695934,69
qwen,4,Q04_B,R117,0.9930077129872245,70
qwen,4,Q04_B,R195,0.9928657763954712,71
qwen,4,Q04_B,R035,0.9928173689691424,72
qwen,4,Q04_B,R053,0.9927504036908353,73
qwen,4,Q04_B,R222,0.9926500478435344,74
qwen,4,Q04_B,R198,0.9926494158332401,75
qwen,4,Q04_B,R224,0.9926308329763671,76
qwen,4,Q04_B,R075,0.9926178666267661,77
qwen,4,Q04_B,R244,0.9925967018125259,78
qwen,4,Q04_B,R213,0.9924353625163673,79
qwen,4,Q04_B,R216,0.9923546495707086,80
qwen,4,Q04_B,R153,0.9921360020915259,81
qwen,4,Q04_B,R106,0.9920649572036175,82
qwen,4,Q04_B,R190,0.9920543774402842,83
qwen,4,Q04_B,R030,0.9920524594751811,84
qwen,4,Q04_B,R135,0.9917078712821046,85
qwen,4,Q04_B,R230,0.9914282144468616,86
qwen,4,Q04_B,R048,0.9913688451451937,87
qwen,4,Q04_B,R003,0.9913389106588206,88
qwen,4,Q04_B,R218,0.9913312655788677,89
qwen,4,Q04_B,R239,0.9912920450289882,90
qwen,4,Q04_B,R258,0.9912175686162232,91
qwen,4,Q04_B,R173,0.9910446136135874,92
qwen,4,Q04_B,R040,0.9909755973121678,93
qwen,4,Q04_B,R103,0.9909517020127089,94
qwen,4,Q04_B,R026,0.9908236036005718,95
