model,lower_K,higher_K,lower_profile_id,higher_profile_id,lower_size,higher_size,overlap_count,jaccard,share_of_lower,share_of_higher,adjacent_partition_ari,adjacent_partition_nmi
qwen,4,5,Q04_B,Q05_A,127,34,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_B,Q05_E,127,30,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_B,Q05_D,127,65,36,0.23076923076923078,0.28346456692913385,0.5538461538461539,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_B,Q05_B,127,91,91,0.7165354330708661,0.7165354330708661,1.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_B,Q05_C,127,55,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_D,Q05_A,65,34,3,0.03125,0.046153846153846156,0.08823529411764706,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_D,Q05_E,65,30,1,0.010638297872340425,0.015384615384615385,0.03333333333333333,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_D,Q05_D,65,65,6,0.04838709677419355,0.09230769230769231,0.09230769230769231,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_D,Q05_B,65,91,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_D,Q05_C,65,55,55,0.8461538461538461,0.8461538461538461,1.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_C,Q05_A,50,34,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_C,Q05_E,50,30,27,0.5094339622641509,0.54,0.9,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_C,Q05_D,50,65,23,0.25,0.46,0.35384615384615387,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_C,Q05_B,50,91,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_C,Q05_C,50,55,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_A,Q05_A,33,34,31,0.8611111111111112,0.9393939393939394,0.9117647058823529,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_A,Q05_E,33,30,2,0.03278688524590164,0.06060606060606061,0.06666666666666667,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_A,Q05_D,33,65,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_A,Q05_B,33,91,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,4,5,Q04_A,Q05_C,33,55,0,0.0,0.0,0.0,0.6084285778830711,0.6926321557090194
qwen,5,6,Q05_A,Q06_D,34,53,1,0.011627906976744186,0.029411764705882353,0.018867924528301886,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_A,Q06_A,34,29,29,0.8529411764705882,0.8529411764705882,1.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_A,Q06_C,34,7,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_A,Q06_E,34,102,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_A,Q06_B,34,42,4,0.05555555555555555,0.11764705882352941,0.09523809523809523,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_A,Q06_F,34,42,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_D,30,53,1,0.012195121951219513,0.03333333333333333,0.018867924528301886,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_A,30,29,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_C,30,7,7,0.23333333333333334,0.23333333333333334,1.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_E,30,102,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_B,30,42,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_E,Q06_F,30,42,22,0.44,0.7333333333333333,0.5238095238095238,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_D,65,53,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_A,65,29,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_C,65,7,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_E,65,102,12,0.07741935483870968,0.18461538461538463,0.11764705882352941,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_B,65,42,33,0.44594594594594594,0.5076923076923077,0.7857142857142857,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_D,Q06_F,65,42,20,0.22988505747126436,0.3076923076923077,0.47619047619047616,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_D,91,53,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_A,91,29,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_C,91,7,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_E,91,102,90,0.8737864077669902,0.989010989010989,0.8823529411764706,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_B,91,42,1,0.007575757575757576,0.01098901098901099,0.023809523809523808,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_B,Q06_F,91,42,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_D,55,53,51,0.8947368421052632,0.9272727272727272,0.9622641509433962,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_A,55,29,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_C,55,7,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_E,55,102,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_B,55,42,4,0.043010752688172046,0.07272727272727272,0.09523809523809523,0.7103334660939254,0.7323076045522247
qwen,5,6,Q05_C,Q06_F,55,42,0,0.0,0.0,0.0,0.7103334660939254,0.7323076045522247
qwen,6,7,Q06_D,Q07_B,53,93,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_D,53,55,52,0.9285714285714286,0.9811320754716981,0.9454545454545454,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_G,53,3,1,0.01818181818181818,0.018867924528301886,0.3333333333333333,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_F,53,43,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_E,53,45,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_A,53,8,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_D,Q07_C,53,28,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_B,29,93,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_D,29,55,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_G,29,3,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_F,29,43,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_E,29,45,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_A,29,8,3,0.08823529411764706,0.10344827586206896,0.375,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_A,Q07_C,29,28,26,0.8387096774193549,0.896551724137931,0.9285714285714286,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_B,7,93,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_D,7,55,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_G,7,3,2,0.25,0.2857142857142857,0.6666666666666666,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_F,7,43,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_E,7,45,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_A,7,8,5,0.5,0.7142857142857143,0.625,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_C,Q07_C,7,28,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_E,Q07_B,102,93,93,0.9117647058823529,0.9117647058823529,1.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_E,Q07_D,102,55,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_E,Q07_G,102,3,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_E,Q07_F,102,43,0,0.0,0.0,0.0,0.8622160403222887,0.859173010100547
qwen,6,7,Q06_E,Q07_E,102,45,9,0.06521739130434782,0.08823529411764706,0.2,0.8622160403222887,0.859173010100547
