model,K,profile_id,native_dimension,centroid_l2_norm,member_count,centroid_float64_le_sha256
qwen,4,Q04_A,5120,0.9999999999999999,33,e5cf813f50070b7183c525870f8d30b2da881faa73667d3a432504db9340493a
qwen,4,Q04_B,5120,0.9999999999999997,127,5067d238468c3257fb399f78234740581dccbcfdb44412a708206b9f256cef53
qwen,4,Q04_C,5120,0.9999999999999999,50,ea7116e65554aea56d8d24ac184ff4c15b610b8a7c11213d5024f3a4b5741bea
qwen,4,Q04_D,5120,0.9999999999999998,65,6cbd7d54103f397e89e46f2af4248f659e32538f47775236fb5f18b98db8bf5a
qwen,5,Q05_A,5120,1.0,34,427d3534888c25e24701dd5b0ef86cb8c25f549d8b9d067becd6a81d8c28d2c9
qwen,5,Q05_B,5120,1.0,91,8756d62efe80cdcd942d501e630d683a01314296696e1471b6cde8034275b8b2
qwen,5,Q05_C,5120,1.0,55,f37b4f8ac82dda13db8567168b934d9ffaab18efbc3eccea4b94a4dadf960cab
qwen,5,Q05_D,5120,1.0,65,2aa264a26e953fb9380dc06629a2eb987d234aa754604e2a2b1293da20692e1d
qwen,5,Q05_E,5120,1.0,30,81a299648200a54e2b168b623dc1fe2b1b1859226f0eee863eb56f0332bbed60
qwen,6,Q06_A,5120,1.0,29,9ec8d89d8ed61939be9f7b67ff67aba402410def4a637fbf6c9eb53bb68ba0f5
qwen,6,Q06_B,5120,1.0,42,ac474d62156e95f8fab1fe0cfc55a515cd9b044b17060ad056b284878a66d968
qwen,6,Q06_C,5120,1.0000000000000002,7,01f5fcd03161e837409271a663e13343994b6b82818e49babfa743303b23d6dc
qwen,6,Q06_D,5120,1.0,53,42dd3956c33073fac75e702aed16145703e75f947a7e1cd8f50889e78a86688a
qwen,6,Q06_E,5120,1.0,102,e7801e9a08e3510759ad0e4aa149c30344fd0e16bc3eb917db4e20f45fcee8a8
qwen,6,Q06_F,5120,0.9999999999999999,42,79adc3597637c0e50fbfbd75279f0b329f905a1d4ee0b2987d283dc16aedad4a
qwen,7,Q07_A,5120,1.0,8,e4bc24c83b8a02fc756feb146fb5ce1ad7627672545c3533c945e2234eaee15d
qwen,7,Q07_B,5120,1.0,93,4a3be6853a29d901bd51440b37c39b76c464382783c92d6be71aa1779b9ae32b
qwen,7,Q07_C,5120,1.0000000000000002,28,e4b2f493dd251025baaded7b358348c2b25d9e79f145f9dcb19b854aa598f77f
qwen,7,Q07_D,5120,1.0,55,5b512855aebfcfc7430ed10d84c9ca991950c5c8fd4e486a6b712a9294a636bd
qwen,7,Q07_E,5120,1.0,45,d933ed75f4f966efd854309f268227d6b21e12d502e880aa83dd857ddae6b800
qwen,7,Q07_F,5120,0.9999999999999998,43,0aaf25898429b5355d8e77498c3a3fa04b53c26bf046e7197ce8b4a77aeca216
qwen,7,Q07_G,5120,0.9999999999999999,3,95d5805ab0f8421dccfa509f1d968e85fcb2c577defc87264884d229b6065016
qwen,8,Q08_A,5120,1.0,31,31c20fc68defe94f3055c082ec8088ae719c434aa92c227e670bb6e5a5e4e8d3
qwen,8,Q08_B,5120,1.0,48,3e434e0ad51194e8f20764067d9353246c83297b7926c6334f0b2c6f8d783ce0
qwen,8,Q08_C,5120,1.0,36,cd0a3102d482404fe13d65113b31affcb8dd7553e4989cced2c62dc18c5325c0
qwen,8,Q08_D,5120,0.9999999999999999,2,d32487a4e09becdd20b57c09c46ba0a4595a62f1dd31c5218245cb58901261b8
qwen,8,Q08_E,5120,1.0,77,1eab825ff80ca2011a35cb6dc0ab392549a04defeb9e78fb4db2f069b7ad22ad
qwen,8,Q08_F,5120,1.0,3,855155c3377489275dfff6dd292375c72c12f92c46a7635337a006dad23d2994
qwen,8,Q08_G,5120,1.0,28,6a2ae268304a632a6960d0574a2b19cade1c0919b53cd140f827d0c82c385df6
