fold,component,minimum_pairwise_correlation,mean_pairwise_correlation,eigenvalue
0,1,0.9747415978709616,0.9802430861942962,2.9233337630997727
0,2,0.973562702088626,0.9813223721057355,2.8810928615636002
0,3,0.9631339574172083,0.9714840384404887,2.8090099934461357
0,4,0.8745329828642041,0.8947444538142627,2.6041604072789744
0,5,0.9259421043576459,0.9499598706533003,2.3662634742392927
0,6,0.9164949969724783,0.921514445085136,2.2332991000077964
0,7,0.850595699603632,0.8773843293116256,1.9851527731941843
0,8,0.840830452370192,0.8630598833563545,1.7801589225848946
0,9,0.8180877492273301,0.8613617743633913,1.6104560004302335
0,10,0.8411628066915203,0.861939603190105,1.2902978547099675
0,11,0.8564447205146591,0.8705573167476439,1.057991128036987
0,12,0.5606436554206469,0.6726384564836366,0.9287624647544035
0,13,0.7648834710211362,0.7931596941129212,0.8545244546185644
0,14,0.4959529955866063,0.5691939802034924,0.7489082234831146
0,15,0.28689983065756364,0.5296547839613892,0.622261619824558
0,16,0.6975297232885799,0.7198598317726391,0.5273386034136397
0,17,0.4305217994238029,0.5226210248089661,0.4788248329726024
0,18,-0.08718385498244881,0.15355238831055165,0.38577906101825093
0,19,0.429603270141186,0.5337731871479469,0.3323150693534367
0,20,-0.3019910478863544,-0.12909639144097798,0.27603273146895724
1,1,0.9650780900162452,0.971321826960947,2.9276018937638395
1,2,0.9749177040174284,0.9784790228861958,2.8792315474838643
1,3,0.9265576479125972,0.9475700675008104,2.8258426653001525
1,4,0.8921181124551466,0.9005287833806169,2.6004969285050668
1,5,0.8369359926904792,0.8713304046594077,2.446681044371396
1,6,0.8875162654638178,0.9094709189036468,2.230194760975291
1,7,0.8455999557134359,0.8898118694326848,1.904511210413689
1,8,0.8733176425913607,0.9036692322915445,1.7144789863540457
1,9,0.757698705269619,0.8201193700082143,1.6043256190994784
1,10,0.8071469503137249,0.8373619278889777,1.1866474006533683
1,11,0.6843802411072515,0.7363539642168181,1.0980837665654626
1,12,0.4572783879160184,0.4669808521016316,0.9696046757277116
1,13,0.6009218628808161,0.6911699419513747,0.8488687805384444
1,14,0.24245242379836696,0.39984466397538876,0.7140452570149771
1,15,0.6097937962658927,0.6398797392405097,0.6516183444623836
1,16,0.46107648775071797,0.5294167475799623,0.5580982509976281
1,17,0.362289618656432,0.5115750284551946,0.44741549827312643
1,18,0.20591303937026037,0.3002806205847234,0.38985348141103576
1,19,0.16618924828434228,0.1947419017261732,0.35899961713199113
1,20,0.0018457496365784,0.13723961709838597,0.26548883457013506
2,1,0.9694467573045751,0.9741938331359515,2.925507483044171
2,2,0.9699444095085252,0.9725995230635998,2.885933073084986
2,3,0.9651170644699664,0.9683286833844001,2.809976703251238
2,4,0.8427948012889764,0.8789434854364434,2.5986460227751924
2,5,0.92352128960363,0.9329616920763932,2.3989985617325
2,6,0.8378828332736791,0.889497951676084,2.2545292934154677
2,7,0.8935246456435969,0.9180229598627251,1.878222650572415
2,8,0.9216100520348299,0.9347131847002127,1.7269943312167988
2,9,0.7513032981019455,0.8270449787110156,1.5884804601130416
2,10,0.7997611156742136,0.8290170690429978,1.2584014174362161
2,11,0.5827347109651982,0.7001446147794298,1.0856674654628073
2,12,0.45805263616071074,0.6030960688801333,0.972671052157696
2,13,0.7116891010060077,0.7379471550567014,0.8321221493669855
2,14,0.2701210718335771,0.36560572512431944,0.6711425956738057
2,15,0.5113967634132267,0.5987487458071685,0.6440049275203139
2,16,0.5331858186634582,0.6445582853848096,0.5212277216408527
2,17,0.36026192402925605,0.37820316141321375,0.41570172401775096
2,18,0.22472279891760735,0.4305704202229219,0.37699048875662294
2,19,0.08920832361050925,0.25355403017420963,0.324983991908905
2,20,-0.4535172345102447,-0.13993896477047438,0.2743449571051383
3,1,0.9664757056973451,0.9755453473847839,2.924465312581468
3,2,0.9374571909490469,0.9503205490939921,2.894957313203715
3,3,0.9667633439165734,0.9750655374365049,2.800705108830739
3,4,0.8905820723231697,0.9016154387061922,2.597924596984259
3,5,0.9053689098838883,0.9298610336442851,2.3921175234092096
3,6,0.9064266548394996,0.9085809902622213,2.2066385807172506
3,7,0.7832888855850323,0.7961662285871159,2.0094031773502548
3,8,0.8378517172048291,0.8638464116623247,1.7144344555849236
3,9,0.877814486904114,0.8994817863035894,1.4598519972813429
3,10,0.7837978506856802,0.8510757455548216,1.2292562458670997
3,11,0.7125010427126423,0.7638888901652199,1.093335848317249
3,12,0.517632262477288,0.6562318066990126,0.8469666735044612
3,13,0.5832743713689157,0.611332445928655,0.8303836526960886
3,14,0.1630007053467123,0.448513384088489,0.7502597875698416
3,15,0.3101437069139752,0.4280215924900371,0.630047111733045
3,16,0.33541721296921007,0.4654397013900136,0.5183129810142636
3,17,0.13579568420184845,0.36638863428564594,0.4852839862570327
3,18,0.09597699793701378,0.24941098198779285,0.354066166541755
3,19,0.17943237544825252,0.42247283734910607,0.33769992965399503
3,20,0.0547249480388035,0.15565339965558636,0.27351044729147206
4,1,0.9737681751369909,0.9807245642178462,2.92245214663925
4,2,0.9671184950100807,0.9706639780061176,2.886571000506142
4,3,0.8960688115395703,0.9143252987897355,2.836446533846164
4,4,0.9020191703075561,0.9223818218394104,2.5673512389329693
4,5,0.9062446781707897,0.9189297427716636,2.409743682230158
4,6,0.884164608270411,0.9059025182410122,2.238793627249781
4,7,0.8891597714091155,0.9076877245704954,1.9572385817025866
4,8,0.8741104665018348,0.9055438759324171,1.745061800961517
4,9,0.8283269341436441,0.8541034734938124,1.578976476064379
4,10,0.7970324431205239,0.8592234359823551,1.1815791867201402
4,11,0.5647595525679284,0.6608471823285827,1.0523675439834097
4,12,0.5807113725533952,0.6924324015596327,0.9354164684891898
4,13,0.511665518015569,0.6595952043861195,0.8742906298943984
4,14,0.3871194494458083,0.4413359298655573,0.7524621104621275
4,15,0.4119871586551083,0.563194000856518,0.5988356990639458
4,16,0.6732660951416325,0.7453425884468506,0.4868542853848116
4,17,0.24673931018117334,0.32588950684760515,0.433778605942661
4,18,-0.003835616088239203,0.259334123758606,0.3796533269956714
4,19,0.27658706374374986,0.339153218612861,0.36242681973768703
4,20,-0.21562090448712348,-0.12520366783035766,0.2589442163523035
