model_a,model_b,pairwise_joint_residual_rank,leading_projector_eigenvalue,leading_null_p95,mean_top_pairwise_eigenvalue,model_a_pairwise_fraction_of_total,model_b_pairwise_fraction_of_total,model_a_pairwise_fraction_of_joint_residual,model_b_pairwise_fraction_of_joint_residual
Qwen,Llama,15,1.9511035112035187,1.5376736059136957,1.782742716439141,0.014220704205511346,0.02142320662379564,0.7081401791945857,0.6847879053253318
Qwen,Gemma,14,1.941042251058807,1.5375986356742135,1.7686973508648676,0.010998437961308704,0.015777393386867063,0.547682851441577,0.5697870275117894
Llama,Gemma,15,1.9464876044806805,1.5425899944707873,1.7743956932909093,0.020848324372089007,0.017637149619673224,0.6664119254886985,0.6369505284655782
