resample_type,replicate,component,score_correlation,minimum_model_loading_tucker,mean_model_loading_tucker,matched_original_component,sign_correction
bootstrap,0,C1,0.999417097525424,0.9994599719253524,0.9996956653453889,1,1
bootstrap,0,C2,0.996729031027195,0.995156792042741,0.9959227981786235,2,1
bootstrap,0,C3,0.9950554027924499,0.983999801085221,0.9896297410993319,3,1
bootstrap,0,C4,0.9923692544984603,0.979303274066115,0.988864701321006,4,1
bootstrap,0,C5,0.9583310844116701,0.7605044482230231,0.7974343432509731,5,1
bootstrap,0,C6,0.8831792702292178,0.6246332371190036,0.7198545805654796,6,1
bootstrap,0,C7,0.8811026144789664,0.6806818418347037,0.7322432487258492,7,-1
bootstrap,0,C8,0.926498626841511,0.6995561060630957,0.8191309005550852,8,1
bootstrap,0,C9,0.8974828682879923,0.5893217876961104,0.7341412940823501,9,-1
bootstrap,0,C10,0.9206438216805185,0.6705243865282389,0.8349025589016182,10,1
bootstrap,0,C11,0.9103933636845337,0.4888304934289228,0.7370713010926643,11,1
bootstrap,0,C12,0.8703569610320312,0.8489787290092774,0.9008767064197727,12,-1
bootstrap,0,C13,0.8714575285375428,0.6940043398372003,0.7590860819615486,13,-1
bootstrap,1,C1,0.9974183870743669,0.9979069219857534,0.9986516178306782,1,1
bootstrap,1,C2,0.9955032602702755,0.9931950052668705,0.9935582236971808,2,1
bootstrap,1,C3,0.9903474779111108,0.9481072127254987,0.9686953397776489,3,1
bootstrap,1,C4,0.9831390552044728,0.9655413362294064,0.9709370731998718,4,1
bootstrap,1,C5,0.9749011126949154,0.9490082721895324,0.9586271815717655,5,1
bootstrap,1,C6,0.9722690165695393,0.864542659299883,0.8960396717482663,6,1
bootstrap,1,C7,0.9847896405389475,0.9344240817368167,0.9446279456422664,7,1
bootstrap,1,C8,0.8793857052266939,0.5633380658336448,0.75261017637177,8,-1
bootstrap,1,C9,0.9022399317722081,0.6116648596357174,0.7493459820839613,9,1
bootstrap,1,C10,0.9349343719155362,0.7154274554912732,0.8323961000590868,10,1
bootstrap,1,C11,0.8668700636840954,0.7322038823858145,0.7939120586290253,11,1
bootstrap,1,C12,0.7943959565838589,0.7934052316675473,0.8520344632152961,12,1
bootstrap,1,C13,0.7763604996480948,0.32449757600966067,0.6233640780068957,13,-1
bootstrap,2,C1,0.9967852156139623,0.9989422239893961,0.9990510480174414,1,1
bootstrap,2,C2,0.9883455956540877,0.9890420432772662,0.9925149206345273,2,1
bootstrap,2,C3,0.9649533779323385,0.8765535506816022,0.9125355732779261,3,1
bootstrap,2,C4,0.9986707134279746,0.9921359223225273,0.9953922888490571,4,1
bootstrap,2,C5,0.9828940673189984,0.9192296510766023,0.9369677041007566,5,1
bootstrap,2,C6,0.9671618924915014,0.7598536105837087,0.8294379343075445,6,1
bootstrap,2,C7,0.9825390612489601,0.6712809099427319,0.7868699290646527,7,1
bootstrap,2,C8,0.9396645367655033,0.623913449546951,0.7202961195239519,8,1
bootstrap,2,C9,0.9495063451554626,0.5882998852721542,0.7514100528408605,9,1
bootstrap,2,C10,0.7125536152844801,0.756779646885015,0.7973549357862507,10,1
bootstrap,2,C11,0.6365315436908222,0.6868964401576053,0.7211498842281324,11,1
bootstrap,2,C12,0.730502267874125,0.8066282686135103,0.8545534201807735,12,-1
bootstrap,2,C13,0.7527236570593576,0.43819732514046,0.6355452884482305,13,1
bootstrap,3,C1,0.9985994732482467,0.9992109062371555,0.9994112310343989,1,1
bootstrap,3,C2,0.9872049676805013,0.9785156510869756,0.9819859383167496,2,1
bootstrap,3,C3,0.9886243718892637,0.9654771535903256,0.979710413230717,3,1
bootstrap,3,C4,0.9698591202391963,0.9712600170427882,0.9738024607536504,4,1
bootstrap,3,C5,0.9281546707929433,0.7303563359210958,0.8018800163100571,5,1
bootstrap,3,C6,0.9615089388739343,0.7191073878732677,0.8023393331952229,6,1
bootstrap,3,C7,0.9707109850312785,0.8053951442400711,0.8915137439584843,7,1
bootstrap,3,C8,0.9491075701961826,0.8332485184149103,0.860800962934626,8,-1
bootstrap,3,C9,0.9266066430203793,0.4730430385318896,0.7245380838787209,9,1
bootstrap,3,C10,0.797494207180717,0.6102675024755403,0.6686128822777698,10,-1
bootstrap,3,C11,0.7496464638056347,0.4953085962243605,0.6726180026148584,11,1
bootstrap,3,C12,0.8048547704229838,0.43355647117765106,0.5650095680358761,12,1
bootstrap,3,C13,0.7828516342888957,0.41372546448594594,0.6194673254973138,13,-1
bootstrap,4,C1,0.9969983786765746,0.9986918292089637,0.9988157718651172,1,1
bootstrap,4,C2,0.9914248572916491,0.9838803194571575,0.9879534683962654,2,1
bootstrap,4,C3,0.9883957563678856,0.9686776779651096,0.9732652384032353,3,1
bootstrap,4,C4,0.9823517900611832,0.9362116037561815,0.960908249195291,4,1
bootstrap,4,C5,0.9146033993146023,0.8415603803430257,0.9009512172007681,5,1
bootstrap,4,C6,0.8762828305985759,0.8164505566362883,0.830625619737387,6,1
bootstrap,4,C7,0.9430191178603089,0.8679697221205827,0.8950700863777682,7,1
bootstrap,4,C8,0.9550319003189375,0.8780481546681738,0.90528272169452,8,1
bootstrap,4,C9,0.8993621148095912,0.6326596276247677,0.7227599694073034,9,1
bootstrap,4,C10,0.8429057275175122,0.3485129476513963,0.6367755932919718,10,-1
bootstrap,4,C11,0.7981780762498032,0.1839427182744653,0.5181028655136425,11,1
bootstrap,4,C12,0.7941840849762286,0.1677887234926299,0.5075133792375052,12,1
bootstrap,4,C13,0.5709459087903066,0.2008827742421394,0.586116387777076,13,-1
bootstrap,5,C1,0.9988652450082856,0.9995213721649168,0.999539609467079,1,1
bootstrap,5,C2,0.9857950314747407,0.9801164948579261,0.9836730823540086,2,1
bootstrap,5,C3,0.9887692251777093,0.9601621930085463,0.9782799769314329,3,1
