model,aa17_factor,consensus_component,tucker_loading_congruence,persona_score_correlation,persona_score_variance_overlap,aa17_factor_joint_score_overlap,aa17_factor_model_residual_overlap
Qwen,Qwen_F1,C1,-0.9051211352125522,-0.8904481979806127,0.7928979932869205,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C2,0.465190978533565,0.39796990461122067,0.15838004497626407,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C3,0.12949202312220986,0.19519109647373498,0.03809956414261891,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C4,-0.3168565235350456,-0.09168041456021897,0.00840529841393361,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C5,-0.08637737154197528,0.05077561097300123,0.0025781626696815625,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C6,-0.08780950897631279,0.0011208590047604825,1.2563249085526592e-06,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C7,-0.19398450072551798,-0.010650040037127164,0.00011342335279241156,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C8,0.5805482602137607,0.07299640168753527,0.005328474659328002,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C9,0.23789184591655693,0.03559428952375482,0.001266953446700882,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C10,-0.7044711804058958,-0.11018252676554594,0.012140189204440247,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C11,-0.6863127158960852,-0.10100518569152918,0.010202047536580291,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C12,0.40598863609430735,0.06455518004358009,0.004167371270459041,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F1,C13,-0.19788202268209149,-0.0300176579942243,0.000901059791458218,0.987791630441011,0.0077077389349639175
Qwen,Qwen_F2,C1,0.2854694392110069,0.25885891141905776,0.06700793602105959,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C2,-0.5454762567830713,-0.483785539890399,0.23404844860704485,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C3,0.7207579309027141,0.6618953809893248,0.4381054953750034,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C4,-0.2735392304299844,-0.2521546434575149,0.06358196421718648,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C5,0.5911369381550756,0.4670096250223424,0.21809798986350884,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C6,0.04439842381316645,0.06153734957511084,0.003786845392729394,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C7,0.2658210303939371,0.04017329583472301,0.0016138936982241733,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C8,-0.5029634708948698,-0.14302882793490607,0.020457245620432964,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C9,0.45559189698470676,0.11601146808374223,0.013458660726945142,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C10,0.49440160334146765,0.09080330792870268,0.008245240730794799,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C11,0.4571680811698235,0.12076374667780031,0.014583882511659924,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C12,-0.7177162948317269,-0.21064516603267888,0.04437138597293485,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F2,C13,0.6930027505197178,0.20536735380792417,0.04217575001006911,0.9824720653932671,0.0007848957477363854
Qwen,Qwen_F3,C1,-0.5207095831343957,-0.5852571750626285,0.3425259609622882,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C2,-0.6419327595014339,-0.7200192955664462,0.5184277859880013,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C3,-0.24115968459079787,-0.25755526032620807,0.0663347121217008,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C4,0.20333614564306246,0.2684834731217477,0.07208337533951621,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C5,-0.14504233693082785,-0.03100335887673504,0.0009612082616396254,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C6,0.20309721439445724,0.08500363827268397,0.007225618519593302,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C7,-0.2205595322080366,-0.028792104024181236,0.0008289852541392733,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C8,0.05248022150834696,-0.014596974544660047,0.00021307166585745338,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C9,0.156049410593326,0.013795899784823196,0.0001903268508728847,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C10,0.11344262184752739,0.05063992406849558,0.002564401909662998,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C11,-0.2448408974392581,-0.04898734193860425,0.0023997596702097345,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C12,0.24592055625508577,0.06055518111719405,0.003666929960136175,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F3,C13,0.1026223601298067,0.005131388280766882,2.6331145687991696e-05,0.9879192854803015,2.719864101014427e-05
Qwen,Qwen_F4,C1,-0.4545283519984458,-0.4148935413117189,0.172136650622179,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C2,-0.16016716800116304,-0.24556174169562286,0.060300568984587806,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C3,-0.20772894145961932,-0.2676199119802834,0.07162041728833464,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C4,-0.8297652579743735,-0.8180077171733413,0.6691366253551412,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C5,0.01553904665582822,-0.013119073667948568,0.0001721100939050615,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C6,-0.25656513823348,-0.14573775317123486,0.021239492699399776,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C7,-0.41582012549413594,-0.11976959530688652,0.014344755959975374,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C8,0.21982919082165106,0.0416663073655477,0.0017360811694802948,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C9,0.23756278454756355,0.04235246942819433,0.0017937316666661355,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C10,-0.12559618857643626,0.005837604917863073,3.407763117705913e-05,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C11,0.13349731874943743,0.12643624643755863,0.015986124413219057,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C12,0.3395851333605348,0.10614386124176729,0.011266519279311549,0.93957341390895,0.030260829409601883
Qwen,Qwen_F4,C13,0.4865662847455252,0.18970274317430866,0.03598713076785771,0.93957341390895,0.030260829409601883
Qwen,Qwen_F5,C1,0.052253831831870955,0.09585009578939924,0.00918724086283701,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C2,0.3834399268957995,0.3383144467778457,0.1144566648985998,0.9789835352185213,0.00011913692285592854
