model,aa17_factors,aa18_retained_components,subspace_min_canonical,subspace_mean_canonical,subspace_correlations
Qwen,5,13,0.9985160179136241,0.9995505186417202,0.999970;0.999925;0.999866;0.999475;0.998516
Llama,6,13,0.9977822770592155,0.9990784493108468,0.999973;0.999890;0.999518;0.999140;0.998168;0.997782
Gemma,6,13,0.9882354021675336,0.9967176155212735,0.999954;0.999803;0.999639;0.998625;0.994050;0.988235
