component,observed_projector_eigenvalue,null_p95,all_three_threshold,retained_joint
1,2.973910656064061,1.8208165831882615,2,True
2,2.9688337220622567,1.7482662357354135,2,True
3,2.960743599268488,1.7156183427849128,2,True
4,2.9505734979675355,1.6616294809473693,2,True
5,2.941874918167201,1.622391057187246,2,True
6,2.9168557289358836,1.5919211582286097,2,True
7,2.9127858935545183,1.560615148715576,2,True
8,2.910863997153424,1.530316129465141,2,True
9,2.899563712610881,1.4979544867857177,2,True
10,2.86009264755276,1.469367739179196,2,True
11,2.8272727590242157,1.442307411341427,2,True
12,2.796720943369946,1.4161995823804094,2,True
13,2.7714877404009157,1.3927198674985584,2,True
14,2.7205202444914134,1.3628634836679885,2,True
15,2.675795142010249,1.3379664321577842,2,True
16,2.5567333472912943,1.3108159765233496,2,True
17,2.4189745355485184,1.2894379754208005,2,True
18,2.297507431373101,1.2697825553437836,2,True
19,2.196843021695518,1.2449385740704426,2,True
20,1.3753756078410717,1.2216061682889814,2,False
21,1.1173672947122075,1.199092582857662,2,False
22,1.0058427533805492,1.1745692961015113,2,False
23,0.6364144688764959,1.1566706955376298,2,False
24,0.3986206787111766,1.1348653257704788,2,False
25,0.3802860155529731,1.1117611961599525,2,False
26,0.29962568707219844,1.0870573204354108,2,False
27,0.2723220280781201,1.065988629209044,2,False
28,0.20645409193590403,1.047853340550716,2,False
29,0.20267214079451465,1.0256200960081532,2,False
30,0.1750582300907144,1.0071427929582772,2,False
31,0.13792004175546743,0.9834633994194717,2,False
32,0.12485631377097639,0.9670410904210506,2,False
33,0.11613921560791997,0.9464785283809838,2,False
34,0.10215532467558679,0.9273870874653672,2,False
35,0.08699908236034268,0.9124189885688883,2,False
36,0.08344080680129591,0.8862644388589285,2,False
37,0.0704895639700163,0.8686897921802278,2,False
38,0.06336695646647816,0.8498414411794795,2,False
39,0.055902989889845336,0.8261659908264365,2,False
40,0.05304042468348489,0.8054294644096078,2,False
41,0.047034891170992514,0.7855510523972222,2,False
42,0.044585617398542984,0.7660320174932589,2,False
43,0.04062686040579046,0.7499436638390146,2,False
44,0.03791477590686964,0.7269504031006742,2,False
45,0.036060535006442386,0.7087113695629992,2,False
46,0.030692284606000902,0.6899109667371022,2,False
47,0.0301390863962672,0.6652965440637548,2,False
48,0.026478992683858314,0.6480446461949525,2,False
49,0.024497765680723878,0.6271608926643156,2,False
50,0.0238445549692958,0.6118497714333891,2,False
51,0.020698543996202162,0.5948402404698436,2,False
52,0.019431573668786985,0.577027654008406,2,False
53,0.01877593578086022,0.548805688904411,2,False
54,0.015520315013061928,0.5270878970042938,2,False
55,0.0138333315210625,0.5123221888112142,2,False
56,0.011916186854279424,0.4887573072937262,2,False
57,0.01115123404135678,0.4638573731600023,2,False
58,0.010290729266654482,0.44489090929688374,2,False
59,0.0077039451716271615,0.4135189574889925,2,False
60,0.006499584891799135,0.39082290835232103,2,False
