pca_rank,ridge_alpha_multiplier,component,heldout_min_pairwise_pearson,heldout_mean_pairwise_pearson,primary_shared_subspace_min_canonical,primary_axis_abs_score_match
10,1.0,1,0.970278648161193,0.9737621411052607,0.431750860144491,0.9998780587480658
10,1.0,2,0.9641858499224462,0.9706489531525495,0.431750860144491,0.9999347955152771
10,1.0,3,0.9423101686721082,0.9534396969744948,0.431750860144491,0.9998902106155189
10,1.0,4,0.8692967931853052,0.8854285788432521,0.431750860144491,0.997834471978994
10,1.0,5,0.9042414857457017,0.916559565787847,0.431750860144491,0.9965803598215107
10,1.0,6,0.8428803288663007,0.8728307792529716,0.431750860144491,0.9963234704842624
10,1.0,7,0.8450015733536885,0.8596245810409627,0.431750860144491,0.9988292286544844
10,1.0,8,0.8332721413578927,0.8563414390633897,0.431750860144491,0.994441695293586
10,1.0,9,0.7361317892886936,0.795217373054867,0.431750860144491,0.9884485426631187
10,1.0,10,0.1902059740424873,0.4091555534106783,0.431750860144491,0.9428697925467023
10,1.0,11,-0.3833088196795812,-0.05417494007864853,0.431750860144491,0.6470428821269273
10,1.0,12,-0.42743613837668043,-0.3207576455904397,0.431750860144491,0.7935153374337648
10,1.0,13,-0.4775702425826437,-0.3627369031888484,0.431750860144491,0.3656775636651266
10,1.0,14,-0.6080648176744624,-0.36688599115697595,0.431750860144491,
10,1.0,15,-0.48461225500277916,-0.4126573610064907,0.431750860144491,
10,1.0,16,-0.49617318542055155,-0.43731081382977494,0.431750860144491,
10,1.0,17,-0.716936132449933,-0.41342471415675863,0.431750860144491,
10,1.0,18,-0.5463898017263276,-0.44004501915268995,0.431750860144491,
10,1.0,19,-0.6821872249317888,-0.42728638309837247,0.431750860144491,
10,1.0,20,-0.6621637670946534,-0.453378715045139,0.431750860144491,
40,1.0,1,0.9722409487094575,0.9762521097514361,0.9996872241521932,0.9999980956988961
40,1.0,2,0.9652829288656034,0.9715996276462784,0.9996872241521932,0.9999982065453675
40,1.0,3,0.9483609657553698,0.9583700567279,0.9996872241521932,0.9999948056313458
40,1.0,4,0.888361201710198,0.8999428059082949,0.9996872241521932,0.9999891505205353
40,1.0,5,0.9172693744538263,0.9285954422751311,0.9996872241521932,0.9999931158954456
40,1.0,6,0.8983011019380565,0.9117684704320563,0.9996872241521932,0.9999918111125975
40,1.0,7,0.8739471702372622,0.8888754723675435,0.9996872241521932,0.9999822664561727
40,1.0,8,0.8876698377197164,0.8945122168249543,0.9996872241521932,0.9999902993135624
40,1.0,9,0.8349226807963961,0.8608673048446582,0.9996872241521932,0.9999496924331153
40,1.0,10,0.8015881228285524,0.8474719590775336,0.9996872241521932,0.9999604792936055
40,1.0,11,0.6942095715730642,0.7424598110852042,0.9996872241521932,0.9997239263330124
40,1.0,12,0.5689757307971314,0.6278758154889643,0.9996872241521932,0.9997221299485574
40,1.0,13,0.6319908053832554,0.7009072346814863,0.9996872241521932,0.9998299129317636
40,1.0,14,0.3527653185198666,0.46648006537303655,0.9996872241521932,
40,1.0,15,0.4729927995733813,0.5567211541218193,0.9996872241521932,
40,1.0,16,0.6219823761050736,0.65551451218485,0.9996872241521932,
40,1.0,17,0.400516654893432,0.4897588159825883,0.9996872241521932,
40,1.0,18,0.3023900902517952,0.37560555989943634,0.9996872241521932,
40,1.0,19,0.4594247185536973,0.4787949344778493,0.9996872241521932,
40,1.0,20,0.13898840057031547,0.281019118446218,0.9996872241521932,
20,0.1,1,0.9750398929709432,0.9786800809248573,0.9297429138833508,0.9803372331503288
20,0.1,2,0.9708771564169357,0.9752949749793576,0.9297429138833508,0.9642289028824633
20,0.1,3,0.9610241692889454,0.9683910084303714,0.9297429138833508,0.9675537343463586
20,0.1,4,0.927839271169963,0.938220441090771,0.9297429138833508,0.8280788491601259
20,0.1,5,0.923655448922588,0.9393495193054555,0.9297429138833508,0.8227111253647791
20,0.1,6,0.9413395165483497,0.9458384770460387,0.9297429138833508,0.9389336882804983
20,0.1,7,0.931460411820195,0.9319649209499471,0.9297429138833508,0.8916665575079643
20,0.1,8,0.9249645878207807,0.9295678935152125,0.9297429138833508,0.903829141510647
20,0.1,9,0.8870070892000701,0.9058788013966873,0.9297429138833508,0.8948984735550332
20,0.1,10,0.8939914142010867,0.9043776746980491,0.9297429138833508,0.9403185550180658
20,0.1,11,0.878074367928524,0.8851429255240993,0.9297429138833508,0.947320735059505
20,0.1,12,0.8629890818246202,0.8784606524914965,0.9297429138833508,0.8621517123472566
20,0.1,13,0.7402506079355348,0.7812818032508609,0.9297429138833508,0.9515580232740493
20,0.1,14,0.7705393401850156,0.7859765615376753,0.9297429138833508,
20,0.1,15,0.7907983646020736,0.80567127191288,0.9297429138833508,
20,0.1,16,0.7993664630483452,0.8093918200371437,0.9297429138833508,
20,0.1,17,0.63949888506334,0.7026021514974342,0.9297429138833508,
20,0.1,18,0.6082453256902856,0.6596342577388564,0.9297429138833508,
20,0.1,19,0.5006201778692168,0.5471986759962837,0.9297429138833508,
20,0.1,20,0.04151239554142568,0.1473109484685864,0.9297429138833508,
20,10.0,1,0.9609593741448486,0.9682651116802843,0.6108708528485401,0.9932998280678939
20,10.0,2,0.95060143074218,0.9599279886866984,0.6108708528485401,0.9898470949124304
20,10.0,3,0.9071941608092395,0.9321261158061489,0.6108708528485401,0.9876044267523401
20,10.0,4,0.8174373399169657,0.8490175796361276,0.6108708528485401,0.9838715337025045
20,10.0,5,0.8334453165140168,0.8527556150677453,0.6108708528485401,0.9841918408200419
20,10.0,6,0.7569527900649325,0.7889293696164783,0.6108708528485401,0.9749505645226034
20,10.0,7,0.5716133320357982,0.6571308372764254,0.6108708528485401,0.9815688902708689
20,10.0,8,0.44033732936472364,0.5109344050740249,0.6108708528485401,0.8828547032655086
20,10.0,9,0.46611119583239313,0.5657188013082014,0.6108708528485401,0.8800838842312927
20,10.0,10,-0.011853846751630339,0.19569283269864168,0.6108708528485401,0.9154997504310827
20,10.0,11,0.1269651911416785,0.20397550918851948,0.6108708528485401,0.7304000967367084
