model,joint_rank,individual_rank,joint_variance_fraction,individual_variance_fraction,residual_variance_fraction,partition_sum
Qwen,19,1,0.9799182356497761,0.007257593591841416,0.012824170758382993,1.0000000000000004
Llama,19,1,0.9687155592889483,0.00906892713178875,0.02221551357926297,1.0
Gemma,19,1,0.9723100165060524,0.0068030645162729855,0.020886918977674848,1.0000000000000002
