persona,component,retained,consensus_score,qwen_score,llama_score,gemma_score,heldout_qwen_score,heldout_llama_score,heldout_gemma_score,supported_consensus_axis
aberration,C1,True,0.1171900998019338,2.0873330201916978,1.5795303702470922,2.1096237068544266,2.0767519236315213,1.5525115739532362,2.101301513319678,True
absurdist,C1,True,0.135934243059411,1.973846079097798,2.538865450450284,2.19149785786574,2.032923436410566,2.6877617773286597,2.2735251323636194,True
accountant,C1,True,-0.0745046780322179,-1.296593068046347,-1.1124162360497598,-1.2640435516886193,-1.3317486788752009,-1.150964901460661,-1.301594050396602,True
activist,C1,True,-0.0272674269728884,-0.3799173763959281,-0.509387063519761,-0.4555047972898249,-0.4227090143623495,-0.5484027743031218,-0.4715994120936418,True
actor,C1,True,0.0516760879423348,0.8642696757304092,0.9558011142123832,0.7285674406780597,0.8220076291041953,0.935620871652216,0.7009538915446754,True
addict,C1,True,0.0365131297299341,0.7396331699459167,0.573367634854407,0.4872901674073115,0.7784833029615813,0.5929837831673622,0.5331138869821038,True
adolescent,C1,True,0.0457368631409182,0.8726312684642125,0.7054675924348452,0.6768743322960059,0.7009249916813274,0.5641028789651437,0.5061561025924571,True
advocate,C1,True,-0.0416656809016713,-0.5070982721721967,-0.8903224474146424,-0.6580995297299808,-0.520245008953488,-0.885200171206,-0.6598082208380843,True
alien,C1,True,0.0371882327941569,0.7601352911089452,0.3138105122660699,0.7581058814400633,0.7885502812193337,0.3741643410014449,0.8256982044347775,True
altruist,C1,True,-0.0407012771096188,-0.6804318015574361,-0.5458101548290216,-0.7799528574335951,-0.6768718725432221,-0.5010762922300402,-0.7970812002928085,True
amateur,C1,True,0.0008078265360037,-0.1696274843911386,0.1896014648086926,0.0207719311266014,-0.2754918182525486,0.112187496597922,-0.0805704102050052,True
ambassador,C1,True,-0.0687537415676921,-1.137334681096238,-1.040134908835456,-1.212113989900647,-1.140373565660614,-1.0099018758402636,-1.2040033892050308,True
amnesiac,C1,True,0.0613160304302786,1.1371850425552854,0.8720825257320408,1.0133763511892608,1.16952059742319,0.900661190802392,1.03291242685562,True
analyst,C1,True,-0.0861683140866658,-1.3682197300678252,-1.4447333129445046,-1.4359474672495074,-1.3582661468935675,-1.4525258899198457,-1.4499417552550926,True
anarchist,C1,True,0.024314777760217,0.2262614035090725,0.645232667864086,0.3287218607727108,0.2027577949730058,0.6291531445698618,0.3251669443192587,True
ancient,C1,True,0.060891698965509,1.0601252925394795,0.8231333677770768,1.1181928377372978,1.012208963823105,0.7649216774330201,1.0751553619784875,True
angel,C1,True,0.0214787761683532,0.640927290141424,0.135833249708353,0.281211562098354,0.7127609834820796,0.2102556572038637,0.3325776001035462,True
anthropologist,C1,True,-0.0546859138574108,-0.8586717511898585,-0.8947049150713084,-0.943018336052308,-0.8564634888083148,-0.9092766447660242,-0.9327335409726404,True
archaeologist,C1,True,-0.0191002309926664,-0.4872151111221294,-0.2530475501771523,-0.2012607289937443,-0.4723099832363079,-0.2155645884697124,-0.1708417430253897,True
architect,C1,True,-0.0578035099482584,-0.9637301484058708,-0.8527108401039694,-1.0331726389727505,-0.9374616974419534,-0.8227678263531247,-1.0250361263908176,True
archivist,C1,True,-0.0506518195920929,-0.9125630350699704,-0.841295778408557,-0.7437523164826716,-0.9196051850497836,-0.852767071301364,-0.7478051674885567,True
artisan,C1,True,0.0164915074359917,0.2009990816692577,0.3168539674954836,0.2955322982339611,0.1853027831014676,0.3009962622667437,0.2906111462510639,True
ascetic,C1,True,0.0699834264782201,1.1366262302844763,1.3256353748483287,0.989446352924132,1.090860044442532,1.319618386361376,0.9536899438694147,True
assistant,C1,True,-0.0864531485219754,-1.320428683017091,-1.5170478284859623,-1.4258271580174773,-1.3605581069632868,-1.5453826913713962,-1.4736142747102217,True
auctioneer,C1,True,0.0371794894576349,0.5269186163795361,0.6593365222850703,0.6472144578940836,0.5854285516884881,0.7282267465362939,0.6791506394553917,True
auditor,C1,True,-0.0819131426502906,-1.3892766261703486,-1.3021300329511842,-1.347311682670168,-1.381197408430894,-1.2693289374137304,-1.3433241717708544,True
avatar,C1,True,0.0394422094853442,0.8481292362798334,0.5191310405441417,0.5769052707291542,0.906147815318486,0.5893027340526527,0.6291960238125479,True
