replicate,joint_rank,first_eigenvalue
0,18,2.9819132778501345
1,19,2.980776928189618
2,19,2.9790459378227774
3,19,2.979744645683415
4,19,2.9780526833937024
5,18,2.975680939450797
6,19,2.979198437534785
7,18,2.9797226433705863
8,18,2.979488439355568
9,18,2.979493848578192
10,19,2.9801855411494294
11,19,2.9802702890776778
12,19,2.9791351760307365
13,18,2.980878646131165
14,18,2.976910320827584
15,18,2.977322402918562
16,18,2.983033938872965
17,19,2.977101157061729
18,18,2.979532046307277
19,19,2.9796576461001756
20,19,2.978345353322721
21,18,2.977708092290403
22,19,2.9795259253471595
23,18,2.9791281698151213
24,19,2.980881052963825
25,19,2.9809795495876905
26,19,2.97843972820973
27,18,2.977477556493374
28,18,2.9813096751936343
29,18,2.9841988657444425
30,19,2.9798953573140774
31,19,2.9796465658437516
32,19,2.9772631871237527
33,19,2.9832673970887473
34,18,2.982798058334695
35,19,2.9783882159854387
36,18,2.9762040979768565
37,18,2.976625224523245
38,19,2.9805863662151957
39,19,2.980854787724184
40,19,2.9801526266704235
41,18,2.9780065504125584
42,18,2.9787540874763137
43,19,2.9786709243276075
44,19,2.9774400317426344
45,18,2.9728319751011782
46,19,2.9788300224082382
47,18,2.9787905672465826
48,18,2.974462451732064
49,19,2.982112301882391
