resample_type,replicate,subspace_dimension,subspace_min_canonical,subspace_mean_canonical
bootstrap,0,1,0.9987413479561658,0.9987413479561658
bootstrap,0,2,0.9929513273778708,0.9962662667644013
bootstrap,0,3,0.9894658757751699,0.9962678314143013
bootstrap,0,4,0.9900160611113109,0.9963467072386878
bootstrap,0,5,0.9791559463610443,0.9937625907154297
bootstrap,0,6,0.9547914313699277,0.9906815278697124
bootstrap,0,7,0.9738920808381437,0.9945048584159871
bootstrap,0,8,0.9654781809687564,0.9938671877137184
bootstrap,0,9,0.9746989006163438,0.9952414573947824
bootstrap,0,10,0.9713066888784916,0.9952881100409827
bootstrap,0,11,0.9331422290660845,0.9915908343234873
bootstrap,0,12,0.9475925113221935,0.9909146816424208
bootstrap,0,13,0.9398196057330211,0.9924819004388582
bootstrap,1,1,0.9854811441351232,0.9854811441351232
bootstrap,1,2,0.9870803254911233,0.9929539560518256
bootstrap,1,3,0.9855461173911966,0.9947887018608471
bootstrap,1,4,0.9853325583403639,0.9943598739332393
bootstrap,1,5,0.9833251896556006,0.9946928111152256
bootstrap,1,6,0.9835411603994688,0.9955433259286242
bootstrap,1,7,0.980396346384348,0.9951096384789963
bootstrap,1,8,0.9343338569124536,0.9896312370932496
bootstrap,1,9,0.9746663587162124,0.9953247047263007
bootstrap,1,10,0.9630607986702294,0.9934270300995347
bootstrap,1,11,0.9398585679155435,0.9914847436891633
bootstrap,1,12,0.7974949611030143,0.9784478848912772
bootstrap,1,13,0.9081904877078258,0.98941524990382
bootstrap,2,1,0.9952983316668357,0.9952983316668357
bootstrap,2,2,0.9839480705101262,0.9916268139859657
bootstrap,2,3,0.9968856267173414,0.998776249222351
bootstrap,2,4,0.9965371046165679,0.9989200406202651
bootstrap,2,5,0.9898284583635729,0.9974585627205294
bootstrap,2,6,0.9907995405589033,0.9974102242562816
bootstrap,2,7,0.9912484055134781,0.9973954198329441
bootstrap,2,8,0.9785925835125874,0.995969009708213
bootstrap,2,9,0.982042866862766,0.9964732625155706
bootstrap,2,10,0.758312234844913,0.974226317462471
bootstrap,2,11,0.9510985147169351,0.9909221733339983
bootstrap,2,12,0.8110524904572783,0.9811683480153303
bootstrap,2,13,0.8895045178189753,0.9883626558462686
bootstrap,3,1,0.99844937302599,0.99844937302599
bootstrap,3,2,0.9943703126444916,0.9970482181238529
bootstrap,3,3,0.9982836764506031,0.9992777779425902
bootstrap,3,4,0.9716370596813305,0.9926596072494763
bootstrap,3,5,0.9928175531860621,0.9981258052517514
bootstrap,3,6,0.9863171514300998,0.9970363730930788
bootstrap,3,7,0.9930765728302021,0.9983896889201888
bootstrap,3,8,0.97080560204605,0.9956998118596536
bootstrap,3,9,0.984896032814606,0.9967592564196062
bootstrap,3,10,0.8184089433064629,0.9803742642168214
bootstrap,3,11,0.9623747650950473,0.9948822021475692
bootstrap,3,12,0.8802424695451292,0.9878285090340495
bootstrap,3,13,0.9492936956488917,0.9940653799932982
bootstrap,4,1,0.9969775473980041,0.9969775473980041
bootstrap,4,2,0.9950798064496934,0.9972779330263197
bootstrap,4,3,0.997901777869085,0.9989757282171534
bootstrap,4,4,0.9880801888311719,0.9967531756544632
bootstrap,4,5,0.9336537800611593,0.9860683341921023
bootstrap,4,6,0.9850167769729368,0.9957161112661654
bootstrap,4,7,0.9704727656848406,0.9943019630847019
bootstrap,4,8,0.9824917899536985,0.9960981287311099
bootstrap,4,9,0.9779647127658232,0.9962579463331738
bootstrap,4,10,0.8870064836473913,0.9866321573598201
bootstrap,4,11,0.9436845945686055,0.9921711306018886
bootstrap,4,12,0.9027363943307547,0.9892738400839368
bootstrap,4,13,0.6745899394016361,0.9724445740063258
bootstrap,5,1,0.998652966698277,0.998652966698277
bootstrap,5,2,0.9884441149396046,0.9939114139934105
bootstrap,5,3,0.9916792023025834,0.9966631139408942
bootstrap,5,4,0.9896305033817855,0.9954733806851664
bootstrap,5,5,0.9584317716205346,0.98950002038322
bootstrap,5,6,0.9648384321252576,0.992393480978082
bootstrap,5,7,0.9221139889745497,0.9869243896980723
bootstrap,5,8,0.940247474822108,0.9893900850114998
bootstrap,5,9,0.8957088489001795,0.9840659453564812
bootstrap,5,10,0.8741593613814721,0.9840529090690306
bootstrap,5,11,0.9773164861300663,0.9947000703778134
bootstrap,5,12,0.8677925691031664,0.9858352509581589
bootstrap,5,13,0.8505008919607302,0.9852645236476852
bootstrap,6,1,0.9982220242838377,0.9982220242838377
bootstrap,6,2,0.9932394748036635,0.9965716432246388
bootstrap,6,3,0.9911519924205262,0.9968012492558187
bootstrap,6,4,0.9770862798830909,0.9922465104826281
bootstrap,6,5,0.984278244025623,0.9954589234935908
bootstrap,6,6,0.9842642398195025,0.9961652002384982
bootstrap,6,7,0.9835198002108724,0.9959921695491921
bootstrap,6,8,0.8531845468268417,0.9794444167147165
bootstrap,6,9,0.9833945552319687,0.9968826301427482
bootstrap,6,10,0.9832908159707257,0.9967215157912644
bootstrap,6,11,0.974017511015538,0.9952577279877726
bootstrap,6,12,0.7519372863640502,0.9760434647678905
bootstrap,6,13,0.9526431554536673,0.9931682734022756
bootstrap,7,1,0.9904129656126206,0.9904129656126206
bootstrap,7,2,0.9935592640039337,0.9966993650702937
bootstrap,7,3,0.9966684339930556,0.9985800916782456
bootstrap,7,4,0.9820361555657058,0.9946988515537953
bootstrap,7,5,0.9834780412728974,0.9957562208740164
bootstrap,7,6,0.9887201768970424,0.9971059351538893
bootstrap,7,7,0.9645040437724354,0.9939849274967064
bootstrap,7,8,0.9315989884180033,0.9905890089045597
bootstrap,7,9,0.9461532150958195,0.9909006796969434
bootstrap,7,10,0.8689837462661502,0.9848426196809456
bootstrap,7,11,0.9737980197272025,0.9956945741269824
bootstrap,7,12,0.8794492524033488,0.9879679341794497
bootstrap,7,13,0.9313031748355209,0.9923883270820755
bootstrap,8,1,0.9872430989060246,0.9872430989060246
bootstrap,8,2,0.9956437467348807,0.9974850700540079
bootstrap,8,3,0.9949992512396281,0.9978390480683252
bootstrap,8,4,0.9507137027635533,0.9865004158756769
bootstrap,8,5,0.9869523141592323,0.9962475956792674
bootstrap,8,6,0.9859607740571315,0.9959687217303627
bootstrap,8,7,0.9688000281938502,0.9934413578114434
bootstrap,8,8,0.934674748172037,0.9899052613474326
bootstrap,8,9,0.9768343353011656,0.9957492697324621
bootstrap,8,10,0.9741731838952373,0.9956443382939553
bootstrap,8,11,0.9771318970060556,0.9961577852475137
bootstrap,8,12,0.7724283196099695,0.9785869409979422
bootstrap,8,13,0.9586879679417877,0.9942524839202803
bootstrap,9,1,0.9730522476880079,0.9730522476880079
bootstrap,9,2,0.9918917509218937,0.9948444324576744
bootstrap,9,3,0.9944073652268215,0.9974450970322829
bootstrap,9,4,0.9760189179594971,0.9929757782103945
bootstrap,9,5,0.9768249437333408,0.9929171725570161
bootstrap,9,6,0.9859205212156515,0.9959908278195707
bootstrap,9,7,0.9403059860854517,0.989312300242179
bootstrap,9,8,0.9439425959015842,0.9909855059603581
bootstrap,9,9,0.9849243233539684,0.9963338943989561
bootstrap,9,10,0.9831201229062746,0.9965477034694759
bootstrap,9,11,0.9838012217617393,0.9970765484454055
bootstrap,9,12,0.7313912788980259,0.9754427132371349
bootstrap,9,13,0.918635878738919,0.9900060077125883
bootstrap,10,1,0.998890598721372,0.998890598721372
bootstrap,10,2,0.998859732247424,0.9994031518495959
bootstrap,10,3,0.9966517607126114,0.9988009402253543
bootstrap,10,4,0.962833973538579,0.9906035169183095
bootstrap,10,5,0.9915124027780616,0.9979194850312456
bootstrap,10,6,0.9910860819118977,0.9979863448516525
bootstrap,10,7,0.8040231810514553,0.9704316955500671
bootstrap,10,8,0.9500886752864056,0.9919626591158648
bootstrap,10,9,0.8878281521078868,0.9856380550737769
bootstrap,10,10,0.9790237364144154,0.9961400566158909
bootstrap,10,11,0.9278458642263422,0.9914634084024183
bootstrap,10,12,0.7503427141811031,0.9774452003981292
bootstrap,10,13,0.9062553992663528,0.9891373876996756
bootstrap,11,1,0.9992429388412195,0.9992429388412195
bootstrap,11,2,0.9968111329133549,0.9980676224594413
bootstrap,11,3,0.9979751526782769,0.9988894686479108
bootstrap,11,4,0.9838637937906374,0.9954034553596416
bootstrap,11,5,0.9865605222868498,0.9962066455323868
bootstrap,11,6,0.9728516496437706,0.9948114287697574
bootstrap,11,7,0.9893112043669825,0.9978698230046484
bootstrap,11,8,0.7498891355536458,0.9675401971562818
bootstrap,11,9,0.9911711211264012,0.9977606666542689
bootstrap,11,10,0.9908418146559566,0.9976482513454569
bootstrap,11,11,0.9303424842258735,0.9919898218618868
bootstrap,11,12,0.9338757113212949,0.9925155897327299
bootstrap,11,13,0.9444960452590568,0.9925505379561591
bootstrap,12,1,0.9802358433845756,0.9802358433845756
bootstrap,12,2,0.9625879099606504,0.9807394706677157
bootstrap,12,3,0.9969797411153039,0.9987192048676042
bootstrap,12,4,0.9745696570558539,0.9931567430687545
bootstrap,12,5,0.9859268210377176,0.9967712861295599
