role,activation_cluster,baseline_residual_norm,best_model_residual_norm,residual_reduction,best_framing,still_high_residual_rank,baseline_high_residual_rank
proofreader,editorial,30.258278,13.819606,16.438672,prior_first_loop,65,33
sage,mythic_spiritual,72.128994,55.768475,16.360519,prior_first_loop,4,2
bard,mythic_spiritual,66.495698,51.222011,15.273687,prior_first_loop,5,3
poet,mythic_spiritual,87.237983,73.789356,13.448627,prior_first_loop,1,1
expatriate,procedural_professional,38.049469,26.71069,11.338779,prior_first_loop,34,21
prey,grounded_social,25.820755,14.696864,11.123891,prior_first_loop,62,41
technologist,procedural_professional,50.681322,40.008301,10.673021,prior_first_loop,14,10
hermit,mythic_spiritual,52.285354,42.410298,9.875056,prior_first_loop,12,7
purist,procedural_professional,25.192245,15.984548,9.207696,prior_first_loop,56,43
exile,mythic_spiritual,32.362568,23.474261,8.888307,prior_first_loop,41,28
bartender,grounded_social,57.663265,48.879294,8.783971,prior_first_loop,6,6
sommelier,procedural_professional,28.300088,19.89792,8.402168,prior_first_loop,48,35
pragmatist,procedural_professional,39.022723,30.8354,8.187323,prior_first_loop,23,17
assistant,procedural_professional,12.506958,4.36171,8.145248,prior_first_loop,73,61
narrator,mythic_spiritual,40.993153,33.26151,7.731643,prior_first_loop,21,13
spy,procedural_professional,30.713857,23.310882,7.402975,prior_first_loop,42,30
philosopher,procedural_professional,36.543781,29.267557,7.276224,prior_first_loop,29,23
ascetic,mythic_spiritual,50.911284,44.144068,6.767216,prior_first_loop,9,9
ecosystem,procedural_professional,27.563012,20.824079,6.738933,prior_first_loop,45,38
guru,mythic_spiritual,32.163374,25.442144,6.721229,prior_first_loop,38,29
destroyer,combative_iconoclast,23.938615,17.306177,6.632438,prior_first_loop,52,46
survivor,grounded_social,20.990917,14.486296,6.504621,prior_first_loop,63,49
patient,grounded_social,34.81375,28.424354,6.389396,prior_first_loop,31,24
curator,procedural_professional,13.333497,7.407806,5.925691,prior_first_loop,72,59
ancient,mythic_spiritual,51.185604,47.36187,3.823734,prior_first_loop,7,8
absurdist,trickster_chaos,33.240422,29.426924,3.813498,prior_first_loop,28,26
