scale_id,instrument,scale_name,retained_model_trait_count,retained_traits,accept_direct_count,accept_close_count,retained_evidence_item_count,retained_evidence_item_ids
IPIP100:B5:E,IPIP100,B5:E,7,assertive;avoidant;chill;dominant;extroverted;gregarious;submissive,4,3,5,q_1742;q_1768;q_1803;q_819;q_901
EPQr:EPQ:P,EPQr,EPQ:P,6,cruel;independent;mischievous;nonchalant;reverent;traditional,1,5,7,q_4229;q_4231;q_4236;q_4244;q_4251;q_4261;q_4291
HEXACO:H:A:FO,HEXACO,H:A:FO,6,bitter;cynical;forgiving;hostile;paranoid;vindictive,5,1,5,q_1150;q_145;q_1869;q_594;q_915
HEXACO:H:E:A,HEXACO,H:E:A,6,anxious;calm;melancholic;resilient;serene;stoic,6,0,3,q_1578;q_1616;q_1989
BFAS:BFAS:A:P,BFAS,BFAS:A:P,5,deferential;grandiose;manipulative;rebellious;reverent,3,2,3,q_1624;q_1765;q_364
BFAS:BFAS:N:W,BFAS,BFAS:N:W,5,anxious;chill;confident;melancholic;neurotic,3,2,3,q_1578;q_1989;q_820
EPQr:EPQ:E,EPQr,EPQ:E,5,goofy;mischievous;playful;proactive;spontaneous,1,4,3,q_4257;q_4265;q_4276
HEXACO:H:E:S,HEXACO,H:E:S,5,callous;cruel;detached;emotional;empathetic,3,2,3,q_1681;q_251;q_844
IPIP100:B5:C,IPIP100,B5:C,5,conscientious;disorganized;methodical;meticulous;perfectionist,3,2,6,q_1254;q_1422;q_1483;q_1507;q_530;q_619
IPIP100:B5:ES,IPIP100,B5:ES,5,chill;mercurial;neurotic;nonchalant;temperamental,2,3,4,q_1099;q_1989;q_248;q_497
IPIPneo:O3:EM,IPIPneo,O3:EM,5,detached;emotional;introspective;passionate;zealous,2,3,5,q_1681;q_1880;q_228;q_793;q_844
MPQ:MPQ:AG,MPQ,MPQ:AG,5,acerbic;bitter;forgiving;hostile;vindictive,3,2,4,q_1051;q_1150;q_1869;q_630
PS:PS:P,PS,PS:P,5,confident;creative;dramatic;innovative;theatrical,4,1,4,q_1055;q_2745;q_2754;q_2951
QB6:QB6:X,QB6,QB6:X,5,extroverted;goofy;gregarious;playful;reserved,4,1,3,q_1635;q_1685;q_1803
BFAS:BFAS:E:A,BFAS,BFAS:E:A,4,assertive;confident;dominant;submissive,2,2,3,q_1055;q_1768;q_2161
BFAS:BFAS:N:V,BFAS,BFAS:N:V,4,mercurial;serene;stoic;temperamental,3,1,4,q_1185;q_1588;q_497;q_52
HEXACO:H:A:G,HEXACO,H:A:G,4,acerbic;agreeable;hostile;judgmental,2,2,3,q_1051;q_239;q_6
HEXACO:H:C:PE,HEXACO,H:C:PE,4,conscientious;disorganized;meticulous;perfectionist,3,1,5,q_1063;q_1507;q_1511;q_1915;q_530
IPIPneo:A1:TR,IPIPneo,A1:TR,4,cynical;naive;optimistic;paranoid,3,1,7,q_1758;q_1835;q_1854;q_343;q_377;q_381;q_594
IPIPneo:A4:CO,IPIPneo,A4:CO,4,acerbic;bitter;hostile;vindictive,2,2,2,q_1051;q_1150
IPIPneo:A6:SY,IPIPneo,A6:SY,4,agreeable;altruistic;competitive;empathetic,3,1,3,q_1757;q_1764;q_1910
IPIPneo:N1:ANX,IPIPneo,N1:ANX,4,adaptable;anxious;neurotic;pessimistic,3,1,4,q_1989;q_248;q_38;q_808
IPIPneo:N6:VU,IPIPneo,N6:VU,4,calm;resilient;serene;stoic,4,0,3,q_1606;q_1616;q_85
MPQ:MPQ:AL,MPQ,MPQ:AL,4,bitter;cynical;naive;paranoid,3,1,4,q_1758;q_1854;q_594;q_848
MPQ:MPQ:CO,MPQ,MPQ:CO,4,conscientious;methodical;meticulous;spontaneous,2,2,4,q_1321;q_1422;q_1488;q_1507
MPQ:MPQ:SC,MPQ,MPQ:SC,4,avoidant;detached;emotional;reserved,2,2,3,q_1196;q_219;q_312
MPQ:MPQ:SP,MPQ,MPQ:SP,4,assertive;dominant;manipulative;submissive,3,1,2,q_1768;q_905
BFAS:BFAS:A:C,BFAS,BFAS:A:C,3,agreeable;callous;empathetic,3,0,3,q_146;q_1763;q_844
BFAS:BFAS:E:E,BFAS,BFAS:E:E,3,detached;playful;reserved,2,1,3,q_1043;q_1196;q_1635
HEXACO:H:E:D,HEXACO,H:E:D,3,gregarious;independent;melancholic,2,1,2,q_1706;q_463
HEXACO:H:H:S,HEXACO,H:H:S,3,bombastic;deferential;theatrical,1,2,2,q_1555;q_917
HEXACO:H:X:S,HEXACO,H:X:S,3,extroverted;gregarious;reserved,3,0,3,q_1196;q_1671;q_1803
IPIP100:B5:A,IPIP100,B5:A,3,agreeable;altruistic;callous,3,0,4,q_1385;q_146;q_1763;q_844
IPIPneo:E3:AS,IPIPneo,E3:AS,3,assertive;dominant;submissive,2,1,2,q_1768;q_1769
IPIPneo:E6:CH,IPIPneo,E6:CH,3,goofy;optimistic;playful,2,1,3,q_1043;q_1350;q_1685
IPIPneo:N3:DE,IPIPneo,N3:DE,3,mercurial;neurotic;temperamental,2,1,2,q_1099;q_820
MPQ:MPQ:HA,MPQ,MPQ:HA,3,adventurous;cautious;risk_taking,1,2,3,q_1662;q_1781;q_2020
QB6:QB6:A,QB6,QB6:A,3,forgiving;judgmental;patient,3,0,3,q_145;q_238;q_278
BFAS:BFAS:O:O,BFAS,BFAS:O:O,2,artistic;creative,2,0,2,q_1441;q_348
HEXACO:H:C:PR,HEXACO,H:C:PR,2,impulsive;methodical,1,1,4,q_1422;q_22;q_619;q_636
HEXACO:H:E:F,HEXACO,H:E:F,2,cautious;risk_taking,0,2,1,q_292
HEXACO:H:O:C,HEXACO,H:O:C,2,innovative;intuitive,1,1,3,q_1392;q_1676;q_516
HEXACO:H:O:U,HEXACO,H:O:U,2,rebellious;traditional,2,0,2,q_1301;q_1609
HEXACO:H:X:SB,HEXACO,H:X:SB,2,avoidant;chill,0,2,3,q_1055;q_819;q_901
IPIPneo:A3:AL,IPIPneo,A3:AL,2,altruistic;callous,2,0,2,q_1385;q_146
IPIPneo:C2:OR,IPIPneo,C2:OR,2,disorganized;methodical,0,2,3,q_1254;q_1483;q_619
IPIPneo:C4:AS,IPIPneo,C4:AS,2,perfectionist;proactive,1,1,2,q_1694;q_1883
