model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank,role
llama,4,L04_A,R016,0.989220537013739,1,ancient
llama,4,L04_A,R027,0.9867919667227304,2,avatar
llama,4,L04_A,R212,0.986456924648865,3,sage
llama,4,L04_A,R090,0.984398763662159,4,familiar
llama,4,L04_A,R077,0.9840958221068824,5,egregore
llama,4,L04_A,R228,0.983469766264615,6,spirit
llama,4,L04_A,R108,0.9814234095603598,7,guru
llama,4,L04_A,R160,0.981042029291666,8,oracle
llama,4,L04_A,R149,0.9809502246988246,9,narrator
llama,4,L04_A,R100,0.980386815644809,10,ghost
llama,4,L04_A,R192,0.9801982871120992,11,prophet
llama,4,L04_A,R264,0.9793875505253868,12,wanderer
llama,4,L04_A,R017,0.9783026783295384,13,angel
llama,4,L04_A,R073,0.9780063259923906,14,echo
llama,4,L04_A,R072,0.9778443250999314,15,dreamer
llama,4,L04_A,R220,0.9746648698319224,16,shapeshifter
llama,4,L04_A,R041,0.9737099028818316,17,chimera
llama,4,L04_A,R205,0.972252473220514,18,revenant
llama,4,L04_A,R238,0.9716488788849776,19,swarm
llama,4,L04_A,R272,0.9714784356020932,20,wraith
llama,4,L04_A,R268,0.9712834635605204,21,wind
llama,4,L04_A,R116,0.9710625491306754,22,homunculus
llama,4,L04_A,R112,0.9709958707258816,23,hermit
llama,4,L04_A,R009,0.9699457376509222,24,alien
llama,4,L04_A,R147,0.9685563215210166,25,mystic
llama,4,L04_A,R028,0.9679878668521888,26,bard
llama,4,L04_A,R101,0.9676824980131278,27,golem
llama,4,L04_A,R174,0.9669863277652502,28,pilgrim
llama,4,L04_A,R001,0.9664959368251658,29,aberration
llama,4,L04_A,R092,0.965979914013814,30,flaneur
llama,4,L04_A,R098,0.9648819962988618,31,genie
llama,4,L04_A,R269,0.9637839361331066,32,witch
llama,4,L04_A,R266,0.9636681368504876,33,whale
llama,4,L04_A,R210,0.9618367272963352,34,romantic
llama,4,L04_A,R251,0.9614760146246464,35,trickster
llama,4,L04_A,R221,0.9582406511315188,36,simulacrum
llama,4,L04_A,R087,0.9578527744760738,37,exile
llama,4,L04_A,R231,0.9575185544385892,38,stoic
llama,4,L04_A,R136,0.9567535530684164,39,martyr
llama,4,L04_A,R197,0.9526875927821742,40,purist
llama,4,L04_A,R180,0.9522151208021056,41,poet
llama,4,L04_A,R265,0.951778234746,42,warrior
llama,4,L04_A,R219,0.950794577722944,43,shaman
llama,4,L04_A,R250,0.94995104563528,44,tree
llama,4,L04_A,R255,0.9490410341620414,45,vampire
llama,4,L04_A,R023,0.9489573886604048,46,ascetic
llama,4,L04_A,R130,0.9462032964143215,47,leviathan
llama,4,L04_A,R052,0.9461163587556106,48,coral_reef
llama,4,L04_A,R063,0.9442990248621396,49,demon
llama,4,L04_A,R146,0.9431914314603934,50,mycorrhizal
llama,4,L04_A,R165,0.9424221732609462,51,parasite
llama,4,L04_A,R079,0.9395849543562668,52,eldritch
llama,4,L04_A,R263,0.938715188813547,53,void
llama,4,L04_A,R183,0.9376584352896608,54,predator
llama,4,L04_A,R057,0.9303974268255522,55,crystalline
llama,4,L04_A,R002,0.9198354798265488,56,absurdist
llama,4,L04_A,R274,0.9063813747094918,57,zealot
llama,4,L04_B,R107,0.9954243194318422,1,guide
llama,4,L04_B,R184,0.9953498313320758,2,presenter
llama,4,L04_B,R141,0.9950941111113936,3,mentor
llama,4,L04_B,R241,0.9949812873882906,4,teacher
llama,4,L04_B,R124,0.9949166257768548,5,interpreter
