model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,4,L04_B,R216,0.9860809083898863,76
llama,4,L04_B,R262,0.9860289987955406,77
llama,4,L04_B,R021,0.9859993155251575,78
llama,4,L04_B,R182,0.9858836283478914,79
llama,4,L04_B,R053,0.9858747504857397,80
llama,4,L04_B,R054,0.9857688562722597,81
llama,4,L04_B,R003,0.9857219419722325,82
llama,4,L04_B,R044,0.9857101916879982,83
llama,4,L04_B,R059,0.9855238184971366,84
llama,4,L04_B,R234,0.985120624975741,85
llama,4,L04_B,R018,0.9850732258227035,86
llama,4,L04_B,R191,0.9846588262448983,87
llama,4,L04_B,R244,0.9846452547676894,88
llama,4,L04_B,R142,0.9845963041285571,89
llama,4,L04_B,R113,0.9842956016098988,90
llama,4,L04_B,R074,0.9842836569923168,91
llama,4,L04_B,R245,0.9836864153670849,92
llama,4,L04_B,R195,0.9835163325785778,93
llama,4,L04_B,R030,0.9834307460592443,94
llama,4,L04_B,R260,0.9828817180261429,95
llama,4,L04_B,R275,0.9828292326019401,96
llama,4,L04_B,R230,0.9825089491792288,97
llama,4,L04_B,R233,0.9824091279195512,98
llama,4,L04_B,R099,0.9822096529860749,99
llama,4,L04_B,R170,0.9820564589874792,100
llama,4,L04_B,R198,0.9814494269913165,101
llama,4,L04_B,R020,0.9808358811663969,102
llama,4,L04_B,R035,0.9804335190384236,103
llama,4,L04_B,R252,0.9802716563003325,104
llama,4,L04_B,R157,0.9799874949510278,105
llama,4,L04_B,R010,0.979890968919642,106
llama,4,L04_B,R088,0.9797420630569897,107
llama,4,L04_B,R179,0.9794746165173427,108
llama,4,L04_B,R033,0.9792538188149621,109
llama,4,L04_B,R156,0.9790804800484777,110
llama,4,L04_B,R040,0.9786982422380006,111
llama,4,L04_B,R169,0.9781461396207267,112
llama,4,L04_B,R137,0.9780366120027109,113
llama,4,L04_B,R222,0.9777152698556576,114
llama,4,L04_B,R117,0.9769612854833838,115
llama,4,L04_B,R164,0.9767509098377126,116
llama,4,L04_B,R110,0.9766445210923915,117
llama,4,L04_B,R258,0.9759458942102079,118
llama,4,L04_B,R034,0.9759410471870904,119
llama,4,L04_B,R178,0.9758201773124296,120
llama,4,L04_B,R132,0.9756313647727378,121
llama,4,L04_B,R065,0.9753243862598242,122
llama,4,L04_B,R239,0.9751869040376868,123
llama,4,L04_B,R171,0.9751340419323622,124
llama,4,L04_B,R173,0.9747440835633632,125
llama,4,L04_B,R075,0.9745477140738626,126
llama,4,L04_B,R038,0.9742206398053241,127
llama,4,L04_B,R114,0.9737947048487908,128
llama,4,L04_B,R019,0.9733386182711287,129
llama,4,L04_B,R150,0.9730041593577067,130
llama,4,L04_B,R118,0.9729843674430264,131
llama,4,L04_B,R159,0.9713564905385644,132
llama,4,L04_B,R048,0.9700743416663371,133
llama,4,L04_B,R085,0.9699145982007235,134
llama,4,L04_B,R067,0.9690329091189201,135
llama,4,L04_B,R004,0.9688499523014269,136
llama,4,L04_B,R175,0.9681127140857417,137
llama,4,L04_B,R109,0.967513299258708,138
llama,4,L04_B,R211,0.9666789696633991,139
llama,4,L04_B,R081,0.9660647645912004,140
llama,4,L04_B,R163,0.9645293119189605,141
llama,4,L04_B,R261,0.9621506059869808,142
llama,4,L04_B,R125,0.9616516576612678,143
llama,4,L04_B,R047,0.9610115372205114,144
llama,4,L04_B,R208,0.9606026021033613,145
llama,4,L04_B,R022,0.9589736177481991,146
llama,4,L04_B,R172,0.9588462281454365,147
llama,4,L04_B,R143,0.9550410764279786,148
llama,4,L04_B,R229,0.9547403756205022,149
llama,4,L04_B,R256,0.9500470253512772,150
llama,4,L04_B,R247,0.9476373601013495,151
llama,4,L04_B,R226,0.9452772046230321,152
llama,4,L04_C,R104,0.9809130561402467,1
llama,4,L04_C,R204,0.9795419469573928,2
llama,4,L04_C,R237,0.979485366805759,3
llama,4,L04_C,R078,0.9772783640156888,4
llama,4,L04_C,R005,0.9770435861742828,5
llama,4,L04_C,R120,0.9765864431189148,6
llama,4,L04_C,R162,0.9764406275722117,7
llama,4,L04_C,R011,0.9756912169702772,8
llama,4,L04_C,R037,0.9747321624161706,9
llama,4,L04_C,R166,0.9739212624239246,10
llama,4,L04_C,R122,0.9731299146766599,11
llama,4,L04_C,R070,0.9715895813404559,12
llama,4,L04_C,R155,0.9705417978608604,13
llama,4,L04_C,R167,0.9705199328684292,14
llama,4,L04_C,R068,0.9700110927339141,15
llama,4,L04_C,R201,0.9698551638065033,16
llama,4,L04_C,R091,0.9695614665779878,17
llama,4,L04_C,R267,0.9673626373843126,18
llama,4,L04_C,R138,0.9670945597020421,19
llama,4,L04_C,R259,0.9665837718462784,20
llama,4,L04_C,R133,0.964865246355977,21
llama,4,L04_C,R119,0.9645617850485415,22
llama,4,L04_C,R139,0.9608042984694717,23
llama,4,L04_C,R050,0.9606034279226978,24
llama,4,L04_C,R257,0.9600592600606195,25
llama,4,L04_C,R029,0.9597859762025706,26
llama,4,L04_C,R039,0.9588881580019781,27
llama,4,L04_C,R006,0.9582478709619583,28
llama,4,L04_C,R199,0.9577756031391522,29
llama,4,L04_C,R105,0.9573697281866035,30
llama,4,L04_C,R154,0.9571355349068352,31
llama,4,L04_C,R145,0.9533957920313353,32
llama,4,L04_C,R046,0.9529669662173103,33
llama,4,L04_C,R209,0.9513024082933179,34
llama,4,L04_C,R032,0.9473814257548188,35
llama,4,L04_C,R194,0.9464702310782458,36
llama,4,L04_C,R111,0.9419228751634423,37
llama,4,L04_C,R061,0.9413230301568761,38
llama,4,L04_C,R225,0.9411078609297174,39
llama,4,L04_C,R025,0.9391184533600043,40
llama,4,L04_C,R207,0.9383273437581924,41
llama,4,L04_C,R186,0.9355340403444958,42
llama,4,L04_C,R223,0.9332121731587393,43
llama,4,L04_C,R013,0.9329188238245777,44
llama,4,L04_C,R045,0.9319105668918721,45
llama,4,L04_C,R096,0.9305844889148378,46
llama,4,L04_C,R055,0.9297479024544836,47
llama,4,L04_C,R102,0.9291173723900638,48
llama,4,L04_C,R271,0.9269237836044384,49
llama,4,L04_C,R060,0.9244355928229991,50
llama,4,L04_C,R134,0.9234412839890972,51
llama,4,L04_C,R007,0.922972573097079,52
llama,4,L04_C,R185,0.9228394654332761,53
