model,K,profile_id,native_dimension,centroid_l2_norm,member_count,centroid_float64_le_sha256
llama,4,L04_A,8192,0.9999999999999999,57,c3c725ed9f93ee2c5ecdd41602ee4f4de68323b19a1007497060556f979253a8
llama,4,L04_B,8192,1.0,152,d1f9cb2c75d091516a7067f798a293564468582e8c3556950d8cd24e5ce626a2
llama,4,L04_C,8192,1.0,63,f48ee5108a2324764713dc68c9719c0a9505866595d93468fc47aecbc7f25c1d
llama,4,L04_D,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,5,L05_A,8192,0.9999999999999999,120,c43fc94db0649d55240edea591608bee06763195ba969ba27c2bd3d56816b649
llama,5,L05_B,8192,0.9999999999999999,47,f64a38a178e53bbc2916ae5fa6d3147c94a93c0695960c0bf758b321915d2417
llama,5,L05_C,8192,1.0000000000000002,42,c88caceda89ab0d568abf3dd0b9e857241a2dc3c67eed7c83c519d3ca93bb879
llama,5,L05_D,8192,1.0,63,c80cf5a4e51b02cbcd957100e5b8ab4b0b5f1f11eb1c3ddf3c26fe6adbdee576
llama,5,L05_E,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,6,L06_A,8192,1.0000000000000002,40,b9a47d4f8afb2711ec8f7cbb64637bb53bd455dd4f7de6105eec7a1df18416ba
llama,6,L06_B,8192,1.0,22,894bb3091ceabbbe6c054f23fd9da7b567ad62d9cee4b030faebad934f52f98d
llama,6,L06_C,8192,1.0,28,8dfeec271704ac605aa873f541a3fe27b407ce171a7a45a2d65da3ea95381b7f
llama,6,L06_D,8192,1.0,124,5e09b6745534ee5f7cc76902517bb0947bd7cec50142733158b2977e46e07b21
llama,6,L06_E,8192,0.9999999999999999,58,e2df3f51f962d53e2d501e11ddca30ea51be86666363893d6b10b0afc72ab54a
llama,6,L06_F,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,7,L07_A,8192,1.0,53,177257b7b2faed97c30436545e11a54fd9a897a14a8a8c1d1babde21b1f655a6
llama,7,L07_B,8192,1.0,18,6f2ef4c62251f77f9132f7083aeb265fd495da5e2479febb61bdaa33e8f37f0e
llama,7,L07_C,8192,1.0000000000000002,118,53d9d4804bf6834b6c9b9139a3ab39abe0966dac99ae46f5b7774e631f53e0bd
llama,7,L07_D,8192,0.9999999999999998,19,339f5f6312535c1699049de2c01cbb4070dfe921e6a21da130f10a093e8d113b
llama,7,L07_E,8192,1.0,19,a58f52856ec719578509ff27ef5b584bb7c40914069a77e6f73f70ec01d7b5d0
llama,7,L07_F,8192,1.0,45,58e2f7e9881229413d65512be39a30e5dc3b0cdb2b43c06210fb61bf2554e592
llama,7,L07_G,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,8,L08_A,8192,1.0,40,65faddd9652736479a4f67874d70daefb7bede1462e904385de79a5f2be5b53f
llama,8,L08_B,8192,0.9999999999999999,17,e1c0fd3dc96fe171d01edc3612f2a4d7f7086f16105f03b078c698c4f0e769c5
llama,8,L08_C,8192,0.9999999999999998,11,87714bcf3a78dba9af235268f96003128027baca31413d3f1c6fc302d230dde7
llama,8,L08_D,8192,1.0,50,b416ede0709a6486887b559b943dcbf657b1829834f805c10758151573b9fd5b
llama,8,L08_E,8192,0.9999999999999998,16,ac6ab44ba27eda9f0bbf658bfab7b8dabdc6ec5f6e019f2254f5fbd08bc7eb46
llama,8,L08_F,8192,1.0,121,a5dc0dd727c34ad919ce3fe7d5783cb09fcc36663659099874ebc7576ab9ce97
llama,8,L08_G,8192,1.0,17,30402053483ca4d5c5051cdce32e76783083d1228ccca5d26ccdc1bc64cde5aa
llama,8,L08_H,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,9,L09_A,8192,1.0,31,3206eaadb5069a061cdb59d8717b2e4fe12028f2f4a9e2c731db064972b61f4e
llama,9,L09_B,8192,1.0,39,5123e00f517cab47322a09de3b9bc514c8c48f57812740d20822aeb761b390a3
llama,9,L09_C,8192,1.0,9,56fcdaa99b53bf097e3cec7c41377ec9d137cd4b470df2817ecb9b124c290031
llama,9,L09_D,8192,1.0,7,314c88d433cdeff49c887f34687a88f9779ca5502301897c928181457eec578f
llama,9,L09_E,8192,0.9999999999999999,29,facc5c1b356e7a02a650c6b50a7b74cc61b334b3594ce01b4595bcf873f521d0
llama,9,L09_F,8192,0.9999999999999999,5,652a3389e2142c474c3d6dbc42b9092f97cf4e6b310da4af0c3700fbfe9ae8a1
llama,9,L09_G,8192,1.0,111,41a67349e63f45b045a377342a0a5ce4bd56aa40ad3f7c28e3fbc48caae20bae
llama,9,L09_H,8192,0.9999999999999998,41,7cdc56e8af7e0e122a63dfc141231f5e77fb52bd9bd43d3da285e273d52f5034
llama,9,L09_I,8192,1.0,3,bd8c5172b78740a39cc4971336549c39c76d4f29c3c271f4575bdc575c80da22
llama,10,L10_A,8192,0.9999999999999999,26,7d722914ff1c0d769e2ab662932ef261bcd782ea5c2cdf6d1c15949f66c34f65
