model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,5,19,3036610,20,5077996,0.7738658065089298,0.7554734649244597
llama,5,20,3036611,20,5078100,0.5683328016233854,0.60605945785542
llama,5,21,3036612,20,5078207,0.9221044653136965,0.8821930484390055
llama,5,22,3036613,20,5078295,0.6997582685384387,0.7167580932261675
llama,5,23,3036614,20,5078409,0.824506847747176,0.7886238804511791
llama,5,24,3036615,20,5078498,0.5771885577465823,0.6113094718074118
llama,5,25,3036616,20,5078608,0.5922881156410718,0.6326196504671432
llama,5,26,3036617,20,5078699,0.6002787602723948,0.6256058331996943
llama,5,27,3036618,20,5078796,0.5675583897633707,0.6129974606943045
llama,5,28,3036619,20,5078894,0.6186113781266808,0.6598778733475004
llama,5,29,3036620,20,5078999,0.7833594549433658,0.7339650815362787
llama,5,30,3036621,20,5079111,0.68587915826689,0.6877220790403145
llama,5,31,3036622,20,5079211,0.7027323158570151,0.7201681967101398
llama,5,32,3036623,20,5079302,0.7142909191694031,0.7155565703036194
llama,5,33,3036624,20,5079393,0.8895291643538925,0.8557855155197077
llama,5,34,3036625,20,5079505,0.5789747300306926,0.596298486545872
llama,5,35,3036626,20,5079609,0.6005874936506026,0.685852864378883
llama,5,36,3036627,20,5079695,0.6462368112535732,0.6557959946816715
llama,5,37,3036628,20,5079799,0.6435842814841162,0.582209222536037
llama,5,38,3036629,20,5079911,0.5861862061716039,0.6574518527914454
llama,5,39,3036630,20,5080000,0.6502543363661829,0.702004606461993
llama,5,40,3036631,20,5080100,0.5953212177483609,0.5945856949861851
llama,5,41,3036632,20,5080193,0.8690367819680787,0.8564065160068247
llama,5,42,3036633,20,5080294,0.5805318456655677,0.6476668597629531
llama,5,43,3036634,20,5080398,0.7416304341568739,0.7474508545964794
llama,5,44,3036635,20,5080510,0.8032142381436486,0.7731227878478045
llama,5,45,3036636,20,5080598,0.7486120955629394,0.7782291205591145
llama,5,46,3036637,20,5080708,0.5592408913451288,0.6066093215124516
llama,5,47,3036638,20,5080797,0.666030643774754,0.7298569905662681
llama,5,48,3036639,20,5080895,0.7189540948899432,0.7179563846373377
llama,5,49,3036640,20,5080999,0.5563891773212538,0.5980580540802656
llama,5,50,3036641,20,5081108,0.8686707465014509,0.8437229460726168
llama,6,1,3036692,20,5086199,0.7657223674876803,0.7361652989801029
llama,6,2,3036693,20,5086301,0.7971636632772545,0.7405475503065889
llama,6,3,3036694,20,5086401,0.7580930699596083,0.736067934406469
llama,6,4,3036695,20,5086508,0.7767873520477625,0.7469160326424684
llama,6,5,3036696,20,5086611,0.8125853709494119,0.7800794004014857
llama,6,6,3036697,20,5086693,0.7177363107999631,0.675672280880469
llama,6,7,3036698,20,5086811,0.6277115703570146,0.5851365273092601
llama,6,8,3036699,20,5086904,0.7252804667665483,0.6808239900053921
llama,6,9,3036700,20,5086995,0.7715242632086415,0.7360588964833407
llama,6,10,3036701,20,5087105,0.8499685857745096,0.8234223032512932
llama,6,11,3036702,20,5087196,0.7439135107760202,0.6929047270221272
llama,6,12,3036703,20,5087304,0.7812302652750366,0.7246445875980244
llama,6,13,3036704,20,5087409,0.7024960683344005,0.6375888393523073
llama,6,14,3036705,20,5087495,0.7582470483698804,0.6983280027953219
llama,6,15,3036706,20,5087608,0.7492064504205833,0.6941801085710153
llama,6,16,3036707,20,5087710,0.7905293411422115,0.7913951429428234
llama,6,17,3036708,20,5087802,0.838456427044012,0.7585901968841816
llama,6,18,3036709,20,5087897,0.7845879558591148,0.7360128347303774
llama,6,19,3036710,20,5088002,0.8543836281476578,0.8260133602423357
llama,6,20,3036711,20,5088111,0.6627732439636731,0.6114988913440067
llama,6,21,3036712,20,5088198,0.7082020226498595,0.6753166320462519
llama,6,22,3036713,20,5088296,0.7076041684646089,0.6770582218582186
llama,6,23,3036714,20,5088411,0.6415595757406458,0.6197502730184802
llama,6,24,3036715,20,5088505,0.6022883994440512,0.6400244823812294
llama,6,25,3036716,20,5088592,0.7181242341030324,0.7033027872449983
llama,6,26,3036717,20,5088703,0.7065024529017851,0.66812443911147
