model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,896,287,301,100,0.5299279592461907,0.5532440221456981
DirectTraitIndex,896,287,301,100,0.5060741479483508,0.5671075099995826
BigFive_plus_DirectTraitIndex,896,287,301,100,0.5953777765224838,0.5132859608612188
