trait_set,K,human_profile_id,model_family_id,pearson_r,spearman_rho,analysis_role,is_primary_injective_assignment,is_unconstrained_family_best_at_K,human_profile_has_ambiguous_top_two_margin
45_ACCEPT_DIRECT,4,H04_A,MFamily_A,-0.171931230752,-0.155604598391,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_A,MFamily_B,-0.121320312394,-0.0691722389123,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_A,MFamily_C,0.173596901357,0.16601337339,primary_A-D,True,True,False
45_ACCEPT_DIRECT,4,H04_A,MFamily_D,0.434388463343,0.475048585521,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_A,MFamily_E,0.548812290611,0.625448796413,secondary_E,False,False,False
45_ACCEPT_DIRECT,4,H04_B,MFamily_A,0.301054155584,0.282090978117,primary_A-D,True,True,False
45_ACCEPT_DIRECT,4,H04_B,MFamily_B,-0.067277671024,-0.143351230355,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_B,MFamily_C,-0.121047648907,-0.0996080240337,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_B,MFamily_D,-0.543365895806,-0.523403274437,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_B,MFamily_E,-0.446472482001,-0.399486149299,secondary_E,False,False,False
45_ACCEPT_DIRECT,4,H04_C,MFamily_A,-0.319313175436,-0.301986231594,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_C,MFamily_B,0.1021922284,0.142297177191,primary_A-D,False,True,False
45_ACCEPT_DIRECT,4,H04_C,MFamily_C,0.141533311963,0.151256629088,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_C,MFamily_D,0.508133854665,0.523403274437,primary_A-D,True,True,False
45_ACCEPT_DIRECT,4,H04_C,MFamily_E,0.394153760532,0.37076320057,secondary_E,False,False,False
45_ACCEPT_DIRECT,4,H04_D,MFamily_A,0.287823352257,0.229520076543,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_D,MFamily_B,0.0238087229936,-0.0288547053749,primary_A-D,True,False,False
45_ACCEPT_DIRECT,4,H04_D,MFamily_C,-0.260588443871,-0.209624823066,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_D,MFamily_D,-0.469529105316,-0.490859382986,primary_A-D,False,False,False
45_ACCEPT_DIRECT,4,H04_D,MFamily_E,-0.459444523025,-0.464310418909,secondary_E,False,False,False
45_ACCEPT_DIRECT,5,H05_A,MFamily_A,0.51653907062,0.561678579968,primary_A-D,True,True,False
45_ACCEPT_DIRECT,5,H05_A,MFamily_B,-0.225562072549,-0.390921967339,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_A,MFamily_C,-0.197352911603,-0.22991534648,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_A,MFamily_D,-0.74207271489,-0.795612504137,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_A,MFamily_E,-0.539661824222,-0.516749563836,secondary_E,False,False,False
45_ACCEPT_DIRECT,5,H05_B,MFamily_A,-0.143601057541,-0.142560690482,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_B,MFamily_B,-0.149090405355,-0.0762870977719,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_B,MFamily_C,0.181209805405,0.163378240479,primary_A-D,True,True,False
45_ACCEPT_DIRECT,5,H05_B,MFamily_D,0.394257248165,0.46529859375,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_B,MFamily_E,0.538222242017,0.615435291351,secondary_E,False,False,False
45_ACCEPT_DIRECT,5,H05_C,MFamily_A,-0.280513016442,-0.266148424006,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_C,MFamily_B,0.0758646038954,0.109885042386,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_C,MFamily_C,0.133559164277,0.143878256938,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_C,MFamily_D,0.463668698098,0.497447215264,primary_A-D,True,True,False
45_ACCEPT_DIRECT,5,H05_C,MFamily_E,0.379542797046,0.36720577114,secondary_E,False,False,False
45_ACCEPT_DIRECT,5,H05_D,MFamily_A,0.354870925521,0.302776771468,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_D,MFamily_B,-0.0112859326213,-0.0802397971383,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_D,MFamily_C,-0.300610160125,-0.272472742992,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_D,MFamily_D,-0.526636499577,-0.537369478865,primary_A-D,False,False,False
45_ACCEPT_DIRECT,5,H05_D,MFamily_E,-0.489426031726,-0.512665107824,secondary_E,False,False,False
45_ACCEPT_DIRECT,5,H05_E,MFamily_A,-0.406397447206,-0.407918574614,primary_A-D,False,False,True
45_ACCEPT_DIRECT,5,H05_E,MFamily_B,0.332420691031,0.402253038856,primary_A-D,True,True,True
45_ACCEPT_DIRECT,5,H05_E,MFamily_C,0.113154242509,0.134260021813,primary_A-D,False,False,True
45_ACCEPT_DIRECT,5,H05_E,MFamily_D,0.339106880112,0.266346058974,primary_A-D,False,False,True
45_ACCEPT_DIRECT,5,H05_E,MFamily_E,0.0858441467612,0.0540202246744,secondary_E,False,False,True
45_ACCEPT_DIRECT,6,H06_A,MFamily_A,0.623661914326,0.592377878381,primary_A-D,True,True,False
45_ACCEPT_DIRECT,6,H06_A,MFamily_B,-0.314603006447,-0.419776672714,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_A,MFamily_C,-0.235661337931,-0.24085114806,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_A,MFamily_D,-0.820559010467,-0.835930037675,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_A,MFamily_E,-0.555971836592,-0.525840772379,secondary_E,False,False,False
45_ACCEPT_DIRECT,6,H06_B,MFamily_A,-0.181849932653,-0.115023551563,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_B,MFamily_B,-0.104875399375,-0.0725979116966,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_B,MFamily_C,0.167862610095,0.142824203773,primary_A-D,True,False,False
45_ACCEPT_DIRECT,6,H06_B,MFamily_D,0.42818265135,0.468460753243,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_B,MFamily_E,0.514105909839,0.558779933766,secondary_E,False,False,False
45_ACCEPT_DIRECT,6,H06_C,MFamily_A,-0.212791667977,-0.205145097117,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_C,MFamily_B,0.0157331910795,0.0483546889159,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_C,MFamily_C,0.119613104901,0.13847623447,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_C,MFamily_D,0.400643250702,0.451464145968,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_C,MFamily_E,0.370328912223,0.369972660697,secondary_E,False,False,False
45_ACCEPT_DIRECT,6,H06_D,MFamily_A,0.374466542057,0.379327382531,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_D,MFamily_B,-0.0648165035444,-0.174182285414,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_D,MFamily_C,-0.231352392656,-0.227411970215,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_D,MFamily_D,-0.591770442275,-0.587437004173,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_D,MFamily_E,-0.504638055932,-0.502388089472,secondary_E,False,False,False
45_ACCEPT_DIRECT,6,H06_E,MFamily_A,-0.369242949622,-0.367996311014,primary_A-D,False,False,True
45_ACCEPT_DIRECT,6,H06_E,MFamily_B,0.290121850447,0.343621331587,primary_A-D,True,True,True
45_ACCEPT_DIRECT,6,H06_E,MFamily_C,0.171062654521,0.167594453136,primary_A-D,False,True,True
45_ACCEPT_DIRECT,6,H06_E,MFamily_D,0.237742688595,0.162917092219,primary_A-D,False,False,True
45_ACCEPT_DIRECT,6,H06_E,MFamily_E,0.067663065006,0.0388682104364,secondary_E,False,False,True
45_ACCEPT_DIRECT,6,H06_F,MFamily_A,-0.40586204519,-0.417009783157,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_F,MFamily_B,0.189081414898,0.291182186659,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_F,MFamily_C,0.118746095781,0.129121512636,primary_A-D,False,False,False
45_ACCEPT_DIRECT,6,H06_F,MFamily_D,0.623906459666,0.652656543718,primary_A-D,True,True,False
45_ACCEPT_DIRECT,6,H06_F,MFamily_E,0.415056504588,0.403702361957,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_A,MFamily_A,0.2768554099,0.279587601851,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_A,MFamily_B,0.0048639597328,0.0450607727772,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_A,MFamily_C,-0.614345086921,-0.5429691363,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_A,MFamily_D,0.0295349543683,0.114430646658,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_A,MFamily_E,-0.369858437555,-0.363384828419,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_B,MFamily_A,0.540364636259,0.561151553386,primary_A-D,True,True,False
45_ACCEPT_DIRECT,7,H07_B,MFamily_B,-0.261767635967,-0.413188840436,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_B,MFamily_C,-0.16786415407,-0.197239698384,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_B,MFamily_D,-0.775147750735,-0.81801113388,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_B,MFamily_E,-0.515718846919,-0.493955664157,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_C,MFamily_A,-0.141878875095,-0.0773411509363,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_C,MFamily_B,-0.143227909485,-0.113705985107,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_C,MFamily_C,0.177371738804,0.150993115797,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_C,MFamily_D,0.374923100196,0.424454033631,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_C,MFamily_E,0.521135491569,0.565894792626,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_D,MFamily_A,-0.339627611634,-0.308837577163,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_D,MFamily_B,0.0307237095683,0.043084423094,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_D,MFamily_C,0.321902048025,0.326361211021,primary_A-D,True,True,False
45_ACCEPT_DIRECT,7,H07_D,MFamily_D,0.452425502437,0.472149939319,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_D,MFamily_E,0.51290549247,0.501334036307,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_E,MFamily_A,0.381433352419,0.355215916395,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_E,MFamily_B,-0.0549647684757,-0.116209361373,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_E,MFamily_C,-0.281639057609,-0.271682203118,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_E,MFamily_D,-0.565504347285,-0.553048519685,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_E,MFamily_E,-0.515351405632,-0.523337396114,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_F,MFamily_A,-0.397862137688,-0.383016568606,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_F,MFamily_B,0.148028434543,0.192496459145,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_F,MFamily_C,0.214076766424,0.203168747434,primary_A-D,False,False,False
45_ACCEPT_DIRECT,7,H07_F,MFamily_D,0.557780013308,0.59283902664,primary_A-D,True,True,False
45_ACCEPT_DIRECT,7,H07_F,MFamily_E,0.459185858416,0.438486116381,secondary_E,False,False,False
45_ACCEPT_DIRECT,7,H07_G,MFamily_A,-0.421997563543,-0.418195592967,primary_A-D,False,False,True
45_ACCEPT_DIRECT,7,H07_G,MFamily_B,0.288928962277,0.336901742664,primary_A-D,True,True,True
45_ACCEPT_DIRECT,7,H07_G,MFamily_C,0.293948897083,0.276688955649,primary_A-D,False,False,True
45_ACCEPT_DIRECT,7,H07_G,MFamily_D,0.228569841159,0.114430646658,primary_A-D,False,False,True
45_ACCEPT_DIRECT,7,H07_G,MFamily_E,0.148835438799,0.0893310056811,secondary_E,False,False,True
45_ACCEPT_DIRECT,8,H08_A,MFamily_A,0.219612602335,0.267729503752,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_A,MFamily_B,0.0800519327928,0.113442471816,primary_A-D,True,False,False
45_ACCEPT_DIRECT,8,H08_A,MFamily_C,-0.628603513576,-0.603181923315,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_A,MFamily_D,0.0756809553141,0.0946671498257,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_A,MFamily_E,-0.381412242918,-0.420962482524,secondary_E,False,False,False
45_ACCEPT_DIRECT,8,H08_B,MFamily_A,0.367306849997,0.384597648353,primary_A-D,True,True,False
45_ACCEPT_DIRECT,8,H08_B,MFamily_B,-0.107315452196,-0.196712671802,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_B,MFamily_C,-0.165291550946,-0.184459303766,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_B,MFamily_D,-0.597650426678,-0.612866036763,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_B,MFamily_E,-0.484414825192,-0.449290161316,secondary_E,False,False,False
45_ACCEPT_DIRECT,8,H08_C,MFamily_A,0.300114121592,0.270232880017,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_C,MFamily_B,-0.260769548567,-0.265884910714,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_C,MFamily_C,-0.00471904603577,-0.0262195724639,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_C,MFamily_D,-0.373854613846,-0.379920287436,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_C,MFamily_E,-0.0724203421176,-0.0534931980922,secondary_E,False,False,False
45_ACCEPT_DIRECT,8,H08_D,MFamily_A,0.247396798228,0.199479561359,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_D,MFamily_B,-0.234258249631,-0.280773411661,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_D,MFamily_C,0.0736264594392,0.0405810468286,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_D,MFamily_D,-0.320194608755,-0.27978523682,primary_A-D,False,False,False
45_ACCEPT_DIRECT,8,H08_D,MFamily_E,-0.0443852750841,-0.0192364702499,secondary_E,False,False,False
45_ACCEPT_DIRECT,8,H08_E,MFamily_A,-0.237955985326,-0.192496459145,primary_A-D,False,False,False
